S89-ALPHA-M-NCG-HORIZON-MICROSTATE-COUNT-DERIVATION: FAIL -- value='alpha=-1.590633e-116;rel_dev=1.000000e+00;n=0.0000;Tr_HSS=38;R_CM=3.800000e+01;monotone=False;K_advance=1to2_BY_CONSTRUCTION' scheme=peter-weyl-block-diagonal-HSS-projection-Lmax10-tau-fold-019 convention=horizon-spanning-sector-projection-CM-1995-III-4-FULL L_max=10 audit_sha256=6db37f7c6da0768662c5afb320654a54f2e4c478882d365465712034e28a16fe content_sha256=4798e1dca75ec6dc072d0d98b4fc58ed20ba18edd2c9a3f7862c5e810921487f schema_version=S87+
S89-XI-KZ-SUBSTRATE-NATURAL-DERIVATION-FROM-T1-ATLAS: PASS -- value='{xi_KZ_substrate=1.876005e-02_M_KK_inv,nu=1/2,z=1/1,m_KZ=1/3,xi_BCS_analog=0.808346}' scheme=substrate-natural-T1-atlas-derivation convention=BdG-A_2-transition-class-fold-anchored L_max=12 audit_sha256=dff2f63006e29b1b4f9d7abe53c7c9b7dc2e049ac454368323246bd71c140056 content_sha256=a715ca5b148dff3bc8f31d504cea564f71fd84d6be1d09532685d4841e2cf5f1 schema_version=S87+
# audit_sha256_short=dff2f63006e29b1b content_sha256_short=a715ca5b148dff3b # S89-XI-KZ-SUBSTRATE-NATURAL-DERIVATION-FROM-T1-ATLAS dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-XI-KZ-SUBSTRATE-NATURAL-DERIVATION-FROM-T1-ATLAS 3-tuple annotation (S87 schema-v2)
S89-D-EFF-CM-1995-SECTION-III-4-SECOND-ORDER-JENSEN-PERTURBATION: INFO -- value='{c_substrate_taylor=2.101773e-02,c_W12_deficit=7.2440e-04,rel_dev=28.0140,reg_scan_pass_count=4/4,residual_signed=-2.6151e-05}' scheme=CM-1995-section-III-4-second-order-Jensen-perturbation convention=TT-deformation-fold-anchored-band-0-projector L_max=12 audit_sha256=6df02deaeb7691c256a434c8661c6410da76b6573198c0f95c314f38156f0291 content_sha256=b42d5d3fd27d0f7cd03bd098ac7482858eee42b933b1bc70a3928c844d36e5a8 schema_version=S87+
# audit_sha256_short=6df02deaeb7691c2 content_sha256_short=b42d5d3fd27d0f7c # S89-D-EFF-CM-1995-SECTION-III-4-SECOND-ORDER-JENSEN-PERTURBATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S89-D-EFF-CM-1995-SECTION-III-4-SECOND-ORDER-JENSEN-PERTURBATION 3-tuple annotation (S87 schema-v2)
S89-SUBSTRATE-COCYCLE-RATIO-REGULATOR-CLASS-INVARIANCE-SCAN: PASS -- value='{ratio_zeta=7.324974,ratio_PV=7.324974,ratio_Mellin=7.324974,ratio_cutoff=7.324974,max_rel_dev=2.4057e-06,reg_class_invariant=True}' scheme=4-regulator-atlas-substrate-cocycle-ratio-invariance convention=regulator-class-invariance-FULL-pin L_max=10 audit_sha256=077cfa32935f55b9040a3bc85f93efe03583781505aa3c55e3e200960669c43e content_sha256=9352f3c8456a9182f229ae9646a279e7698a4ea51b9afed94d57510e0af7be0f schema_version=S87+
# audit_sha256_short=077cfa32935f55b9 content_sha256_short=9352f3c8456a9182 # S89-SUBSTRATE-COCYCLE-RATIO-REGULATOR-CLASS-INVARIANCE-SCAN dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-SUBSTRATE-COCYCLE-RATIO-REGULATOR-CLASS-INVARIANCE-SCAN 3-tuple annotation (S87 schema-v2)
S89-SUBSTRATE-CANONICAL-14-STATE-BASIS-RE-RUN: PASS -- value='rank_natural=11;rank_W5b50_Pad=18;pair_pass=91/91;null_natural_dim=0;null_W5b50_dim=0;null_intersect_iota_image=0;sub_a=True;sub_b=True;sub_c=True' scheme=cvxpy-CLARABEL-direct-eps-1e-9 convention=substrate-canonical-14-state-basis-no-Pad-CLARABEL-matched-W5b50 L_max=NA audit_sha256=ef09dc38496afbb31c3893a52ab89c4444cd5f6dc3f9302a2c73baf98dc01252 content_sha256=66d25839307673eb0f3ea077b0e7c99791d7a8e7a3c666d9b872bec6acb9e0c6 schema_version=S87+
# audit_sha256_short=ef09dc38496afbb3 content_sha256_short=66d25839307673eb # S89-SUBSTRATE-CANONICAL-14-STATE-BASIS-RE-RUN dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-SUBSTRATE-CANONICAL-14-STATE-BASIS-RE-RUN 3-tuple annotation (S87 schema-v2)
S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS: FAIL -- value='PRE-REG-INC_blocked_by_S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE_FAIL' scheme=joint-theorem-promotion-stage-2-PASS-AND convention=four-corner-dual-basis-stage-2-cross-axis-verify L_max=10 audit_sha256=b30ba691b5bae66cd71f5a01c8b9f154bddb19025abc016a4e1ed011eafbc529 content_sha256=c90ba70791c493d85987bffd09df70386f23631a5b4fc610c20e3ee0051812bc schema_version=S87+
# audit_sha256_short=b30ba691b5bae66c content_sha256_short=c90ba70791c493d8 # S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS 3-tuple annotation (S87 schema-v2; foreclosure under [VERIFY] trigger)
# S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS mechanical closure: PRE-REG-INC per session-89-plan-w4.md §W4-2 Method step 2 line 196 (PREREQUISITE A.3 PASS); deferred to S90 (CF-W4-2-DEFERRED); required prereqs: [S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE=PASS]; intra_wave_prereq_satisfied: [S89-SUBSTRATE-CANONICAL-14-STATE-BASIS-RE-RUN=PASS]; closure_script=computations/session-89/s89_w4_2_mechanical_closure.py; upstream_audit_sha256=f67458d183a95be8cd1c1dc2bde51296ccbea593beac776540b45999459e635d
S89-V4-SAGE-QQ-ENUMERATION-EXTENDED-SECTORS: PASS -- value='{delta_0_cover_C=16,chi_pattern=(0,12,0),m_bot20_invariant=True,sage_qq_exact=True}' scheme=V_4-triality-Sage-QQ-enumeration-extended-sectors convention=L_max-scan-bot20-sector-occupation-cocycle-functor-F-invariance L_max=12 audit_sha256=7efdb2b26fb4e1faf9161e25d7f751fe8d9db0a047a26a4feb1918da03a59c3a content_sha256=d696d8c5b603a11ec34be03bb046e503980f28bb0f939209031e4d5794055492 schema_version=S87+
# audit_sha256_short=7efdb2b26fb4e1fa content_sha256_short=d696d8c5b603a11e # S89-V4-SAGE-QQ-ENUMERATION-EXTENDED-SECTORS dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-V4-SAGE-QQ-ENUMERATION-EXTENDED-SECTORS 3-tuple annotation (S87 schema-v2)
S89-VII-W-3-LAB-STAGE-2-THREE-AGENT-CROSS-AXIS-VERIFY: INFO -- value='clauses_pass=6/8;connes(a,c,d,e)=PASS,PASS,PASS,PASS;lizzi(b,c,d,f)=INFO,PASS,PASS,PASS;transit(g,c,d,h)=PASS,PASS,PASS,INFO;cocycle_ratio=7.324974;rel_dev_vs_7.3250=3.50e-06' scheme=joint-theorem-promotion-stage-2-PASS-AND-3-axis convention=vii-w-3-lab-three-agent-stage-2-cross-axis-verify L_max=10 audit_sha256=5da87779e18e81746575c90b08878b74c50955f551d9f4ec5c93901430cf1001 content_sha256=073c16f0be657c4226c30304b46300bb316315173f8abd7597f008a81fab89a7 schema_version=S87+
# audit_sha256_short=5da87779e18e8174 content_sha256_short=073c16f0be657c42 # S89-VII-W-3-LAB-STAGE-2-THREE-AGENT-CROSS-AXIS-VERIFY dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S89-VII-W-3-LAB-STAGE-2-THREE-AGENT-CROSS-AXIS-VERIFY 3-tuple annotation (S87 schema-v2)
S89-SUBSTRATE-CLOCK-CANCELLATION-DISCRIMINATING-PREDICATE-GATE: PASS -- value='{Delta_A_322=290.7950,Delta_B_322=0.0000,disc_ratio_322=1.0000,sign=PASS,mag=PASS,reg=VALID}' scheme=substrate-clock-pinning-A-vs-mode-density-pinning-B convention=g-scan-143-322-384 L_max=N/A audit_sha256=3d8d70d0a9c19a0bf2b28d7d2e007a50d2d3122541e132206463ad517de16eda content_sha256=0339fa6dc4e14400be57c4e5319ccb8ae8dc158fde1ede9f87c54e129f73a746 schema_version=S87+
# audit_sha256_short=3d8d70d0a9c19a0b content_sha256_short=0339fa6dc4e14400 # S89-SUBSTRATE-CLOCK-CANCELLATION-DISCRIMINATING-PREDICATE-GATE dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S89-SUBSTRATE-CLOCK-CANCELLATION-DISCRIMINATING-PREDICATE-GATE 3-tuple annotation (S87 schema-v2)
S89-JOINT-N-S-ALPHA-S-HYPERSURFACE-LAB-DISCRIMINATION-STAGE-2: PASS -- value='{"n_s":"9561/10000","alpha_s":"-8587279/100000000","lab_discrimination_2d":"outside_2sigma","n_sigma_n_s":2.0952,"n_sigma_alpha_s":6.221,"joint_chi2_diag":43.0907,"clauses_pass_volovik":"i,ii,iii,iv","clauses_pass_mack":"i,ii,iii,iv"}' scheme=joint-theorem-promotion-stage-2-PASS-AND-2-axis-with-2D-hypersurface-value-field convention=joint-n_s-alpha_s-hypersurface-stage-2-cross-axis-verify-Class-8-5-PRU L_max=10 audit_sha256=e3da1d13442029a07f8dcd049c79aa391a8f1b327b3545dfd2fedddc5c0bcb89 content_sha256=e74fda067ae8e41215c6cde8d6fc59037648b8c5c8de8e04a2f732f55fd5e0f5 schema_version=S87+
# audit_sha256_short=e3da1d13442029a0 content_sha256_short=e74fda067ae8e412 # S89-JOINT-N-S-ALPHA-S-HYPERSURFACE-LAB-DISCRIMINATION-STAGE-2 dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S89-JOINT-N-S-ALPHA-S-HYPERSURFACE-LAB-DISCRIMINATION-STAGE-2 3-tuple annotation (S87 schema-v2; Class 8.5 PRU 2D hypersurface value-field)
S89-SUBSTRATE-CLOCK-PINNING-UNIQUENESS-DERIVATION: PASS -- value='{P_uniqueness_verdict=P_1_UNIQUE,P1_satisfies_5=True,others_at_5_of_5=0,ranking=[('P_1', 5), ('P_2', 4), ('P_3', 2)]}' scheme=substrate-clock-pinning-uniqueness-derivation-5-criteria convention=L-pix-canonical-vs-mode-density-vs-GGE-anchored-candidate-space L_max=10 audit_sha256=6108fd56a3b62e2ea8d735efd5117bd00d7503f99b18d0198222e0c7244784ad content_sha256=4be40eb3c48341360a6dc369dee5be843f55e0a1961bf86f3d021b400b222656 schema_version=S87+
# audit_sha256_short=6108fd56a3b62e2e content_sha256_short=4be40eb3c4834136 # S89-SUBSTRATE-CLOCK-PINNING-UNIQUENESS-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-SUBSTRATE-CLOCK-PINNING-UNIQUENESS-DERIVATION 3-tuple annotation (S87 schema-v2)
S89-VII-AR-STAGE-2-CROSS-AXIS-VERIFY: INFO -- value='clauses_pass=5/8;vdd(i,ii,iii,iv)=PASS,PASS,PASS,PASS;phonon(i,ii,iii,iv)=PASS,PASS,PASS,INFO;rho_S_T1=-0.800000;spread_T1=1.0108;PENDING_ANCHOR_SWEEP=A.36' scheme=joint-theorem-promotion-stage-2-PASS-AND-2-axis-alternative-pool convention=vii-ar-stage-2-cross-axis-verify-no-lizzi-no-connes L_max=12 audit_sha256=3ab925349b13414b621c5541e9f696c18d166872b5f931113cf323234c7521e0 content_sha256=03d29767045de9c5bb7f5366981755e328bb9f24e8acd88e27cfb62b039d230c schema_version=S87+
# audit_sha256_short=3ab925349b13414b content_sha256_short=03d29767045de9c5 # S89-VII-AR-STAGE-2-CROSS-AXIS-VERIFY dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S89-VII-AR-STAGE-2-CROSS-AXIS-VERIFY 3-tuple annotation (S87 schema-v2)
S89-HIGHER-ORDER-RESOLVENT-EXPANSION-O-TAU2-KAPPA2: PASS -- value='{kappa_2_substrate=2.101773e-02,kappa_2_HK5_analytic=2.101773e-02,rel_dev=1.6507e-16,reg_pass=4/4,promotion=PROMOTED}' scheme=CM-1995-section-III-4-resolvent-expansion-kappa-2 convention=TT-deformation-second-order-fold-anchored L_max=12 audit_sha256=9de3814811c2a9929a6d50d36a62dcdd829d850a5c22fd59d88768ca008825e3 content_sha256=3c4df1194c963f7b92ab4298639b76105cb0d244bd595576fc45d7c4a08cd483 schema_version=S87+
# audit_sha256_short=9de3814811c2a992 content_sha256_short=3c4df1194c963f7b # S89-HIGHER-ORDER-RESOLVENT-EXPANSION-O-TAU2-KAPPA2 dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-HIGHER-ORDER-RESOLVENT-EXPANSION-O-TAU2-KAPPA2 3-tuple annotation (S87 schema-v2)
S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING: INFO -- value='clauses_pass=7/8;connes(i,ii,iii,iv)=PASS,FAIL,PASS,PASS;volovik(i,ii,iii,iv)=PASS,PASS,PASS,PASS;orth_PASS=PASS;joint_iii_PASS_AND=True;a40_status=FAIL;binding=CANONICAL-IMPORT-BINDING' scheme=joint-theorem-promotion-stage-2-PASS-AND-2-axis-with-orthogonality-PASS convention=vii-aq-stage-2-cross-axis-canonical-import-binding-with-substrate-input-orthogonality L_max=10 audit_sha256=730588dc9ed971e4ebe58a6d0c49ccf4150f7cbf9b81b546676b6998b93b5eed content_sha256=8cfa64a22e23df44668f0e6a3d7de7894ab248a6b4eda7619486cbaae55cfd69 schema_version=S87+
# audit_sha256_short=730588dc9ed971e4 content_sha256_short=8cfa64a22e23df44 # S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING 3-tuple annotation (S87 schema-v2)
S89-SU-N-CROSS-VALIDATION-5PI-CHAIN: PASS -- value='{alpha_2_emp=1.000000,alpha_4_emp=13.500000,r_2=0.500000,r_4=0.500000,decision=COINCIDENCE,crs_SU2=1/2,crs_SU3=1,crs_SU4=3/2}' scheme=SU-N-cross-validation-Cartan-rational-sum-5pi-chain convention=Cartan-rational-sum-pi-Plancherel-substrate-algebra-SU-N-extension L_max=8 audit_sha256=cf8aaddd362f81c09d25672358ffa5af8f3bde401ef3d8d59de45428ef21ca5a content_sha256=d4cf2429fe69d526cb465bdae674fb4cfd5b936cf16d5f438c8dc6a3df664519 schema_version=S87+
# audit_sha256_short=cf8aaddd362f81c0 content_sha256_short=d4cf2429fe69d526 # S89-SU-N-CROSS-VALIDATION-5PI-CHAIN dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-SU-N-CROSS-VALIDATION-5PI-CHAIN 3-tuple annotation (S87 schema-v2)
S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING: FAIL -- value='clauses_pass=7/8;connes(i,ii,iii,iv)=PASS,FAIL,PASS,PASS;volovik(i,ii,iii,iv)=PASS,PASS,PASS,PASS;orth_PASS=PASS;joint_iii_PASS_AND=True;a40_status=FAIL;binding=CANONICAL-IMPORT-BINDING;supersedes=730588dc9ed971e4ebe58a6d0c49ccf4150f7cbf9b81b546676b6998b93b5eed' scheme=joint-theorem-promotion-stage-2-PASS-AND-2-axis-with-orthogonality-PASS convention=vii-aq-stage-2-cross-axis-canonical-import-binding-with-substrate-input-orthogonality L_max=10 audit_sha256=730588dc9ed971e4ebe58a6d0c49ccf4150f7cbf9b81b546676b6998b93b5eed content_sha256=3b912338f85d5ee2a825a836dc1d8c2203d1001faf9f84678100fd49e54b7ae8 schema_version=S87+
# audit_sha256_short=730588dc9ed971e4 content_sha256_short=3b912338f85d5ee2 # S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING 3-tuple annotation (S87 schema-v2)
