## S70 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 6 (+ 0 in workshops/)
## Total edges (deduped): 66
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:70:session-70-connes-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-70/session-70-connes-synthesis.md | match='session-70-connes-synthesis.md'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-landau-lizzi-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-70/session-70-landau-lizzi-workshop.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-landau-lizzi-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-landau-lizzi-workshop.md | match='## Round 1 — Landau'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-landau-lizzi-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-landau-lizzi-workshop.md | match='## Round 1 — Lizzi'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-landau-lizzi-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-landau-lizzi-workshop.md | match='## Round 2 — Landau'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-landau-lizzi-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-landau-lizzi-workshop.md | match='## Round 2 — Lizzi'
[EDGE:authored_by] gates:W1-A -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-A: LEGGETT-VACUUM-70 -- Mathieu Equation for Leggett Phase During Transit'
[EDGE:authored_by] gates:W1-B -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-B: F0-ALPHA-S-70 -- Spectral Function Normalization Scan for Alpha_s (bap'
[EDGE:authored_by] gates:W1-C -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-C: Q-SOUND-70 -- Sound Speed of Dark Energy Perturbations from Spectral A'
[EDGE:authored_by] gates:W1-D -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-D: BCS-GAP-CANONICAL -- Establish Single Canonical Delta (van-den-dungen-'
[EDGE:authored_by] gates:W1-E -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-E: RATIO-GILKEY-DOCUMENT -- Resolve a_4/a_2 vs ratio_gilkey Convention (b'
[EDGE:authored_by] gates:W1-F -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-F: BELL-GGE-70 -- CHSH Inequality for GGE Relic Quasiparticle Pairs (kita'
[EDGE:authored_by] gates:W1-G -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-G: NON-PERT-SA-70 -- Non-Perturbative Spectral Action at Lambda = 2.048 ('
[EDGE:authored_by] gates:W1-H -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-H: PARAMETRIC-GGE-70 -- Post-Transit Parametric Resonance in BCS Modes (t'
[EDGE:authored_by] gates:W1-I -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-I: TRAPPED-ACOUSTIC-70 -- Null Expansion at the Fold (schwarzschild-penro'
[EDGE:authored_by] gates:W1-J -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W1-J: LMAX7-PW-70 -- Peter-Weyl Extension to L_max = 7 (baptista-spacetime-a'
[EDGE:authored_by] gates:W2-A -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W2-A: FULL-COV-PANTHEON-70 -- Full 1701x1701 Covariance Pantheon+ Reanalysis'
[EDGE:authored_by] gates:W2-B -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W2-B: FULL-COV-RSD-70 -- Full Covariance DESI RSD Reanalysis (mack-cosmic-br'
[EDGE:authored_by] gates:W2-C -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W2-C: CLASS-ISW-70 -- Full Boltzmann ISW with c_s^2_DE = 0 (mack-cosmic-brid'
[EDGE:authored_by] gates:W2-E -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W2-E: VOID-SIZE-70 -- Void Size Function at FW Cosmology (cosmic-web-theoris'
[EDGE:authored_by] gates:W3-A -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-A: BERRY-DENNIS-GGE-70 -- Bucher Test 1: Velocity Distribution (phonon-fi'
[EDGE:authored_by] gates:W3-B -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-B: SUPERLUMINAL-FRACTION-70 -- Bucher Test 2: Superluminal Fraction (land'
[EDGE:authored_by] gates:W3-C -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-C: GGE-PAIR-CORRELATION-70 -- Bucher Test 3: Pair Correlations (landau-co'
[EDGE:authored_by] gates:W3-D -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-D: ANNIHILATION-TIME-70 -- Bucher Test 4: Pair Annihilation Timescale (la'
[EDGE:authored_by] gates:W3-E -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-E: DISCRETE-BERRY-DENNIS-70 -- Bucher Test 5: Discrete Graph Limit (kitae'
[EDGE:authored_by] gates:W3-F -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-F: ZETA-AS-BUDGET-70 -- A_s Gap Budget in Zeta Scheme (lizzi-spectral-fun'
[EDGE:authored_by] gates:W3-G -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-G: LEGGETT-MOMENT-70 -- Which Spectral Moment Controls the Leggett Gap (l'
[EDGE:authored_by] gates:W3-H -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-H: PENROSE-SEQUENCE-70 -- 4-Panel Conformal Diagram Evolution (schwarzsch'
[EDGE:authored_by] gates:W3-I -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-I: KRETSCHNER-BCS-70 -- Kretschmer Scalar Under BCS Backreaction (schwarz'
[EDGE:authored_by] gates:W3-J -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W3-J: MEISSNER-ED-70 -- BCS-Dressed Meissner Stiffness from Exact Diagonaliz'
[EDGE:authored_by] gates:W4-A -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-A: HYDROSTATIC-CLUSTER-70 -- Cluster Mass Function with Hydrostatic Bias '
[EDGE:authored_by] gates:W4-B -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-B: CHIRP-PENUMBRA-70 -- Chirp Rate of Tachyonic Sweep (tesla-resonance)'
[EDGE:authored_by] gates:W4-C -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-C: CAVITY-BCS-HORIZON-70 -- Transmission Through Compound Barrier (tesla-'
[EDGE:authored_by] gates:W4-D -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-D: AP-VOID-70 -- Alcock-Paczynski Test from Void Stacking (cosmic-web-the'
[EDGE:authored_by] gates:W4-E -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-E: BULK-FLOW-70 -- Bulk Flow Amplitude at FW Cosmology (cosmic-web-theori'
[EDGE:authored_by] gates:W4-F -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-F: BETTI-FISHER-70 -- Persistent Betti Number Forecast (cosmic-web-theori'
[EDGE:authored_by] gates:W4-G -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-G: OFF-JENSEN-HESS-70 -- Full 35x35 Off-Jensen Hessian at Fold (baptista-'
[EDGE:authored_by] gates:W4-H -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-H: SPECTRAL-DIM-FLOW-70 -- Spectral Dimension Flow Over 5 Decades (volovi'
[EDGE:authored_by] gates:W4-I -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W4-I: BCS-PROXIMITY-70 -- Induced Pairing Beyond 8 Near-Fermi Modes (volovik'
[EDGE:authored_by] gates:W5-A -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-A: DM-PAIR-DECAY-70 -- Leggett Decay Rate vs FIRAS/PIXIE (mack-cosmic-bri'
[EDGE:authored_by] gates:W5-C -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-C: WEYL-NP-SCALARS-70 -- Newman-Penrose Scalars Under BCS (schwarzschild-'
[EDGE:authored_by] gates:W5-D -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-D: NEAR-EXTREMAL-70 -- BCS Thermodynamics Near Extremality (schwarzschild'
[EDGE:authored_by] gates:W5-E -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-E: BAO-PEAK-DAMP-70 -- 2nd/3rd BAO Harmonic at n_s = 0.9595 (cosmic-web-t'
[EDGE:authored_by] gates:W5-F -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-F: VOID-CS2-70 -- Void Profiles at c_s^2 = 0 vs 1 (cosmic-web-theorist)'
[EDGE:authored_by] gates:W5-G -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-G: PDF-FOLDED-70 -- Density PDF with Folded f_NL (cosmic-web-theorist)'
[EDGE:authored_by] gates:W5-H -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-H: EPSH-ALPHA-SENSITIVITY-70 -- Sensitivity of eps_H to Strong Coupling ('
[EDGE:authored_by] gates:W5-I -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-I: CONSISTENCY-FI-MAP-70 -- Functional Independence vs Scheme Dependence '
[EDGE:authored_by] gates:W5-J -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-J: 3-MODE-BAW-70 -- Multi-Mode BAW Design (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W5-K -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-K: DESI-DR3-UPDATE-70 -- Decision Tree Update for DESI DR3 (mack-cosmic-b'
[EDGE:authored_by] gates:W5-L -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-results-workingpaper.md | match='### W5-L: GEODESIC-MODULI-70 -- Geodesic Distance on Moduli Space (baptista-spac'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md | match='van-den-dungen (van-den-dungen-bridge-theorist)'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md | match='## Round 1 — Van-den-Dungen'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md | match='## Round 1 — Mack'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md | match='## Round 2 — Van-den-Dungen'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-van-den-dungen-mack-workshop.md | match='## Round 2 — Mack'
