## S40 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 38 (+ 0 in workshops/)
## Total edges (deduped): 69
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:40:session-40-baptista-collab-addendum.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-baptista-collab-addendum.md | match='**Author**: Baptista (Spacetime Analysis, KK Geometry, Metric Spaces)'
[EDGE:authored_by] gates:40:session-40-einstein-addenda-nazarewicz-addendum.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-nazarewicz-addendum.md | match='**Author**: Nazarewicz (Nuclear Structure, DFT, BCS Pairing)'
[EDGE:authored_by] data_provenance:40:session-40-einstein-addenda-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-nazarewicz-collab.md | match='**Author**: Nazarewicz (Nuclear Structure, DFT, BCS Pairing)'
[EDGE:authored_by] gates:40:session-40-einstein-addenda-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-nazarewicz-collab.md | match='**Author**: Nazarewicz (Nuclear Structure, DFT, BCS Pairing)'
[EDGE:authored_by] data_provenance:40:session-40-einstein-addenda-quantum-foam-addendum.md -> researchers:quantum-foam-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-quantum-foam-addendum.md | match='**Author**: Quantum Foam (Planck-Scale Structure, Spacetime Foam,
[EDGE:authored_by] gates:40:session-40-einstein-addenda-quantum-foam-addendum.md -> researchers:quantum-foam-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-quantum-foam-addendum.md | match='**Author**: Quantum Foam (Planck-Scale Structure, Spacetime Foam,
[EDGE:authored_by] data_provenance:40:session-40-einstein-addenda-quantum-foam-collab.md -> researchers:quantum-foam-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-quantum-foam-collab.md | match='**Author**: Quantum Foam (Planck-Scale Structure, Spacetime Foam, W
[EDGE:authored_by] gates:40:session-40-einstein-addenda-quantum-foam-collab.md -> researchers:quantum-foam-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-quantum-foam-collab.md | match='**Author**: Quantum Foam (Planck-Scale Structure, Spacetime Foam, W
[EDGE:authored_by] data_provenance:40:session-40-einstein-addenda-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-tesla-collab.md | match='**Author**: Tesla (Resonance, Phonon/Acoustic Mathematics, Superfluid Dyna
[EDGE:authored_by] gates:40:session-40-einstein-addenda-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-tesla-collab.md | match='**Author**: Tesla (Resonance, Phonon/Acoustic Mathematics, Superfluid Dyna
[EDGE:authored_by] data_provenance:40:session-40-einstein-collab-addendum-2.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-collab-addendum-2.md | match='**Author**: Einstein (Principle-Theoretic Reasoning)'
[EDGE:authored_by] gates:40:session-40-einstein-collab-addendum-2.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-collab-addendum-2.md | match='**Author**: Einstein (Principle-Theoretic Reasoning)'
[EDGE:authored_by] data_provenance:40:session-40-einstein-collab-addendum.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-collab-addendum.md | match='**Author**: Einstein (Principle-Theoretic Reasoning)'
[EDGE:authored_by] gates:40:session-40-einstein-collab-addendum.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-collab-addendum.md | match='**Author**: Einstein (Principle-Theoretic Reasoning)'
[EDGE:authored_by] data_provenance:40:session-40-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-collab.md | match='**Author**: Einstein (Principle-Theoretic Reasoning)'
[EDGE:authored_by] gates:40:session-40-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-collab.md | match='**Author**: Einstein (Principle-Theoretic Reasoning)'
[EDGE:authored_by] data_provenance:40:session-40-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-feynman-collab.md | match='**Author**: Feynman (Path Integrals, QFT, First-Principles Calculation)'
[EDGE:authored_by] gates:40:session-40-feynman-collab.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-feynman-collab.md | match='**Author**: Feynman (Path Integrals, QFT, First-Principles Calculation)'
[EDGE:authored_by] data_provenance:40:session-40-foam-carlip-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-foam-carlip-tesla-collab.md | match='**Author**: Tesla (Resonance, Phonon/Acoustic Mathematics, Superfluid Dynamics)
[EDGE:authored_by] gates:40:session-40-foam-carlip-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-foam-carlip-tesla-collab.md | match='**Author**: Tesla (Resonance, Phonon/Acoustic Mathematics, Superfluid Dynamics)
[EDGE:authored_by] data_provenance:40:session-40-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-hawking-collab.md | match='**Author**: Hawking (Black Hole Physics, Semiclassical Gravity, Information Para'
[EDGE:authored_by] gates:40:session-40-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-hawking-collab.md | match='**Author**: Hawking (Black Hole Physics, Semiclassical Gravity, Information Para'
[EDGE:authored_by] data_provenance:40:session-40-kitaev-collab.md -> researchers:kitaev-quantum-chaos-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-kitaev-collab.md | match='**Author**: Kitaev (Quantum Chaos, OTOCs, Information Scrambling, SYK Model)'
[EDGE:authored_by] gates:40:session-40-kitaev-collab.md -> researchers:kitaev-quantum-chaos-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-kitaev-collab.md | match='**Author**: Kitaev (Quantum Chaos, OTOCs, Information Scrambling, SYK Model)'
[EDGE:authored_by] data_provenance:40:session-40-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-kk-collab.md | match='**Author**: Kaluza-Klein (Extra Dimensions, Gauge-Gravity Unification, Compactif'
[EDGE:authored_by] gates:40:session-40-kk-collab.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-kk-collab.md | match='**Author**: Kaluza-Klein (Extra Dimensions, Gauge-Gravity Unification, Compactif'
[EDGE:authored_by] data_provenance:40:session-40-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-landau-collab.md | match='**Author**: Landau (Condensed Matter, Phase Transitions, Symmetry Breaking, Orde'
[EDGE:authored_by] gates:40:session-40-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-landau-collab.md | match='**Author**: Landau (Condensed Matter, Phase Transitions, Symmetry Breaking, Orde'
[EDGE:authored_by] data_provenance:40:session-40-little-red-dots-collab.md -> researchers:little-red-dots-jwst-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-little-red-dots-collab.md | match='**Author**: Little Red Dots (JWST Observations, High-z Compact Galaxies, AGN Dem'
[EDGE:authored_by] gates:40:session-40-little-red-dots-collab.md -> researchers:little-red-dots-jwst-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-little-red-dots-collab.md | match='**Author**: Little Red Dots (JWST Observations, High-z Compact Galaxies, AGN Dem'
[EDGE:authored_by] data_provenance:40:session-40-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-nazarewicz-collab.md | match='**Author**: Nazarewicz (Nuclear Structure, DFT, BCS Pairing, Shell Structure)'
[EDGE:authored_by] gates:40:session-40-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-nazarewicz-collab.md | match='**Author**: Nazarewicz (Nuclear Structure, DFT, BCS Pairing, Shell Structure)'
[EDGE:authored_by] data_provenance:40:session-40-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-neutrino-collab.md | match='**Author**: Neutrino (Detection Methodologies, Oscillation Phenomenology, Mass M'
[EDGE:authored_by] gates:40:session-40-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-neutrino-collab.md | match='**Author**: Neutrino (Detection Methodologies, Oscillation Phenomenology, Mass M'
[EDGE:authored_by] data_provenance:40:session-40-paasch-collab-addendum.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-paasch-collab-addendum.md | match='**Author**: Paasch (Mass Quantization, Logarithmic Potentials)'
[EDGE:authored_by] gates:40:session-40-paasch-collab-addendum.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-paasch-collab-addendum.md | match='**Author**: Paasch (Mass Quantization, Logarithmic Potentials)'
[EDGE:authored_by] data_provenance:40:session-40-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-paasch-collab.md | match='**Author**: Paasch (Mass Quantization, Logarithmic Potentials, Exponential Hiera'
[EDGE:authored_by] gates:40:session-40-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-paasch-collab.md | match='**Author**: Paasch (Mass Quantization, Logarithmic Potentials, Exponential Hiera'
[EDGE:authored_by] data_provenance:40:session-40-quantum-acoustics-collab-addendum.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-40/session-40-quantum-acoustics-collab-addendum.md | match='session-40-quantum-acoustics-collab-addendum.md'
[EDGE:authored_by] data_provenance:40:session-40-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics (Phonon-Based Quantum Analogs, Sound-Based Field 
[EDGE:authored_by] gates:40:session-40-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics (Phonon-Based Quantum Analogs, Sound-Based Field 
[EDGE:authored_by] data_provenance:40:session-40-quantum-foam-collab.md -> researchers:quantum-foam-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-quantum-foam-collab.md | match='**Author**: Quantum Foam (Planck-Scale Structure, Spacetime Foam, Wheeler-DeWitt'
[EDGE:authored_by] gates:40:session-40-quantum-foam-collab.md -> researchers:quantum-foam-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-quantum-foam-collab.md | match='**Author**: Quantum Foam (Planck-Scale Structure, Spacetime Foam, Wheeler-DeWitt'
[EDGE:authored_by] data_provenance:40:session-40-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-sagan-collab.md | match='**Author**: Sagan (Empirical Evaluation, Testable Predictions, Statistical Rigor'
[EDGE:authored_by] gates:40:session-40-sagan-collab.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-sagan-collab.md | match='**Author**: Sagan (Empirical Evaluation, Testable Predictions, Statistical Rigor'
[EDGE:authored_by] data_provenance:40:session-40-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Exact Solutions, Global Causal Structure, Con'
[EDGE:authored_by] gates:40:session-40-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Exact Solutions, Global Causal Structure, Con'
[EDGE:authored_by] data_provenance:40:session-40-spectral-geometer-collab.md -> researchers:spectral-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-spectral-geometer-collab.md | match='**Author**: Spectral Geometer (Heat Kernel Asymptotics, Seeley-DeWitt Coefficie
[EDGE:authored_by] gates:40:session-40-spectral-geometer-collab.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-spectral-geometer-collab.md | match='**Author**: Spectral Geometer (Heat Kernel Asymptotics, Seeley-DeWitt Coefficie
[EDGE:authored_by] data_provenance:40:session-40-string-theory-collab.md -> researchers:string-theory-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-string-theory-collab.md | match='**Author**: String Theory (M-Theory, AdS/CFT, Compactification, Dualities, Lands'
[EDGE:authored_by] gates:40:session-40-string-theory-collab.md -> researchers:string-theory-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-string-theory-collab.md | match='**Author**: String Theory (M-Theory, AdS/CFT, Compactification, Dualities, Lands'
[EDGE:authored_by] data_provenance:40:session-40-tesla-collab-addendum.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-tesla-collab-addendum.md | match='**Author**: Tesla (Resonance, Phonon/Acoustic Mathematics, Superfluid Dynamics)'
[EDGE:authored_by] gates:40:session-40-tesla-collab-addendum.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-tesla-collab-addendum.md | match='**Author**: Tesla (Resonance, Phonon/Acoustic Mathematics, Superfluid Dynamics)'
[EDGE:authored_by] data_provenance:40:session-40-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-tesla-collab.md | match='**Author**: Tesla (Resonance, Phonon/Acoustic Mathematics, Superfluid Dynamics)'
[EDGE:authored_by] gates:40:session-40-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-tesla-collab.md | match='**Author**: Tesla (Resonance, Phonon/Acoustic Mathematics, Superfluid Dynamics)'
