## S59 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 7 (+ 0 in workshops/)
## Total edges (deduped): 33
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:59:session-59-bap-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-bap-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] gates:W1-1 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W1-1: Zubarev Non-Equilibrium Operator (volovik)'
[EDGE:authored_by] gates:W1-2 -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W1-2: DM Abundance Recalculation (phonon-first)'
[EDGE:authored_by] gates:W1-3 -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W1-3: w_a Error Propagation for DESI DR3 (mack)'
[EDGE:authored_by] gates:W1-4 -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W1-4: Observational Discriminant from LCDM (mack)'
[EDGE:authored_by] gates:W1-6 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W1-6: Cheeger Deformation Theorem (baptista)'
[EDGE:authored_by] gates:W1-7 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W1-7: Page Curve for Multi-Cell Entanglement (hawking)'
[EDGE:authored_by] gates:W2-2 -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W2-2: G_2 Minimal Viability Test (spectral-geometer)'
[EDGE:authored_by] gates:W3-1 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W3-1: Josephson Phase Coherence at the Fold (volovik)'
[EDGE:authored_by] gates:W3-2 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W3-2: SA/E_J Saddle Orthogonality (baptista)'
[EDGE:authored_by] gates:W3-3 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W3-3: Epsilon Hierarchy Resolution (quantum-acoustics)'
[EDGE:authored_by] gates:W3-4 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W3-4: Temperature Mismatch (volovik)'
[EDGE:authored_by] gates:W3-5 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W3-5: Domain Wall Transition Order (hawking)'
[EDGE:authored_by] gates:W3-6 -> researchers:feynman-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W3-6: Baryon Problem Diagnostic (feynman)'
[EDGE:authored_by] gates:W3-7 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W3-7: Bogoliubov Coefficient Analysis (hawking)'
[EDGE:authored_by] gates:W3-8 -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W3-8: Stochastic GW Background (cosmic-web)'
[EDGE:authored_by] data_provenance:59:session-59-vol-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-vol-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] gates:59:session-59-vol-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-vol-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
