## S73b Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 7 (+ 0 in workshops/)
## Total edges (deduped): 44
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:73b:session-73b-dirac-synthesis.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-73b/session-73b-dirac-synthesis.md | match='session-73b-dirac-synthesis.md'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md | match='## Round 1 — hawking'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md | match='## Round 2 — phonon-first'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md | match='## Round 2 — hawking'
[EDGE:authored_by] gates:W1-A -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W1-A: TRANSIT-PS-73B -- Full Bogoliubov Power Spectrum Through Fold (hawking'
[EDGE:authored_by] gates:W1-B -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W1-B: BBN-VOLOVIK-73B -- Full BBN with Volovik Tracking EOS (mack-cosmic-bri'
[EDGE:authored_by] gates:W1-C -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W1-C: FUNCTIONAL-SELECT-73B -- Spectral Functional Selection Principle (conn'
[EDGE:authored_by] gates:W1-D -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W1-D: EFOLD-MAPPING-73B -- Full Expansion History from Fold to Present (volo'
[EDGE:authored_by] gates:W2-A -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W2-A: THRESHOLD-RATIOS-73B -- PW-Sector Resolved KK Thresholds (connes-ncg-t'
[EDGE:authored_by] gates:W2-B -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W2-B: BRANCHING-JOSEPHSON-73B -- Representation-Resolved Josephson Couplings'
[EDGE:authored_by] gates:W2-C -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W2-C: COMPOUND-NS-73B -- Entry + Fold + Exit Compound Tilt (phonon-first-cos'
[EDGE:authored_by] gates:W2-D -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W2-D: GIBBS-DUHEM-GGE-73B -- Zubarev vs Keldysh w_0 Resolution (volovik-supe'
[EDGE:authored_by] gates:W2-E -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W2-E: CORRECTIONS-PROPAGATE-73B -- S46 Unpropagated Numerical Corrections (g'
[EDGE:authored_by] gates:W3-A -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W3-A: SDW-VALIDATION-73B -- Direct Spectral Sum vs SDW Under f* (lizzi-spect'
[EDGE:authored_by] gates:W3-B -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W3-B: MULTI-CELL-INTEG-73B -- Level Statistics at N_pair = 4 (landau-condens'
[EDGE:authored_by] gates:W3-C -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W3-C: WILSON-LOOP-73B -- Non-Abelian Berry Phase Wilson Loop (schwarzschild-'
[EDGE:authored_by] gates:W3-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W3-D: SIGNED-BF-LOG-73B -- Signed Boson-Fermion Log Sum (gen-physicist)'
[EDGE:authored_by] gates:W3-E -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W3-E: THREE-PHONON-73B -- Three-Phonon Vertex (landau-condensed-matter-theor'
[EDGE:authored_by] gates:W3-F -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W3-F: SIX-SEQUENCE-73B -- Six-Sequence Test (gen-physicist)'
[EDGE:authored_by] gates:W4-C -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W4-C: DESI-DR3-PREP-73B -- DESI DR3 Response Strategy Document (mack-cosmic-'
[EDGE:authored_by] gates:W4-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='### W4-D: EVOI-TABLE-UPDATE-73B -- Mandatory EVOI Table Update (gen-physicist)'
[EDGE:authored_by] gates:73b:session-73b-results-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='**Agent**: gen-physicist'
[EDGE:authored_by] gates:73b:session-73b-results-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='**Agent**: hawking-theorist'
[EDGE:authored_by] gates:73b:session-73b-results-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:73b:session-73b-results-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-results-workingpaper.md | match='**Agent**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] data_provenance:73b:session-73b-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-73b/session-73b-sp-synthesis.md | match='session-73b-sp-synthesis.md'
[EDGE:authored_by] gates:73b:session-73b-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-sp-synthesis.md | match='**Agent**: schwarzschild-penrose-geometer'
[EDGE:authored_by] data_provenance:73b:session-73b-tesla-synthesis.md -> researchers:tesla-resonance  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-73b/session-73b-tesla-synthesis.md | match='session-73b-tesla-synthesis.md'
