## S10 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 0
## Verdict files scanned: 0
## Plan files scanned: 57
## Session .md files scanned (cited_in scope): 1
## Total edges (deduped): 102
## Edge types: succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:succ_of] gates:S104-SWMAX-MPMATH-EDGE -> gates:S104-VIIAM-L11-ANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w1.md | match='## §W1-2. S104-SWMAX-MPMATH-EDGE'
[EDGE:succ_of] gates:S101-Z3-PHASE-REPHASING-INVARIANCE -> gates:S101-D5-MD-GAPEQ  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-5. S101-Z3-PHASE-REPHASING-INVARIANCE'
[EDGE:succ_of] gates:S101-CCS-MODELC-KO-DERIVATION -> gates:S101-Z3-PHASE-REPHASING-INVARIANCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-6. S101-CCS-MODELC-KO-DERIVATION'
[EDGE:succ_of] gates:S101-PS-RGE-MODELC-SIN2-MZ -> gates:S101-CCS-MODELC-KO-DERIVATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-7. S101-PS-RGE-MODELC-SIN2-MZ'
[EDGE:succ_of] gates:S101-W1-QEQ-RELIC-ODDFLOOR -> gates:S101-W1-QEQ-SELFCONS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w4.md | match='## §W4-2. S101-W1-QEQ-RELIC-ODDFLOOR'
[EDGE:succ_of] gates:S101-W0-BRANCH-IV-EVALUATOR -> gates:S101-W1-QEQ-RELIC-ODDFLOOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w4.md | match='## §W4-3. S101-W0-BRANCH-IV-EVALUATOR'
[EDGE:succ_of] gates:S101-H0-PROPER-A2 -> gates:S101-W0-BRANCH-IV-EVALUATOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w4.md | match='## §W4-4. S101-H0-PROPER-A2'
[EDGE:succ_of] gates:S101-M0-BCS-SCREENING -> gates:S101-H0-PROPER-A2  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w4.md | match='## §W4-5. S101-M0-BCS-SCREENING'
[EDGE:succ_of] gates:S101-LADDER-COMPOSITION -> gates:S101-BETA-PIVOT-PROMOTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-2. S101-LADDER-COMPOSITION'
[EDGE:succ_of] gates:S101-TRICRITICAL-ADJACENCY -> gates:S101-LADDER-COMPOSITION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-3. S101-TRICRITICAL-ADJACENCY'
[EDGE:succ_of] gates:S101-B2-ISOTROPY-BREAKING -> gates:S101-TRICRITICAL-ADJACENCY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-4. S101-B2-ISOTROPY-BREAKING'
[EDGE:succ_of] gates:S101-AF1-MODE-A-ABSOLUTE -> gates:S101-B2-ISOTROPY-BREAKING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-5. S101-AF1-MODE-A-ABSOLUTE'
[EDGE:succ_of] gates:S101-LRD-SELECTION-REVERIFY -> gates:S101-AF1-MODE-A-ABSOLUTE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w5.md | match='## §W5-6. S101-LRD-SELECTION-REVERIFY'
[EDGE:succ_of] gates:S101-DUAL-Z3-REGISTRY-LANDING -> gates:S101-FOAM-PROTECTION-REGISTRY-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-2. S101-DUAL-Z3-REGISTRY-LANDING'
[EDGE:succ_of] gates:S101-VIIBM-STATEPROJ-LANDING -> gates:S101-DUAL-Z3-REGISTRY-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-3. S101-VIIBM-STATEPROJ-LANDING'
[EDGE:succ_of] gates:S101-HPARITY-STAGE1-REGISTRATION -> gates:S101-VIIBM-STATEPROJ-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-4. S101-HPARITY-STAGE1-REGISTRATION'
[EDGE:succ_of] gates:S101-ROUTE-D-SURVIVING-BLOCK-LANDING -> gates:S101-HPARITY-STAGE1-REGISTRATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-5. S101-ROUTE-D-SURVIVING-BLOCK-LANDING'
[EDGE:succ_of] gates:S101-SCHUR-RIGIDITY-STAGE1-REGISTRATION -> gates:S101-ROUTE-D-SURVIVING-BLOCK-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-6. S101-SCHUR-RIGIDITY-STAGE1-REGISTRATION'
[EDGE:succ_of] gates:S101-HK-PMNS-PIN-PROMOTION -> gates:S101-SCHUR-RIGIDITY-STAGE1-REGISTRATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-7. S101-HK-PMNS-PIN-PROMOTION'
[EDGE:succ_of] gates:S101-Y1-ZERO-PERMANENCE-LINE -> gates:S101-HK-PMNS-PIN-PROMOTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w6.md | match='## §W6-8. S101-Y1-ZERO-PERMANENCE-LINE'
[EDGE:succ_of] gates:S101-SCHUR-RIGIDITY-STAGE2-VERIFY -> gates:S101-CONNES-STATEPROJ-STAGE2-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w7.md | match='## §W7-2. S101-SCHUR-RIGIDITY-STAGE2-VERIFY'
[EDGE:succ_of] gates:S101-MULT-CANCELLATION-DETECTOR-LAB-IN-AXIS -> gates:S101-HK-SELECTION-RULE-PREFLIGHT-AUDIT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w8.md | match='## §W8a-2. S101-MULT-CANCELLATION-DETECTOR-LAB-IN-AXIS'
[EDGE:succ_of] gates:S101-ANALYTIC-HM-CERTIFICATION -> gates:S101-MULT-CANCELLATION-DETECTOR-LAB-IN-AXIS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w8.md | match='## §W8a-3. S101-ANALYTIC-HM-CERTIFICATION *(OPTIONAL SLOT — drop FIRST under capacity pres'
[EDGE:succ_of] gates:S101-HK-SUFFIX-DISCIPLINE -> gates:S101-HK-SELECTION-RULE-PREFLIGHT-RULE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w8.md | match='## §W8b-2. S101-HK-SUFFIX-DISCIPLINE'
[EDGE:succ_of] gates:S101-COMPOSITE-PRECEDENCE-RULE-EXTENSION -> gates:S101-HK-SUFFIX-DISCIPLINE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w8.md | match='## §W8b-3. S101-COMPOSITE-PRECEDENCE-RULE-EXTENSION'
[EDGE:succ_of] gates:S102-NNU-FALSIFIER-I-R1-SOURCECHECK -> gates:S102-NNU-STAGE1-REGISTRATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w1.md | match='## §W1-2. S102-NNU-FALSIFIER-I-R1-SOURCECHECK (CF-α)'
[EDGE:succ_of] gates:S102-NNU-FALSIFIER-II-RANK1-COVARIANCE -> gates:S102-NNU-FALSIFIER-I-R1-SOURCECHECK  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w1.md | match='## §W1-3. S102-NNU-FALSIFIER-II-RANK1-COVARIANCE (CF-β)'
[EDGE:succ_of] gates:S102-NNU-STAGE2-VERIFY -> gates:S102-NNU-FALSIFIER-II-RANK1-COVARIANCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w1.md | match='## §W1-4. S102-NNU-STAGE2-VERIFY'
[EDGE:succ_of] gates:S102-CAPSTONE-63-RESCOPE-PATCH -> gates:S102-NNU-STAGE2-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w1.md | match='## §W1-5. S102-CAPSTONE-63-RESCOPE-PATCH'
[EDGE:succ_of] gates:CF-S102-ROUTE-D-STAGE2 -> gates:CF-S102-HPARITY-STAGE2  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w2.md | match='## §W2-2. CF-S102-ROUTE-D-STAGE2'
[EDGE:succ_of] gates:CF-S102-S7-PILLARVII-LC-REGISTRATION -> gates:CF-S102-ROUTE-D-STAGE2  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w2.md | match='## §W2-3. CF-S102-S7-PILLARVII-LC-REGISTRATION'
[EDGE:succ_of] gates:CF-S102-VIIAM-L2L3-RECON -> gates:CF-S102-S7-PILLARVII-LC-REGISTRATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w2.md | match='## §W2-4. CF-S102-VIIAM-L2L3-RECON'
[EDGE:succ_of] gates:S102-CAPSTONE-73-BFSPINE-PATCH -> gates:CF-S102-VIIAM-L2L3-RECON  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w2.md | match='## §W2-5. S102-CAPSTONE-73-BFSPINE-PATCH'
[EDGE:succ_of] gates:S102-FOREIGN-STACK-PW-BLOCK-REIMPL -> gates:S102-FEGAN-TAU0-SPECTRUM-VALIDATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w3.md | match='## §W3-12. S102-FOREIGN-STACK-PW-BLOCK-REIMPL'
[EDGE:succ_of] gates:S102-STRATUM1-LIT-SWEEP -> gates:S102-FOREIGN-STACK-PW-BLOCK-REIMPL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w3.md | match='## §W3-13. S102-STRATUM1-LIT-SWEEP'
[EDGE:succ_of] gates:S102-TRD2-MONOTONICITY-ANALYTIC -> gates:S102-STRATUM1-LIT-SWEEP  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w3.md | match='## §W3-14. S102-TRD2-MONOTONICITY-ANALYTIC'
[EDGE:succ_of] gates:CF-S102-KAPPA-NU-FIRSTPRINCIPLES -> gates:CF-S102-QUARK-PERGEN-KERNEL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w4.md | match='## §W4-16. CF-S102-KAPPA-NU-FIRSTPRINCIPLES'
[EDGE:succ_of] gates:CF-S102-NU-GRADING-EXTERNAL-EPSLX -> gates:CF-S102-KAPPA-NU-FIRSTPRINCIPLES  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w4.md | match='## §W4-17. CF-S102-NU-GRADING-EXTERNAL-EPSLX'
[EDGE:succ_of] gates:CF-S102-MODELC-PHENO-SCALES -> gates:CF-S102-NU-GRADING-EXTERNAL-EPSLX  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w4.md | match='## §W4-18. CF-S102-MODELC-PHENO-SCALES'
[EDGE:succ_of] gates:CF-S102-M0-TRANSFER-CONVENTION -> gates:CF-S102-MODELC-PHENO-SCALES  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w4.md | match='## §W4-19. CF-S102-M0-TRANSFER-CONVENTION'
[EDGE:succ_of] gates:S102-MH-ROUTE-SELECTION -> gates:CF-S102-M0-TRANSFER-CONVENTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w4.md | match='## §W4-20. S102-MH-ROUTE-SELECTION'
[EDGE:succ_of] gates:CF-S102-BRANCH-IV-CANONICAL-EVAL -> gates:CF-S102-H0-ANCHOR-INDEPENDENT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w5.md | match='## §W5-2. CF-S102-BRANCH-IV-CANONICAL-EVAL'
[EDGE:succ_of] gates:CF-S102-BF-SPINE-VS-LCDM -> gates:CF-S102-BRANCH-IV-CANONICAL-EVAL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w5.md | match='## §W5-3. CF-S102-BF-SPINE-VS-LCDM'
