## S86 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 27 (+ 38 in workshops/)
## Total edges (deduped): 167
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:86:c1_exflation_proposal.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/c1_exflation_proposal.md | match='**Author**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:86:session-86-w13-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w13-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:86:session-86-w13-workingpaper.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w13-workingpaper.md | match='**Agent**: `sagan-empiricist` (mack self-blacklist: own-carry-forward adjudicati'
[EDGE:authored_by] gates:86:session-86-w13-workingpaper.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w13-workingpaper.md | match='**Agent**: `cosmic-web-theorist` (mack self-blacklist: own-carry-forward source)'
[EDGE:authored_by] gates:86:session-86-w13-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w13-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (parent-framework owner of dua'
[EDGE:authored_by] gates:86:session-86-w14-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w14-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:86:session-86-w15-workingpaper.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w15-workingpaper.md | match='**Agent**: `kaku-speculative-theorist` (primary, executed)'
[EDGE:authored_by] gates:86:session-86-w15-workingpaper.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w15-workingpaper.md | match='**Agent**: `sagan-empiricist` (primary, executed)'
[EDGE:authored_by] gates:86:session-86-w15-workingpaper.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w15-workingpaper.md | match='**Author**: orchestrator (per skill §6 — the only section the orchestrator write'
[EDGE:authored_by] gates:86:session-86-w1a-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w1a-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:86:session-86-w1a-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w1a-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:86:session-86-w1b-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w1b-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:86:session-86-w1b-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w1b-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (primary; cross-cite `landau-s'
[EDGE:authored_by] gates:86:session-86-w1c-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w1c-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:86:session-86-w1c-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w1c-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:86:session-86-w1c-workingpaper.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w1c-workingpaper.md | match='**Agent**: `kaku-speculative-theorist`'
[EDGE:authored_by] gates:86:session-86-w1c-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w1c-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:86:session-86-w2-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w2-workingpaper.md | match='**Agent**: `spectral-geometer`'
[EDGE:authored_by] gates:86:session-86-w2-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w2-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:86:session-86-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:86:session-86-w3-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w3-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:86:session-86-w3-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w3-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (fallback: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:86:session-86-w4-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w4-workingpaper.md | match='**Agent**: `transit-dynamics-theorist` (primary) + `volovik-superfluid-universe-'
[EDGE:authored_by] gates:86:session-86-w4-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w4-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (primary; Mellin Strip / Converg'
[EDGE:authored_by] gates:86:session-86-w4-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w4-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (primary, R3 closer of S85 workshop) + `lizzi-s'
[EDGE:authored_by] gates:86:session-86-w5a-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w5a-workingpaper.md | match='**Agent**: `transit-dynamics-theorist` (specialist; dispatched as runtime comput'
[EDGE:authored_by] gates:86:session-86-w5b-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w5b-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:86:session-86-w5b-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w5b-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:86:session-86-w5b-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w5b-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (cross-reviewer `connes-ncg-theo'
[EDGE:authored_by] gates:86:session-86-w6-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w6-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:86:session-86-w6-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w6-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:86:session-86-w7-workingpaper.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w7-workingpaper.md | match='**Author**: orchestrator (gen-physicist-equivalent at the planner level; both ga'
[EDGE:authored_by] gates:86:session-86-w8-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w8-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:86:session-86-w9-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w9-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:86:session-86-w9-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w9-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-alpha-s-tension-and-sign-lock.md | match='## Round 3 — volovik'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-bimodality-and-4fold-cardinality.md | match='## Round 3 — volovik'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md | match='## Round 3 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cm1995-kernel-normalization-audit.md | match='## Round 3 — connes'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-cutoff-sqrt-gate-abc-trio.md | match='## Round 2 — lizzi'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/s86-eta-gv-joint-probe-bulletins-1-2.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-eta-gv-joint-probe-bulletins-1-2.md | match='**Agent**: connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-fnl-folded-pathway-adjudication.md | match='## Round 3 — lizzi'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md | match='## Round 3 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-hp1-cohomology-quantum-metric-bridge.md | match='## Round 3 — connes'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md | match='## Round 2 — lizzi'
