## S43 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 13 (+ 0 in workshops/)
## Total edges (deduped): 43
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-43/s43_cc_113_workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-43/s43_cc_113_workshop.md | match='## Round 1: Hawking'
[EDGE:authored_by] gates:W3-4 -> researchers:dirac-antimatter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W3-4: Chiral Eta Invariant at Domain Wall (dirac-antimatter-theorist)'
[EDGE:authored_by] gates:W3-5 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W3-5: KZ Power Spectrum Transfer Function (tesla-resonance)'
[EDGE:authored_by] gates:W4-2 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W4-2: Lichnerowicz Laplacian Stability at Fold (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W4-3 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W4-3: Breathing Mode of 32-Cell Tessellation (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W4-4 -> researchers:quantum-foam-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W4-4: One-Loop LIV Coefficient from KK Tower (quantum-foam-theorist)'
[EDGE:authored_by] gates:W5-1 -> researchers:dirac-antimatter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-1: Off-Jensen J-Symmetry Breaking (dirac-antimatter-theorist)'
[EDGE:authored_by] gates:W5-2 -> researchers:dirac-antimatter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-2: Twisted Real Structure -- Filaci-Landi (dirac-antimatter-theorist)'
[EDGE:authored_by] gates:W5-4 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-4: Discrete+Continuum Fano at 4D Boundaries (nazarewicz-nuclear-structure'
[EDGE:authored_by] gates:W5-6 -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-6: Void Expansion Rate as Growth Probe (cosmic-web-theorist)'
[EDGE:authored_by] gates:W5-7 -> researchers:cosmic-web-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-7: DESI DR2 Void Catalog Comparison (cosmic-web-theorist)'
[EDGE:authored_by] gates:W5-8 -> researchers:little-red-dots-jwst-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-8: LRD Clustering Quantitative b Comparison (little-red-dots-jwst-analyst'
[EDGE:authored_by] gates:W5-9 -> researchers:little-red-dots-jwst-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-9: Simons Observatory CMB Lensing Pre-Registration (little-red-dots-jwst-'
[EDGE:authored_by] gates:W5-10 -> researchers:little-red-dots-jwst-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-10: SIDM vs NFW Halo Profiles in Lensed LRDs (little-red-dots-jwst-analys'
[EDGE:authored_by] gates:W5-11 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-11: Angular-Momentum-Coupled HF Cascade (nazarewicz-nuclear-structure-the'
[EDGE:authored_by] gates:W5-12 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W5-12: Bayesian M_KK Posterior (nazarewicz-nuclear-structure-theorist)'
[EDGE:authored_by] gates:W7-1 -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W7-1: Coupled Friedmann-BCS epsilon_H During Transition (gen-physicist)'
[EDGE:authored_by] gates:W7-3 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W7-3: Full Transfer Function KK → CMB Scales (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W7-5 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W7-5: Full Modulated Reheating — Beyond Linear delta-N (tesla-resonance)'
