## S95 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 7
## Verdict files scanned: 1
## Plan files scanned: 11
## Session .md files scanned (cited_in scope): 24
## Total edges (deduped): 61
## Edge types: anchored_in,carries_forward,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:95 -> gates:CF-S96-K-CSUB-R-EXTERNAL-CHANNEL-SCALE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-95/session-95-w1-workingpaper.md | match='### CF-S96-K-CSUB-R-EXTERNAL-CHANNEL-SCALE (CONDITIONAL — schedule only if a dow'
[EDGE:anchored_in] gates:S95-W2-3-NO-WELL-ONE-LOOP -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W2-3-NO-WELL-ONE-LOOP: PASS'
[EDGE:anchored_in] gates:S95-W2-1-T-STAR-ONELOOP-ORIGIN -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W2-1-T-STAR-ONELOOP-ORIGIN: FAIL'
[EDGE:anchored_in] gates:S95-W3-4-HAWKING-CC-HORIZON-FORM -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W3-4-HAWKING-CC-HORIZON-FORM: INFO'
[EDGE:anchored_in] gates:S95-W3-2-EFF-FRIEDMANN-GENRE -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W3-2-EFF-FRIEDMANN-GENRE: INFO'
[EDGE:anchored_in] gates:S95-W3-3-BACK-REACTION-CLOSURE -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W3-3-BACK-REACTION-CLOSURE: FAIL'
[EDGE:anchored_in] gates:S95-W3-1-EMERGENT-EIH-LIFT -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W3-1-EMERGENT-EIH-LIFT: PASS'
[EDGE:anchored_in] gates:S95-W3-5-EMERGENT-EP-NLO -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W3-5-EMERGENT-EP-NLO: PASS'
[EDGE:anchored_in] gates:S95-W4-2-HAWKING-ANALOG-T-LEDGER -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W4-2-HAWKING-ANALOG-T-LEDGER: PASS'
[EDGE:anchored_in] gates:S95-W4-3-HAWKING-GREYBODY-AS -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W4-3-HAWKING-GREYBODY-AS: INFO'
[EDGE:anchored_in] gates:S95-W4-1-WHITE-HOLE-KINEMATIC-CONSISTENCY -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W4-1-WHITE-HOLE-KINEMATIC-CONSISTENCY: FAIL'
[EDGE:anchored_in] gates:S95-W4-4-SP-CONFORMAL-EMBED -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W4-4-SP-CONFORMAL-EMBED: INFO'
[EDGE:anchored_in] gates:S95-W4-5-SP-12D-SINGULARITY-CENSOR -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W4-5-SP-12D-SINGULARITY-CENSOR: FAIL'
[EDGE:anchored_in] gates:ORDERED-VEIL-SUBSTRATE-CLOCK -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='ORDERED-VEIL-SUBSTRATE-CLOCK: FAIL'
[EDGE:anchored_in] gates:HAWKING-GGE-PURITY -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='HAWKING-GGE-PURITY: INFO'
[EDGE:anchored_in] gates:S95-W5-4-COMPRESSIBILITY-G-N -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='S95-W5-4-COMPRESSIBILITY-G-N: INFO'
[EDGE:anchored_in] gates:EQUILIBRIUM-CC-WARRANT -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='EQUILIBRIUM-CC-WARRANT: PASS'
[EDGE:anchored_in] gates:TAU-FLOW-Q-FLOW-REGISTRY-NOTE -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='TAU-FLOW-Q-FLOW-REGISTRY-NOTE: PASS'
[EDGE:anchored_in] gates:DE-JOINT-POSTERIOR-RESOURCE -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='DE-JOINT-POSTERIOR-RESOURCE: PASS'
[EDGE:anchored_in] gates:CF-S95-BAO-TWO-SPEED-AMPLITUDE-TRANSPORT -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='CF-S95-BAO-TWO-SPEED-AMPLITUDE-TRANSPORT: INFO'
[EDGE:anchored_in] gates:CF-S95-N-PBH-MAGNITUDE-RECOMPUTE -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='CF-S95-N-PBH-MAGNITUDE-RECOMPUTE: PASS'
[EDGE:anchored_in] gates:W0-MKK-PROVENANCE -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='W0-MKK-PROVENANCE: PASS'
[EDGE:anchored_in] gates:LEGGETT-GRAV-DECAY-CONDITIONAL -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='LEGGETT-GRAV-DECAY-CONDITIONAL: PASS'
[EDGE:anchored_in] gates:CF-S95-W2-VAN-HOVE-NOUN -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='CF-S95-W2-VAN-HOVE-NOUN: FAIL'
[EDGE:anchored_in] gates:CF-S95-W7-23-NARROW-PATH-REGIME-II -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='CF-S95-W7-23-NARROW-PATH-REGIME-II: PASS'
[EDGE:anchored_in] gates:CF-S95-W7-22-GAMMA-E-CRYSTALLIZATION -> sessions:95  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-95/s95_gate_verdicts.txt | match='CF-S95-W7-22-GAMMA-E-CRYSTALLIZATION: INFO'
[EDGE:succ_of] gates:CF-S95-K-CSUB-R-RE-ANCHOR -> gates:CF-S95-HK-1  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w1.md | match='## §W1-2. CF-S95-K-CSUB-R-RE-ANCHOR'
[EDGE:succ_of] gates:CF-S95-VII-BE-TIER2-REANCHOR -> gates:CF-S95-K-CSUB-R-RE-ANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w1.md | match='## §W1-3. CF-S95-VII-BE-TIER2-REANCHOR'
[EDGE:succ_of] gates:TES-R1-FI-TRUNCATION-ROBUST -> gates:CF-S95-VII-BE-TIER2-REANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w1.md | match='## §W1-4. TES-R1-FI-TRUNCATION-ROBUST'
[EDGE:succ_of] gates:EXHAUSTION-FALSIFIER -> gates:T-STAR-ONELOOP-ORIGIN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w2.md | match='## §W2-2. EXHAUSTION-FALSIFIER'
[EDGE:succ_of] gates:NO-WELL-ONE-LOOP -> gates:EXHAUSTION-FALSIFIER  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w2.md | match='## §W2-3. NO-WELL-ONE-LOOP'
[EDGE:succ_of] gates:EFF-FRIEDMANN-GENRE -> gates:EMERGENT-EIH-LIFT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w3.md | match='## §W3-2. EFF-FRIEDMANN-GENRE'
[EDGE:succ_of] gates:BACK-REACTION-CLOSURE -> gates:EFF-FRIEDMANN-GENRE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w3.md | match='## §W3-3. BACK-REACTION-CLOSURE'
[EDGE:succ_of] gates:HAWKING-CC-HORIZON-FORM -> gates:BACK-REACTION-CLOSURE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w3.md | match='## §W3-4. HAWKING-CC-HORIZON-FORM'
[EDGE:succ_of] gates:EMERGENT-EP-NLO -> gates:HAWKING-CC-HORIZON-FORM  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w3.md | match='## §W3-5. EMERGENT-EP-NLO'
[EDGE:succ_of] gates:HAWKING-ANALOG-T-LEDGER -> gates:WHITE-HOLE-KINEMATIC-CONSISTENCY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w4.md | match='## §W4-2. HAWKING-ANALOG-T-LEDGER'
[EDGE:succ_of] gates:HAWKING-GREYBODY-AS -> gates:HAWKING-ANALOG-T-LEDGER  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w4.md | match='## §W4-3. HAWKING-GREYBODY-AS'
[EDGE:succ_of] gates:SP-CONFORMAL-EMBED -> gates:HAWKING-GREYBODY-AS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w4.md | match='## §W4-4. SP-CONFORMAL-EMBED'
[EDGE:succ_of] gates:SP-12D-SINGULARITY-CENSOR -> gates:SP-CONFORMAL-EMBED  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w4.md | match='## §W4-5. SP-12D-SINGULARITY-CENSOR'
[EDGE:succ_of] gates:HAWKING-GGE-PURITY -> gates:ORDERED-VEIL-SUBSTRATE-CLOCK  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w5.md | match='## §W5-2. HAWKING-GGE-PURITY'
[EDGE:succ_of] gates:EQUILIBRIUM-CC-WARRANT -> gates:HAWKING-GGE-PURITY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w5.md | match='## §W5-3. EQUILIBRIUM-CC-WARRANT'
[EDGE:succ_of] gates:COMPRESSIBILITY-G-N -> gates:EQUILIBRIUM-CC-WARRANT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w5.md | match='## §W5-4. COMPRESSIBILITY-G-N'
[EDGE:succ_of] gates:Q-GGE-PRECISION -> gates:COMPRESSIBILITY-G-N  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w5.md | match='## §W5-5. Q-GGE-PRECISION (CONDITIONAL)'
[EDGE:succ_of] gates:TAU-FLOW-Q-FLOW-REGISTRY-NOTE -> gates:Q-GGE-PRECISION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w5.md | match='## §W5-6. TAU-FLOW-Q-FLOW-REGISTRY-NOTE (registry-hygiene)'
[EDGE:succ_of] gates:CF-S95-BAO-TWO-SPEED-AMPLITUDE-TRANSPORT -> gates:CF-S95-N-PBH-MAGNITUDE-RECOMPUTE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w6.md | match='## §W6-2. CF-S95-BAO-TWO-SPEED-AMPLITUDE-TRANSPORT'
[EDGE:succ_of] gates:DE-JOINT-POSTERIOR-RESOURCE -> gates:CF-S95-BAO-TWO-SPEED-AMPLITUDE-TRANSPORT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w6.md | match='## §W6-3. DE-JOINT-POSTERIOR-RESOURCE'
[EDGE:succ_of] gates:W0-MKK-PROVENANCE -> gates:DE-JOINT-POSTERIOR-RESOURCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w6.md | match='## §W6-4. W0-MKK-PROVENANCE'
[EDGE:succ_of] gates:LEGGETT-GRAV-DECAY-CONDITIONAL -> gates:W0-MKK-PROVENANCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w6.md | match='## §W6-5. LEGGETT-GRAV-DECAY-CONDITIONAL'
[EDGE:succ_of] gates:F-NL-ROW -> gates:LEGGETT-GRAV-DECAY-CONDITIONAL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w6.md | match='## §W6-6. F-NL-ROW'
[EDGE:succ_of] gates:CF-S95-W2-VAN-HOVE-NOUN -> gates:CF-S95-W7-22-GAMMA-E-CRYSTALLIZATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w7.md | match='## §W7-2. CF-S95-W2-VAN-HOVE-NOUN'
[EDGE:succ_of] gates:CF-S95-W7-23-NARROW-PATH-REGIME-II -> gates:CF-S95-W2-VAN-HOVE-NOUN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-95-plan-w7.md | match='## §W7-3. CF-S95-W7-23-NARROW-PATH-REGIME-II'
