## S60 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 17 (+ 0 in workshops/)
## Total edges (deduped): 53
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:60:framework-3HeB-comparison-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-3HeB-comparison-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] data_provenance:60:session-60-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:60:session-60-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] data_provenance:60:session-60-phonon-collab.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-phonon-collab.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:60:session-60-phonon-collab.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-phonon-collab.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] data_provenance:60:session-60-qa-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-qa-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] gates:60:session-60-qa-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-qa-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] gates:W0-1 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W0-1: Trace Factor Verification in a_4 (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W0-2 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W0-2: Paper 14 CC Dimensional Analysis (volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:W0-3 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W0-3: Unimodular Gravity from Fiber Integration (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W1-2 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W1-2: Strutinsky Smoothing of PW CC Extension (nazarewicz-nuclear-structure-'
[EDGE:authored_by] gates:W1-3 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W1-3: Inter-Sector Zubarev Calculation (volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:W2-2 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W2-2: Full 3D Spectral Action Hessian (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W2-3 -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W2-3: eta-Invariant of D_K at Fold (spectral-geometer)'
[EDGE:authored_by] gates:W3-1 -> researchers:feynman-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W3-1: Majorana Leptogenesis from B3 Sector (feynman-theorist)'
[EDGE:authored_by] gates:W3-2 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W3-2: Leggett Mode Cosmological Abundance (volovik-superfluid-universe-theor'
[EDGE:authored_by] gates:W3-3 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W3-3: Leggett Mode Mass at N_pair = 2 (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:W4-1 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W4-1: Sector-Resolved Dimensional Reduction for Screening (baptista-spacetim'
[EDGE:authored_by] gates:W4-2 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W4-2: Bekenstein Bound on PW Sectors (hawking-theorist)'
[EDGE:authored_by] gates:W5-1 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W5-1: Richardson-Gaudin Integrals as Explicit Diagnostics (landau-condensed-'
[EDGE:authored_by] gates:W5-2 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W5-2: Nuclear Blocking Interpretation of N_pair = 3 Minimum (nazarewicz-nucl'
[EDGE:authored_by] gates:W5-3 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W5-3: Bayesian Error Budget for H_0 (nazarewicz-nuclear-structure-theorist)'
[EDGE:authored_by] gates:W5-4 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W5-4: Bayesian Error Propagation for Penrose Threshold (nazarewicz-nuclear-s'
[EDGE:authored_by] gates:W6-1 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W6-1: Trans-Planckian Check on Bogoliubov Coefficients (hawking-theorist)'
[EDGE:authored_by] gates:W6-2 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W6-2: Gibbons-Hawking Temperature at Domain Wall (hawking-theorist)'
[EDGE:authored_by] gates:W6-3 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W6-3: GSL Check on Timescape Mechanism (hawking-theorist)'
[EDGE:authored_by] gates:W6-4 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W6-4: Lichnerowicz Eigenvalue Tracking at Domain Wall (baptista-spacetime-an'
[EDGE:authored_by] gates:W7-1 -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W7-1: DESI DR3 Scenario Pre-Registration (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W7-2 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W7-2: Compound Mechanism Test: Unimodular + Entanglement (baptista-spacetime'
[EDGE:authored_by] gates:W7-3 -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W7-3: Penrose Process -- Superradiance Analogy (hawking-theorist)'
[EDGE:authored_by] gates:W7-4 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W7-4: Andreev Overlap Parameter from Joint Spectral Statistics (landau-conde'
[EDGE:authored_by] gates:W7-5 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-results-workingpaper.md | match='### W7-5: q-Theory Geodesic Winding Interpretation (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:60:session-60-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-sp-collab.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] gates:60:session-60-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-sp-collab.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] data_provenance:60:session-60-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-tesla-collab.md | match='**Author**: Tesla Resonance'
[EDGE:authored_by] gates:60:session-60-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-tesla-collab.md | match='**Author**: Tesla Resonance'
[EDGE:authored_by] data_provenance:60:session-60-vdd-framework-review.md -> researchers:van-den-dungen-bridge-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-vdd-framework-review.md | match='**Author**: Van den Dungen Bridge Theorist'
[EDGE:authored_by] gates:60:session-60-vdd-framework-review.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-vdd-framework-review.md | match='**Author**: Van den Dungen Bridge Theorist'
[EDGE:authored_by] data_provenance:60:session-60-vol-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-vol-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] gates:60:session-60-vol-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-vol-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
