## S72 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 16 (+ 0 in workshops/)
## Total edges (deduped): 52
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:72:session-72-audit-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-audit-connes.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-laminar-flow-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-laminar-flow-workshop.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-laminar-flow-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-laminar-flow-workshop.md | match='## Round 1 — Quantum-Acoustics'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-laminar-flow-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-laminar-flow-workshop.md | match='## Round 2 — Volovik'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-laminar-flow-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-laminar-flow-workshop.md | match='## Round 2 — Quantum-Acoustics'
[EDGE:authored_by] data_provenance:72:session-72-landau-baptista-workshop-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-landau-baptista-workshop-connes-collab.md | match='**Author**: Connes NCG Theorist'
[EDGE:authored_by] gates:72:session-72-landau-baptista-workshop-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-landau-baptista-workshop-connes-collab.md | match='**Author**: Connes NCG Theorist'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-landau-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-72/session-72-landau-baptista-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-72/session-72-landau-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-72/session-72-landau-baptista-workshop.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-landau-baptista-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-landau-baptista-workshop.md | match='## Round 1 — Landau'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-72/session-72-landau-baptista-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-landau-baptista-workshop.md | match='## Round 1 — Baptista'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-landau-baptista-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-landau-baptista-workshop.md | match='## Round 2 — Landau'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-72/session-72-landau-baptista-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-landau-baptista-workshop.md | match='## Round 2 — Baptista'
[EDGE:authored_by] data_provenance:72:session-72-mack-vdd-workshop-phonon-first-collab.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-mack-vdd-workshop-phonon-first-collab.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:72:session-72-mack-vdd-workshop-phonon-first-collab.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-mack-vdd-workshop-phonon-first-collab.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-72/session-72-mack-vdd-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-72/session-72-mack-vdd-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-mack-vdd-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-72/session-72-mack-vdd-workshop.md | match='van-den-dungen (van-den-dungen-bridge-theorist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-72/session-72-mack-vdd-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-mack-vdd-workshop.md | match='## Round 1 — Mack'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-mack-vdd-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-mack-vdd-workshop.md | match='## Round 1 — Van-den-Dungen'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-72/session-72-mack-vdd-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-mack-vdd-workshop.md | match='## Round 2 — Mack'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-mack-vdd-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-72/session-72-mack-vdd-workshop.md | match='## Round 2 — Van-den-Dungen'
[EDGE:authored_by] gates:W1-A -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W1-A: Self-Consistent Gap Curvature kappa_Delta (landau-condensed-matter-the'
[EDGE:authored_by] gates:W1-B -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W1-B: W1-B Gate Re-evaluation -- Gilkey Ratio (lizzi-spectral-functional-the'
[EDGE:authored_by] gates:W1-C -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W1-C: Spectral Zeta Ratio Convergence Scan (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W1-D -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W1-D: Cauchy-Schwarz w_0 Bound Verification (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W1-E -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W1-E: Three-Way tau_fold Consistency (van-den-dungen-bridge-theorist)'
[EDGE:authored_by] gates:W2-A -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W2-A: DUAL-DECOHERENCE-72 (phonon-first-cosmologist)'
[EDGE:authored_by] gates:W2-C -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W2-C: Spectral Functional Joint Fit (lizzi-spectral-functional-theorist)'
[EDGE:authored_by] gates:W2-D -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W2-D: Instanton Kappa Computation (connes-ncg-theorist)'
[EDGE:authored_by] gates:W3-A -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W3-A: BCS-Dressed Spectral Action -- eps_H^BCS (landau-condensed-matter-theo'
[EDGE:authored_by] gates:W3-B -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W3-B: Asymptotic Truncation -- a_8 Estimate (lizzi-spectral-functional-theor'
[EDGE:authored_by] gates:W3-C -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W3-C: Blueshift Tilt at Entry Horizon (hawking-theorist)'
[EDGE:authored_by] gates:W3-D -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W3-D: tau_today Equilibrium (volovik-superfluid-universe-theorist)'
[EDGE:authored_by] gates:W3-E -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W3-E: Modular Chirp from GGE Hamiltonian (kitaev-quantum-chaos-theorist)'
[EDGE:authored_by] gates:W4-A -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W4-A: Decoherence Bispectrum (phonon-first-cosmologist)'
[EDGE:authored_by] gates:W4-B -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W4-B: C_V Scaling with Mode Number (volovik-superfluid-universe-theorist)'
[EDGE:authored_by] gates:W4-C -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W4-C: Frustration-Reduced Schmidt Number (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:W4-F -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-results-workingpaper.md | match='### W4-F: a_2/a_4 Constancy on G_2 (connes-ncg-theorist)'
[EDGE:authored_by] data_provenance:72:session-72-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-sp-synthesis.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] gates:72:session-72-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-sp-synthesis.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] data_provenance:72:session-72-tesla-synthesis.md -> researchers:tesla-resonance  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-72/session-72-tesla-synthesis.md | match='session-72-tesla-synthesis.md'
[EDGE:authored_by] gates:72:session-72-tesla-synthesis.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-tesla-synthesis.md | match='**Agent**: Tesla-Resonance (Workhorse-Resonance)'
