## S91 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 19 (+ 17 in workshops/)
## Total edges (deduped): 71
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:91:session-91-connes-ncg-theorist-w8-dual-anchor-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-91/session-91-connes-ncg-theorist-w8-dual-anchor-synthesis.md | match='**Reviewer**: `connes-ncg-theorist` (Workhorse-N
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w1-bogoliubov-reduction.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md | match='## Round 2 — landau'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w2-casimir-finite-spectral-triple.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/dia-w3-dark-energy-thruster-sector-asymmetry.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md | match='volovik (volovik-superfluid-universe-theorist
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md | match='## Round 1 — Lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md | match='## Round 2 — Volovik'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w1-operational-alignment-regulator-class-robustness.md | match='## Round 2 — Lizzi'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md | match='volovik (volovik-superfluid-universe-theorist)
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md | match='van-den-dungen (van-den-dungen-bridge-theorist
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md | match='## Round 1 — Van-den-Dungen'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md | match='## Round 2 — Volovik'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w2-chi-prime-weight-canonical-substrate-derivation.md | match='## Round 2 — Van-den-Dungen'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w3-vii-ar-level-dressed-post-fail-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w3-vii-ar-level-dressed-post-fail-adjudication.md | match='## Round 1 — Connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w3-vii-ar-level-dressed-post-fail-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w3-vii-ar-level-dressed-post-fail-adjudication.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w3-vii-ar-level-dressed-post-fail-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w3-vii-ar-level-dressed-post-fail-adjudication.md | match='## Round 2 — Connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w3-vii-ar-level-dressed-post-fail-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w3-vii-ar-level-dressed-post-fail-adjudication.md | match='## Round 2 — Volovik'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w4-w5-1-fail-falsification-vs-layer-orthogonality.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w4-w5-1-fail-falsification-vs-layer-orthogonality.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w4-w5-1-fail-falsification-vs-layer-orthogonality.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w4-w5-1-fail-falsification-vs-layer-orthogonality.md | match='## Round 1 — Connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w4-w5-1-fail-falsification-vs-layer-orthogonality.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w4-w5-1-fail-falsification-vs-layer-orthogonality.md | match='## Round 2 — Volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w4-w5-1-fail-falsification-vs-layer-orthogonality.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w4-w5-1-fail-falsification-vs-layer-orthogonality.md | match='## Round 2 — Connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w5-layer-functor-f-universal-envelope-scope-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w5-layer-functor-f-universal-envelope-scope-adjudication.md | match='## Round 1 — Lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w5-layer-functor-f-universal-envelope-scope-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w5-layer-functor-f-universal-envelope-scope-adjudication.md | match='## Round 1 — Connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w5-layer-functor-f-universal-envelope-scope-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w5-layer-functor-f-universal-envelope-scope-adjudication.md | match='## Round 2 — Lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w5-layer-functor-f-universal-envelope-scope-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w5-layer-functor-f-universal-envelope-scope-adjudication.md | match='## Round 2 — Connes'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md | match='## Round 1 — Connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md | match='## Round 2 — Connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md | match='## Round 2 — Volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md | match='## Round 3 — Connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w6-multiplicity-convention-canon-w5-full-vs-w6-image.md | match='## Round 3 — Volovik'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-91/workshops/s91-w7-alpha-s-forward-pathway-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w7-alpha-s-forward-pathway-adjudication.md | match='## Round 1 — Mack'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w7-alpha-s-forward-pathway-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w7-alpha-s-forward-pathway-adjudication.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-91/workshops/s91-w7-alpha-s-forward-pathway-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w7-alpha-s-forward-pathway-adjudication.md | match='## Round 2 — Mack'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-91/workshops/s91-w7-alpha-s-forward-pathway-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-91/workshops/s91-w7-alpha-s-forward-pathway-adjudication.md | match='## Round 2 — Volovik'
