## S25 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 40 (+ 0 in workshops/)
## Total edges (deduped): 51
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:25:session-25-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-baptista-collab.md | match='**Author**: Baptista-Spacetime-Analyst'
[EDGE:authored_by] data_provenance:25:session-25-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-hawking-collab.md | match='**Author**: Hawking-Theorist'
[EDGE:authored_by] gates:25:session-25-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-hawking-collab.md | match='**Author**: Hawking-Theorist'
[EDGE:authored_by] data_provenance:25:session-25-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-kk-collab.md | match='**Author**: Kaluza-Klein-Theorist'
[EDGE:authored_by] gates:25:session-25-kk-collab.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-kk-collab.md | match='**Author**: Kaluza-Klein-Theorist'
[EDGE:authored_by] data_provenance:25:session-25-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-landau-collab.md | match='**Author**: Landau-Condensed-Matter-Theorist'
[EDGE:authored_by] gates:25:session-25-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-landau-collab.md | match='**Author**: Landau-Condensed-Matter-Theorist'
[EDGE:authored_by] data_provenance:25:session-25-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-neutrino-collab.md | match='**Author**: Neutrino-Detection-Specialist'
[EDGE:authored_by] gates:25:session-25-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-neutrino-collab.md | match='**Author**: Neutrino-Detection-Specialist'
[EDGE:authored_by] data_provenance:25:session-25-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-paasch-collab.md | match='**Author**: Paasch-Mass-Quantization-Analyst'
[EDGE:authored_by] gates:25:session-25-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-paasch-collab.md | match='**Author**: Paasch-Mass-Quantization-Analyst'
[EDGE:authored_by] data_provenance:25:session-25-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-quantum-acoustics-collab.md | match='**Author**: Quantum-Acoustics-Theorist'
[EDGE:authored_by] gates:25:session-25-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-quantum-acoustics-collab.md | match='**Author**: Quantum-Acoustics-Theorist'
[EDGE:authored_by] data_provenance:25:session-25-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-sagan-collab.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] gates:25:session-25-sagan-collab.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-sagan-collab.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] data_provenance:25:session-25-sagan-redux.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-sagan-redux.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] gates:25:session-25-sagan-redux.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-sagan-redux.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] data_provenance:25:session-25-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-sp-collab.md | match='**Author**: Schwarzschild-Penrose-Geometer'
[EDGE:authored_by] gates:25:session-25-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-sp-collab.md | match='**Author**: Schwarzschild-Penrose-Geometer'
[EDGE:authored_by] data_provenance:25:session-25-successful-predictions-catalog.md -> researchers:gen-physicist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-successful-predictions-catalog.md | match='**Author**: Gen-Physicist (Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-successful-predictions-catalog.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-successful-predictions-catalog.md | match='**Author**: Gen-Physicist (Opus 4.6)'
[EDGE:authored_by] data_provenance:25:session-25-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-tesla-collab.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] gates:25:session-25-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-tesla-collab.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] gates:25:session-25-Workshop-baptista-results.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-baptista-results.md | match='**Agent**: Baptista-Spacetime-Analyst'
[EDGE:authored_by] gates:25:session-25-Workshop-berry-results.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-berry-results.md | match='**Agent**: Berry-Geometric-Phase-Theorist'
[EDGE:authored_by] gates:25:session-25-Workshop-connes-results.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-connes-results.md | match='**Agent**: Connes-NCG-Theorist'
[EDGE:authored_by] gates:25:session-25-Workshop-einstein-results.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-einstein-results.md | match='**Agent**: Einstein-Theorist (Claude Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-Workshop-feynman-results.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-feynman-results.md | match='**Agent**: Feynman-Theorist (Claude Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-workshop-general-results-collab.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-workshop-general-results-collab.md | match='**Agent**: Gen-Physicist (Claude Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-workshop-general-results.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-workshop-general-results.md | match='**Agent**: Gen-Physicist (Claude Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-Workshop-hawking-results.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-hawking-results.md | match='**Agent**: Hawking-Theorist (Stephen Hawking methodology)'
[EDGE:authored_by] gates:25:session-25-Workshop-kk-results.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-kk-results.md | match='**Agent**: Kaluza-Klein-Theorist (Claude Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-Workshop-landau-results.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-landau-results.md | match='**Agent**: Landau-Condensed-Matter-Theorist'
[EDGE:authored_by] gates:25:session-25-Workshop-paasch-results.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-paasch-results.md | match='**Agent**: paasch-mass-quantization-analyst (Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-Workshop-sp-results.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-Workshop-sp-results.md | match='**Agent**: Schwarzschild-Penrose-Geometer (Claude Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-wrap-up-Q10.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-wrap-up-Q10.md | match='**Agent**: Gen-Physicist (Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-wrap-up-Q6.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-wrap-up-Q6.md | match='**Agent**: Gen-Physicist (Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-wrap-up-S-Ne3.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-wrap-up-S-Ne3.md | match='**Agent**: Gen-Physicist (Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-wrap-up-S-QA3.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-wrap-up-S-QA3.md | match='**Agent**: Gen-Physicist (Opus 4.6)'
[EDGE:authored_by] gates:25:session-25-wrap-up-S-Te4.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-wrap-up-S-Te4.md | match='**Agent**: Gen-Physicist (Opus 4.6)'
