## S88 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 27 (+ 55 in workshops/)
## Total edges (deduped): 121
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:88:session-88-w10-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w10-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:excluded_from] gates:88:session-88-w1a-workingpaper.md -> researchers:gen-physicist  # G7 | role=blacklisted | conf=header-parsed | src=sessions/archive/session-88/session-88-w1a-workingpaper.md | match='**Agent**: `hawking-theorist` (PRIMARY); CO-AUTHOR `connes-ncg-theorist` via SOU'
[EDGE:authored_by] gates:88:session-88-w1b1-workingpaper.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w1b1-workingpaper.md | match='**Agent**: `schwarzschild-penrose-geometer` (orchestrator-direct via /rclab-solo'
[EDGE:authored_by] gates:88:session-88-w1b2-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w1b2-workingpaper.md | match='**Agent**: `hawking-theorist` (PRIMARY; semiclassical-gravity + black-hole-therm'
[EDGE:co_authored_by] gates:88:session-88-w1c-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w1c-workingpaper.md | match='**Agent**: `little-red-dots-jwst-analyst` (PRIMARY); mack-cosmic-bridge CO-AUTHO'
[EDGE:co_authored_by] gates:88:session-88-w1c-workingpaper.md -> researchers:hawking-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w1c-workingpaper.md | match='**Agent**: `little-red-dots-jwst-analyst` (PRIMARY); mack-cosmic-bridge CO-AUTHO'
[EDGE:excluded_from] gates:88:session-88-w1c-workingpaper.md -> researchers:gen-physicist  # G7 | role=blacklisted | conf=header-parsed | src=sessions/archive/session-88/session-88-w1c-workingpaper.md | match='**Agent**: `little-red-dots-jwst-analyst` (PRIMARY); mack-cosmic-bridge CO-AUTHO'
[EDGE:co_authored_by] gates:88:session-88-w1c-workingpaper.md -> researchers:little-red-dots-jwst-analyst  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w1c-workingpaper.md | match='**Agent**: `schwarzschild-penrose-geometer` (PRIMARY for ringdown templates); li'
[EDGE:co_authored_by] gates:88:session-88-w2-workingpaper.md -> researchers:spectral-geometer  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (PRIMARY); spectral-geometer co-author for coho'
[EDGE:excluded_from] gates:88:session-88-w2-workingpaper.md -> researchers:gen-physicist  # G7 | role=blacklisted | conf=header-parsed | src=sessions/archive/session-88/session-88-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (PRIMARY); spectral-geometer co-author for KO-d'
[EDGE:authored_by] gates:88:session-88-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (PRIMARY)'
[EDGE:co_authored_by] gates:88:session-88-w2-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist` + `volovik-superfluid-universe-theorist` CO-AUT'
[EDGE:authored_by] gates:88:session-88-w3a-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w3a-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:88:session-88-w3b-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w3b-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:88:session-88-w3b-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w3b-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` + `connes-ncg-theorist` (JOINT'
[EDGE:authored_by] gates:88:session-88-w3c-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w3c-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (PRIMARY; co-author advisory: co'
[EDGE:authored_by] gates:88:session-88-w4a-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w4a-workingpaper.md | match='**Agent**: `gen-physicist` (orchestrator-direct execution in /rclab-solo mode; C'
[EDGE:authored_by] gates:88:session-88-w4a-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=sole_writer | conf=header-parsed | src=sessions/archive/session-88/session-88-w4a-workingpaper.md | match='**Agent**: orchestrator-direct write in /rclab-solo mode per `wave-classificatio'
[EDGE:authored_by] gates:88:session-88-w4b-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w4b-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:88:session-88-w4c-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w4c-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` PRIMARY; orchestrator-direct w'
[EDGE:authored_by] gates:88:session-88-w5a-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w5a-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:88:session-88-w5a-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w5a-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (CO-AUTHOR per plan; orchestrator-direct write '
[EDGE:authored_by] gates:88:session-88-w5b-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w5b-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY synthesizer + `connes-nc'
[EDGE:co_authored_by] gates:88:session-88-w5b-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w5b-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY synthesizer + `connes-nc'
[EDGE:authored_by] gates:88:session-88-w5b-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=sole_writer | conf=header-parsed | src=sessions/archive/session-88/session-88-w5b-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY synthesizer + `connes-nc'
[EDGE:authored_by] gates:88:session-88-w5b-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w5b-workingpaper.md | match='**Agent**: `gen-physicist` (audit-script implementation) + `mack-cosmic-bridge` '
[EDGE:authored_by] gates:88:session-88-w5b-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w5b-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:88:session-88-w6a-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w6a-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY (Peter-Weyl decompositio'
[EDGE:co_authored_by] gates:88:session-88-w6a-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_sign | conf=header-parsed | src=sessions/archive/session-88/session-88-w6a-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY (Peter-Weyl decompositio'
[EDGE:authored_by] gates:88:session-88-w6b-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w6b-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (orchestrator-direct-write per `wave-classificat'
[EDGE:excluded_from] gates:88:session-88-w7a-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=blacklisted | conf=header-parsed | src=sessions/archive/session-88/session-88-w7a-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (PRIMARY orchestrator under user'
[EDGE:authored_by] gates:88:session-88-w7a-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w7a-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (PRIMARY synthesizer; pole-scope'
[EDGE:co_authored_by] gates:88:session-88-w7a-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w7a-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (PRIMARY orchestrator under user'
[EDGE:authored_by] gates:88:session-88-w7a-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=sole_writer | conf=header-parsed | src=sessions/archive/session-88/session-88-w7a-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (PRIMARY synthesizer; OE-form re'
[EDGE:co_authored_by] gates:88:session-88-w7a-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w7a-workingpaper.md | match='**Agent**: lizzi-spectral-functional-theorist PRIMARY (axis-of-observation per-p'
[EDGE:co_authored_by] gates:88:session-88-w7a-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w7a-workingpaper.md | match='**Agent**: lizzi-spectral-functional-theorist PRIMARY (axis-of-observation per-p'
[EDGE:authored_by] gates:88:session-88-w7b-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w7b-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (PRIMARY; co-author lizzi-spectral-functional-t'
[EDGE:authored_by] gates:88:session-88-w7c-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w7c-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY + `connes-ncg-theorist` '
[EDGE:co_authored_by] gates:88:session-88-w7c-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-88/session-88-w7c-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY + `connes-ncg-theorist` '
[EDGE:authored_by] gates:88:session-88-w7c-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w7c-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (spectral-side) + `connes-ncg-theorist` (axis-or'
[EDGE:authored_by] gates:88:session-88-w7c-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w7c-workingpaper.md | match='**Author**: connes-ncg-theorist (axis-orthogonality-side cross-reviewer per `joi'
[EDGE:authored_by] gates:88:session-88-w8-workingpaper.md -> researchers:orchestrator  # G7 | role=sole_writer | conf=header-parsed | src=sessions/archive/session-88/session-88-w8-workingpaper.md | match='**Agent**: `gen-physicist` (orchestrator sole writer); CO-AUTHOR `lizzi-spectral'
[EDGE:authored_by] gates:88:session-88-w8-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w8-workingpaper.md | match='**Agent**: `gen-physicist` (sole writer; CO-AUTHOR `connes-ncg-theorist` cohomol'
[EDGE:authored_by] gates:88:session-88-w9-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w9-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (TRANSIT-AXIS cross-reviewer; '
[EDGE:authored_by] gates:88:session-88-w9-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w9-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (SOLE WRITER per `feedback_mack-bridge-role.md`)'
[EDGE:authored_by] gates:88:session-88-w9-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w9-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (PRIMARY; volovik-superfluid-universe-theorist '
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w10-w3a-substrate-vs-lab-observable.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w10-w3a-substrate-vs-lab-observable.md | match='**Agent**: volovik-superfluid-universe-theorist (solo synthesis; 
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w11-w3b-15-kde-substrate-vs-tautology.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w11-w3b-15-kde-substrate-vs-tautology.md | match='**Agent**: lizzi-spectral-functional-theorist (single-axis stru
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w12-w3c-57-hk5-residual-origin.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w12-w3c-57-hk5-residual-origin.md | match='**Agent**: lizzi-spectral-functional-theorist (lizzi)'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w13-w4a-17-k3-advancement.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w13-w4a-17-k3-advancement.md | match='**Agent**: lizzi-spectral-functional-theorist (single-agent solo synthesis;
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w14-w4a-17-stage2-axisB-identity.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w14-w4a-17-stage2-axisB-identity.md | match='**Agent**: volovik-superfluid-universe-theorist (solo synthesis; top
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w15-alpha-s-canonical-merged.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w15-alpha-s-canonical-merged.md | match='**Agent**: mack-cosmic-bridge (observational-laboratory anchor axis; sol
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w16-w5b-50-rank-deficiency.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w16-w5b-50-rank-deficiency.md | match='**Agent**: connes-ncg-theorist (Connes-NCG-Theorist; Workhorse-NCG)'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w17-w5b-47-step11-maxrule.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w17-w5b-47-step11-maxrule.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w18-w6a-51-geometric-resummation.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w18-w6a-51-geometric-resummation.md | match='**Agent**: lizzi-spectral-functional-theorist (PRIMARY) — workshop-s
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w19-w6a-cross-gate-chain.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w19-w6a-cross-gate-chain.md | match='**Agent**: lizzi-spectral-functional-theorist (PRIMARY of both §W6a-51 and §
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w20-w6a-info-band-canonical-eligibility.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w20-w6a-info-band-canonical-eligibility.md | match='**Agent**: mack-cosmic-bridge (Cosmic Bridge — observational 
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w21-w6b-d_spec_B-k1-k2.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w21-w6b-d_spec_B-k1-k2.md | match='**Agent**: lizzi-spectral-functional-theorist (FI/RD originator; primary autho
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w22-w7a-74-rank-vs-magnitude.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w22-w7a-74-rank-vs-magnitude.md | match='**Agent**: lizzi-spectral-functional-theorist (solo)'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w23-w7b-82-w7c-167-stage2-independence.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w23-w7b-82-w7c-167-stage2-independence.md | match='**Agent**: volovik-superfluid-universe-theorist (vlk)'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w24-w7b-83-class-d-vs-f.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w24-w7b-83-class-d-vs-f.md | match='**Agent**: sagan-empiricist (solo synthesis)'
[EDGE:participates_in] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md | match='sagan (sagan-empiricist)'
[EDGE:participates_in] researchers:gen-physicist -> data_provenance:sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md | match='gen-physicist (gen-physicist)'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md | match='## Round 1 — sagan'
[EDGE:authored_round] researchers:gen-physicist -> data_provenance:sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md | match='## Round 1 — gen-physicist'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md | match='## Round 2 — sagan'
[EDGE:authored_round] researchers:gen-physicist -> data_provenance:sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w25-w7c-planning-defect-threshold.md | match='## Round 2 — gen-physicist'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w26-w7c-167-corner-I-co-primary.md | match='## Round 3 — lizzi'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md | match='## Round 3 — volovik'
