## S32 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 30 (+ 0 in workshops/)
## Total edges (deduped): 72
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:32:session-32-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:32:session-32-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-nazarewicz-collab.md | match='**Author**: Nazarewicz'
[EDGE:authored_by] data_provenance:32:session-32-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-neutrino-collab.md | match='**Author**: Neutrino'
[EDGE:authored_by] gates:32:session-32-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-neutrino-collab.md | match='**Author**: Neutrino'
[EDGE:authored_by] data_provenance:32:session-32-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-paasch-collab.md | match='**Author**: Paasch (mass quantization analyst)'
[EDGE:authored_by] gates:32:session-32-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-paasch-collab.md | match='**Author**: Paasch (mass quantization analyst)'
[EDGE:authored_by] data_provenance:32:session-32-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics'
[EDGE:authored_by] gates:32:session-32-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics'
[EDGE:authored_by] data_provenance:32:session-32-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-sagan-collab.md | match='**Author**: Sagan'
[EDGE:authored_by] gates:32:session-32-sagan-collab.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-sagan-collab.md | match='**Author**: Sagan'
[EDGE:authored_by] data_provenance:32:session-32-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-sp-collab.md | match='**Author**: Schwarzschild-Penrose-Geometer'
[EDGE:authored_by] gates:32:session-32-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-sp-collab.md | match='**Author**: Schwarzschild-Penrose-Geometer'
[EDGE:participates_in] researchers:schwarzschild-penrose-geometer -> data_provenance:data_provenance:sessions/archive/session-32/session-32-sp-naz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-sp-naz-workshop.md | match='sp (schwarzschild-penrose-geometer)'
[EDGE:participates_in] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-sp-naz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-sp-naz-workshop.md | match='nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:participates_in] researchers:neutrino-detection-specialist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-sp-naz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-sp-naz-workshop.md | match='neutrino (neutrino-detection-specialist)'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-2-and-3-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-2-and-3-synthesis.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:little-red-dots-jwst-analyst -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-2-and-3-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-2-and-3-synthesis.md | match='lrd (little-red-dots-jwst-analyst)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-2-and-3-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-2-and-3-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-2-and-3-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-2-and-3-synthesis.md | match='coordinator (coordinator)'
[EDGE:participates_in] researchers:kaluza-klein-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-4-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-4-synthesis.md | match='kk (kaluza-klein-theorist)'
[EDGE:participates_in] researchers:berry-geometric-phase-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-4-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-4-synthesis.md | match='berry (berry-geometric-phase-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-4-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-4-synthesis.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-4-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-4-synthesis.md | match='coordinator (coordinator)'
[EDGE:participates_in] researchers:schwarzschild-penrose-geometer -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-4-synthesis_r1.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-4-synthesis_r1.md | match='sp (schwarzschild-penrose-geometer)'
[EDGE:participates_in] researchers:neutrino-detection-specialist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-4-synthesis_r1.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-4-synthesis_r1.md | match='neutrino (neutrino-detection-specialist)'
[EDGE:participates_in] researchers:paasch-mass-quantization-analyst -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-4-synthesis_r1.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-4-synthesis_r1.md | match='paasch (paasch-mass-quantization-analyst)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32-Team-4-synthesis_r1.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-Team-4-synthesis_r1.md | match='coordinator (coordinator)'
[EDGE:authored_by] data_provenance:32:session-32-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-tesla-collab.md | match='**Author**: Tesla'
[EDGE:authored_by] gates:32:session-32-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-tesla-collab.md | match='**Author**: Tesla'
[EDGE:participates_in] researchers:feynman-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-w4-r1-feynman-nazarewicz.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-w4-r1-feynman-nazarewicz.md | match='feynman (feynman-theorist)'
[EDGE:participates_in] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-w4-r1-feynman-nazarewicz.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-w4-r1-feynman-nazarewicz.md | match='nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32-w4-r1-feynman-nazarewicz.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-w4-r1-feynman-nazarewicz.md | match='coordinator (coordinator)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-w4-r2-qa-landau.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-w4-r2-qa-landau.md | match='qa (quantum-acoustics-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-w4-r2-qa-landau.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-w4-r2-qa-landau.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32-w4-r2-qa-landau.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-w4-r2-qa-landau.md | match='coordinator (coordinator)'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-32/session-32a-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32a-synthesis.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32a-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32a-synthesis.md | match='coord (coordinator)'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-32/session-32b-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32b-synthesis.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32b-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32b-synthesis.md | match='coord (coordinator)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-32/session-32b-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32b-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-32/session-32c-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32c-synthesis.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-32/session-32c-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32c-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32c-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32c-synthesis.md | match='coord (coordinator)'
