## S94 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 8
## Verdict files scanned: 1
## Plan files scanned: 11
## Session .md files scanned (cited_in scope): 32
## Total edges (deduped): 52
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:94 -> gates:CF-S95-HK-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-94/session-94-w1-workingpaper.md | match='### CF-S95-HK-1 — §VII.BG α_s T5 bridge two-agent Stage-2 → STAGE-3'
[EDGE:anchored_in] gates:S94-VII-AX-STATE-PROJ-STAGE-2-CROSS-AXIS-VERIFY -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-AX-STATE-PROJ-STAGE-2-CROSS-AXIS-VERIFY: PASS'
[EDGE:anchored_in] gates:S94-LQG-CDT-STAGE-2 -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-LQG-CDT-STAGE-2: PASS'
[EDGE:anchored_in] gates:S94-N-PBH-BAND-BREACH-PROJECTION -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-N-PBH-BAND-BREACH-PROJECTION: PASS'
[EDGE:anchored_in] gates:S94-BAO-PEAK-BRANCH -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-BAO-PEAK-BRANCH: INFO'
[EDGE:anchored_in] gates:S94-N-PBH-TRUNCATION-ANCHOR -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-N-PBH-TRUNCATION-ANCHOR: INFO'
[EDGE:anchored_in] gates:S94-VII-AV-OP-PROJ-STAGE-2-AXIS-A-REVERIFY -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-AV-OP-PROJ-STAGE-2-AXIS-A-REVERIFY: PASS'
[EDGE:anchored_in] gates:S94-MULT-NORM-CANCELLATION-K3 -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-MULT-NORM-CANCELLATION-K3: PASS'
[EDGE:anchored_in] gates:S94-DS-GAMMA-E-RESOLUTION -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-DS-GAMMA-E-RESOLUTION: INFO'
[EDGE:anchored_in] gates:S94-NARROW-PATH-WORKSHOP-6-COCYCLE -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-NARROW-PATH-WORKSHOP-6-COCYCLE: PASS'
[EDGE:anchored_in] gates:S94-VII-AR-PASS-A-SUBSTRATE-DERIVATION -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-AR-PASS-A-SUBSTRATE-DERIVATION: FAIL'
[EDGE:anchored_in] gates:S94-CPB-AUDIT-PENDING-VS-DEFECTIVE -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-CPB-AUDIT-PENDING-VS-DEFECTIVE: FAIL'
[EDGE:anchored_in] gates:S94-NON-PROMOTION-META-TAXONOMY -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-NON-PROMOTION-META-TAXONOMY: INFO'
[EDGE:anchored_in] gates:S94-S16-AREA-FUNCTIONAL-K-ADVANCE -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-S16-AREA-FUNCTIONAL-K-ADVANCE: PASS'
[EDGE:anchored_in] gates:S94-A_N-RETROFIT-C-CAUSALITY -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-A_N-RETROFIT-C-CAUSALITY: PASS'
[EDGE:cited_in] researchers:little-red-dots-jwst-analyst -> sessions:94  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-94/lrd_s41586_026_10579_4_evaluation.md | match='researchers/Little-Red-Dots/'
[EDGE:cited_in] researchers:paasch-mass-quantization-analyst -> sessions:94  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-94/session-94-s1-bao-observational-reach-synthesis.md | match='researchers/Paasch/12_2015_Planck_Cosmological_parameters.md'
[EDGE:cited_in] researchers:mack-cosmic-bridge -> sessions:94  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-94/session-94-s1-bao-observational-reach-synthesis.md | match='researchers/Mack/29_2018_Planck_Cosmological_Parameters.md'
[EDGE:cited_in] researchers:cosmic-web-theorist -> sessions:94  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-94/session-94-s1-bao-observational-reach-synthesis.md | match='researchers/Cosmic-Web/19_DESI_DR2_BAO_Dark_Energy.md'
[EDGE:cited_in] researchers:baptista-spacetime-analyst -> sessions:94  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-94/session-94-s1-bao-observational-reach-synthesis.md | match='researchers/Baptista/'
[EDGE:succ_of] gates:S94-VII-BA-T4-ENVELOPE-EXTENSION -> gates:S94-VII-BA-STAGE-2-CROSS-AXIS-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w1.md | match='## §W1-2. S94-VII-BA-T4-ENVELOPE-EXTENSION'
[EDGE:succ_of] gates:S94-VII-B -> gates:S94-VII-BA-T4-ENVELOPE-EXTENSION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w1.md | match='## §W1-3. S94-VII-Bx-T5-ALPHA-S-A4-RECOVERY'
[EDGE:succ_of] gates:S94-K-CSUB-R-ABSOLUTE-CONVERGENCE -> gates:S94-VII-B  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w1.md | match='## §W1-4. S94-K-CSUB-R-ABSOLUTE-CONVERGENCE'
[EDGE:succ_of] gates:S94-A_S-MPL-CONVERGENCE -> gates:S94-K-CSUB-R-ABSOLUTE-CONVERGENCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w1.md | match='## §W1-5. S94-A_S-MPL-CONVERGENCE'
[EDGE:succ_of] gates:S94-VII-AU-3HEB-BDI-LEVEL-3-ANCHOR -> gates:S94-VII-AU-WINDING-RECONCILIATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w2.md | match='## §W2-2. S94-VII-AU-3HEB-BDI-LEVEL-3-ANCHOR'
[EDGE:succ_of] gates:S94-VII-AU-ALPHA-MINUS-3-LAYER-1 -> gates:S94-VII-AU-3HEB-BDI-LEVEL-3-ANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w2.md | match='## §W2-3. S94-VII-AU-ALPHA-MINUS-3-LAYER-1'
[EDGE:succ_of] gates:S94-MODULE-AS-CANONICAL-K3 -> gates:S94-VII-PS-FULL-SPECTRUM-LEVEL-3  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w3.md | match='## §W3-10. S94-MODULE-AS-CANONICAL-K3'
[EDGE:succ_of] gates:S94-VII-AZ-BAND-ADMISSIBLE-RE-EXTRACTION -> gates:S94-MODULE-AS-CANONICAL-K3  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w3.md | match='## §W3-11. S94-VII-AZ-BAND-ADMISSIBLE-RE-EXTRACTION'
[EDGE:succ_of] gates:S94-LQG-CDT-STAGE-2 -> gates:S94-VII-AX-STATE-PROJ-STAGE-2-CROSS-AXIS-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w4.md | match='## §W4-2. S94-LQG-CDT-STAGE-2'
[EDGE:succ_of] gates:S94-N-PBH-BAND-BREACH-PROJECTION -> gates:S94-N-PBH-TRUNCATION-ANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w5.md | match='## §W5-2. S94-N-PBH-BAND-BREACH-PROJECTION'
[EDGE:succ_of] gates:S94-BAO-PEAK-BRANCH -> gates:S94-N-PBH-BAND-BREACH-PROJECTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w5.md | match='## §W5-3. S94-BAO-PEAK-BRANCH'
[EDGE:succ_of] gates:S94-MULT-NORM-CANCELLATION-K3 -> gates:S94-CPB-AUDIT-PENDING-VS-DEFECTIVE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w6.md | match='## §W6-18. S94-MULT-NORM-CANCELLATION-K3'
[EDGE:succ_of] gates:S94-S16-AREA-FUNCTIONAL-K-ADVANCE -> gates:S94-MULT-NORM-CANCELLATION-K3  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w6.md | match='## §W6-19. S94-S16-AREA-FUNCTIONAL-K-ADVANCE'
[EDGE:succ_of] gates:S94-NON-PROMOTION-META-TAXONOMY -> gates:S94-S16-AREA-FUNCTIONAL-K-ADVANCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w6.md | match='## §W6-20. S94-NON-PROMOTION-META-TAXONOMY'
[EDGE:succ_of] gates:S94-A_N-RETROFIT-C-CAUSALITY -> gates:S94-NON-PROMOTION-META-TAXONOMY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w6.md | match='## §W6-21. S94-A_N-RETROFIT-C-CAUSALITY'
[EDGE:succ_of] gates:S94-NARROW-PATH-WORKSHOP-6-COCYCLE -> gates:S94-DS-GAMMA-E-RESOLUTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w7.md | match='## §W7-23. S94-NARROW-PATH-WORKSHOP-6-COCYCLE'
[EDGE:succ_of] gates:S94-VII-AR-PASS-A-SUBSTRATE-DERIVATION -> gates:S94-VII-AV-OP-PROJ-STAGE-2-AXIS-A-REVERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-94-plan-w8.md | match='## §W8-2. S94-VII-AR-PASS-A-SUBSTRATE-DERIVATION'
