## S93 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 10
## Verdict files scanned: 1
## Plan files scanned: 13
## Session .md files scanned (cited_in scope): 30
## Total edges (deduped): 96
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:93 -> gates:CF-S94-VII-AR-PASS-A-CONTINUOUS-PARAM-SUBSTRATE-DERIVATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w5-workingpaper.md | match='### CF-S94-VII-AR-PASS-A-CONTINUOUS-PARAM-SUBSTRATE-DERIVATION — substrate-physi'
[EDGE:anchored_in] gates:S93-W2-1-VII-AU-CF37-FREDHOLM-INDEX-INTEGER-TRIPLE -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W2-1-VII-AU-CF37-FREDHOLM-INDEX-INTEGER-TRIPLE: INFO'
[EDGE:anchored_in] gates:S93-W2-4-VII-AU-CF37-MODULE-AS-CANONICAL-CORPUS-ROW -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W2-4-VII-AU-CF37-MODULE-AS-CANONICAL-CORPUS-ROW: PASS'
[EDGE:anchored_in] gates:S93-W3-2-VII-AV-PV-BOTTOM-K-RESTRICTION-AT-FIXED-MASS -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W3-2-VII-AV-PV-BOTTOM-K-RESTRICTION-AT-FIXED-MASS: FAIL'
[EDGE:anchored_in] gates:S93-W3-3-VII-AV-OP-PROJ-CLASS-8-7-DEGENERACY-WITNESS -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W3-3-VII-AV-OP-PROJ-CLASS-8-7-DEGENERACY-WITNESS: PASS'
[EDGE:anchored_in] gates:S93-W3-1-VII-AV-OP-PROJ-STATE-PROJ-SLOT-SPLIT-LANDING -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W3-1-VII-AV-OP-PROJ-STATE-PROJ-SLOT-SPLIT-LANDING: PASS'
[EDGE:anchored_in] gates:S93-W3-4-VII-AV-PROXY-REFINEMENT-CONNES-KAROUBI-DISCHARGE -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W3-4-VII-AV-PROXY-REFINEMENT-CONNES-KAROUBI-DISCHARGE: PASS'
[EDGE:anchored_in] gates:S93-W3-5-VII-AV-STATE-PROJ-OP-PROJ-REGISTRY-TEXT-LANDING -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W3-5-VII-AV-STATE-PROJ-OP-PROJ-REGISTRY-TEXT-LANDING: PASS'
[EDGE:anchored_in] gates:S93-W3-6-VII-AV-STAGE-2-CROSS-AXIS-VERIFY-PER-SUB-SLOT -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W3-6-VII-AV-STAGE-2-CROSS-AXIS-VERIFY-PER-SUB-SLOT: INFO'
[EDGE:anchored_in] gates:S93-W3-7-MULTIPLICATIVE-NORMALIZATION-CANCELLATION-K2-RULE-EXTENSION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W3-7-MULTIPLICATIVE-NORMALIZATION-CANCELLATION-K2-RULE-EXTENSION: PASS'
[EDGE:anchored_in] gates:S93-W3-VII-AV-STATE-PROJ-STAGE-3-PERMANENT-PROMOTION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W3-VII-AV-STATE-PROJ-STAGE-3-PERMANENT-PROMOTION: PASS'
[EDGE:anchored_in] gates:S93-W4-1-VII-AX-OP-PROJ-AXIS-A-E2-VERDICT-ARTIFACT-RE-EMISSION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W4-1-VII-AX-OP-PROJ-AXIS-A-E2-VERDICT-ARTIFACT-RE-EMISSION: FAIL'
[EDGE:anchored_in] gates:S93-W4-3-N-PBH-CANONICAL-TRUNCATION-FACTORIZATION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W4-3-N-PBH-CANONICAL-TRUNCATION-FACTORIZATION: INFO'
[EDGE:anchored_in] gates:S93-W4-2-VII-AX-MULTI-PIN-ATLAS-STAGE-2-CROSS-AXIS-VERIFY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W4-2-VII-AX-MULTI-PIN-ATLAS-STAGE-2-CROSS-AXIS-VERIFY: PASS'
[EDGE:anchored_in] gates:S93-W4-4-VII-AX-STATE-PROJ-COMPANION-LANDING -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W4-4-VII-AX-STATE-PROJ-COMPANION-LANDING: PASS'
[EDGE:anchored_in] gates:S93-W4-5-CANONICAL-CONSTANTS-N-PBH-FW-CENTRAL-PROMOTION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W4-5-CANONICAL-CONSTANTS-N-PBH-FW-CENTRAL-PROMOTION: PASS'
[EDGE:anchored_in] gates:S93-W4-6-FWD-C5-K2-SUBSTRATE-DISTANCE-3-POLE-S5-CARDINALITY-CASCADE-SHOULDER -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W4-6-FWD-C5-K2-SUBSTRATE-DISTANCE-3-POLE-S5-CARDINALITY-CASCADE-SHOULDER: PASS'
[EDGE:anchored_in] gates:S93-W5-4-VII-AR-FILTER-GEOMETRY-AUDIT -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W5-4-VII-AR-FILTER-GEOMETRY-AUDIT: FAIL'
[EDGE:anchored_in] gates:S93-W5-1-SUBSTRATE-COCYCLE-RATIO-67-88-R-MACHINE-RECOMPUTE -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W5-1-SUBSTRATE-COCYCLE-RATIO-67-88-R-MACHINE-RECOMPUTE: PASS'
[EDGE:anchored_in] gates:S93-W5-3-VII-AR-FULL-TIER-N4-RETRY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W5-3-VII-AR-FULL-TIER-N4-RETRY: FAIL'
[EDGE:anchored_in] gates:S93-W5-2-VII-AY-ELEMENT-5-TOLERANCE-STAGE-2-STAGE-3 -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W5-2-VII-AY-ELEMENT-5-TOLERANCE-STAGE-2-STAGE-3: FAIL'
[EDGE:anchored_in] gates:S93-W5-5-VII-AW-OP-PROJ-STAGE-3-PERMANENT-PROMOTION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W5-5-VII-AW-OP-PROJ-STAGE-3-PERMANENT-PROMOTION: PASS'
[EDGE:anchored_in] gates:S93-W5-6-VII-AW-SLOT-RENAME -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W5-6-VII-AW-SLOT-RENAME: PASS'
[EDGE:anchored_in] gates:S93-W5-3-CF-VII-AR-PASS-A-METHODOLOGY-FLOOR-ANNOTATION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W5-3-CF-VII-AR-PASS-A-METHODOLOGY-FLOOR-ANNOTATION: PASS'
[EDGE:anchored_in] gates:S93-W6-3-VII-BB-STAGE-2-AXIS-A-CONNES-VERIFY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W6-3-VII-BB-STAGE-2-AXIS-A-CONNES-VERIFY: PASS'
[EDGE:anchored_in] gates:S93-W6-3-VII-BB-STAGE-2-AXIS-B-LANDAU-VERIFY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W6-3-VII-BB-STAGE-2-AXIS-B-LANDAU-VERIFY: PASS'
[EDGE:anchored_in] gates:S93-W6-4-FWD-C4-STAGE-2-AXIS-B-LANDAU-VERIFY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W6-4-FWD-C4-STAGE-2-AXIS-B-LANDAU-VERIFY: INFO'
[EDGE:anchored_in] gates:S93-W6-4-FWD-C4-PATI-SALAM-STAGE-2-AXIS-A-CONNES-VERIFY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W6-4-FWD-C4-PATI-SALAM-STAGE-2-AXIS-A-CONNES-VERIFY: INFO'
[EDGE:anchored_in] gates:S93-W6-2-VII-AZ-OP-PROJ-ELEMENT-4-SUB-CLASS-TAG-REPLACEMENT -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W6-2-VII-AZ-OP-PROJ-ELEMENT-4-SUB-CLASS-TAG-REPLACEMENT: FAIL'
[EDGE:anchored_in] gates:S93-W6-1-VII-AQ-OP-PROJ-STAGE-3-PATI-SALAM-SU4-ALGEBRA-EXTENSION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W6-1-VII-AQ-OP-PROJ-STAGE-3-PATI-SALAM-SU4-ALGEBRA-EXTENSION: FAIL'
[EDGE:anchored_in] gates:S93-W6-3-VII-BB-STAGE-2-CROSS-AXIS-VERIFY-REGIME-IDENTITY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W6-3-VII-BB-STAGE-2-CROSS-AXIS-VERIFY-REGIME-IDENTITY: PASS'
[EDGE:anchored_in] gates:S93-W6-4-FWD-C4-PATI-SALAM-STAGE-2-CROSS-AXIS-VERIFY-LEVEL-3 -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W6-4-FWD-C4-PATI-SALAM-STAGE-2-CROSS-AXIS-VERIFY-LEVEL-3: INFO'
[EDGE:anchored_in] gates:S93-W7-2-K-CSUB-R-FULL-PHYSICAL-RETRY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W7-2-K-CSUB-R-FULL-PHYSICAL-RETRY: PASS'
[EDGE:anchored_in] gates:S93-W7-1-ALPHA-S-W-KAPPA-FACTORIZATION-DEG-TRANSPORT-BZ-PIVOT -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W7-1-ALPHA-S-W-KAPPA-FACTORIZATION-DEG-TRANSPORT-BZ-PIVOT: PASS'
[EDGE:anchored_in] gates:S93-W7-3-FOLD-ENERGY-WINDOWED-DS-GATE -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W7-3-FOLD-ENERGY-WINDOWED-DS-GATE: INFO'
[EDGE:anchored_in] gates:S93-W8-4-NARROW-PATH-DIMENSIONAL-PREFACTOR-PIN -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W8-4-NARROW-PATH-DIMENSIONAL-PREFACTOR-PIN: PASS'
[EDGE:anchored_in] gates:S93-W8-1-NARROW-PATH-EIGENVALUE-INVENTORY -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W8-1-NARROW-PATH-EIGENVALUE-INVENTORY: PASS'
[EDGE:anchored_in] gates:S93-W8-2-NARROW-PATH-CASIMIR-TABLE -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W8-2-NARROW-PATH-CASIMIR-TABLE: FAIL'
[EDGE:anchored_in] gates:S93-W8-3-NARROW-PATH-CAUCHY-SCHWARZ-JOINT-PREFLIGHT -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W8-3-NARROW-PATH-CAUCHY-SCHWARZ-JOINT-PREFLIGHT: INFO'
[EDGE:anchored_in] gates:S93-W8-5-NARROW-PATH-WORKSHOP-1-GATE-PREREG -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W8-5-NARROW-PATH-WORKSHOP-1-GATE-PREREG: PASS'
[EDGE:anchored_in] gates:S93-W8-6-NARROW-PATH-PRE-POST-BOGOLIUBOV-RATIO -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W8-6-NARROW-PATH-PRE-POST-BOGOLIUBOV-RATIO: FAIL'
[EDGE:anchored_in] gates:S93-W8-7-NARROW-PATH-WORKSHOP-6-DISPATCH -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W8-7-NARROW-PATH-WORKSHOP-6-DISPATCH: INFO'
[EDGE:anchored_in] gates:S93-W9-3-BRIDGE-MAP-SCHEME-SUFFIX-K3-MANDATORY-THIRD-INSTANCE -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W9-3-BRIDGE-MAP-SCHEME-SUFFIX-K3-MANDATORY-THIRD-INSTANCE: PASS'
[EDGE:anchored_in] gates:S93-W9-1-PLAN-LINE-ANCHOR-VALIDATOR -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W9-1-PLAN-LINE-ANCHOR-VALIDATOR: PASS'
[EDGE:anchored_in] gates:S93-W9-4-PER-BULLETIN-PER-POLE-K3-ADVANCEMENT -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W9-4-PER-BULLETIN-PER-POLE-K3-ADVANCEMENT: PASS'
[EDGE:anchored_in] gates:S93-W9-2-PLAN-CORPUS-SECTION-NUMBER-DRIFT-DETECTOR -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W9-2-PLAN-CORPUS-SECTION-NUMBER-DRIFT-DETECTOR: PASS'
[EDGE:anchored_in] gates:S93-W9-5-LAYER-FUNCTOR-F-VERDICT-SHAPE-CONSISTENCY-REFORMULATION-WORKSHOP -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W9-5-LAYER-FUNCTOR-F-VERDICT-SHAPE-CONSISTENCY-REFORMULATION-WORKSHOP: PASS'
[EDGE:cited_in] researchers:connes-ncg-theorist -> sessions:93  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-93/session-93-w4-workingpaper.md | match='researchers/Connes/06_1995_Connes_Moscovici_Local_index_formula.md'
[EDGE:succ_of] gates:S93-W1-2-VII-BA-STAGE-1-CANDIDATE-REGISTRATION -> gates:S93-W1-1-VII-BA-DEEP-POLE-MASQUERADE-DISCRIMINATOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w1.md | match='## §W1-2. S93-W1-2-VII-BA-STAGE-1-CANDIDATE-REGISTRATION'
[EDGE:succ_of] gates:S93-W1-3-VII-BA-F-FUNCTOR-NON-SCALAR-RECONSTRUCTION -> gates:S93-W1-2-VII-BA-STAGE-1-CANDIDATE-REGISTRATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w1.md | match='## §W1-3. S93-W1-3-VII-BA-F-FUNCTOR-NON-SCALAR-RECONSTRUCTION'
[EDGE:succ_of] gates:S93-W2-2-VII-AU-OP-PROJ-STAGE-3-PERMANENT-PROMOTION -> gates:S93-W2-1-VII-AU-CF37-FREDHOLM-INDEX-INTEGER-TRIPLE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w2.md | match='## §W2-2. S93-W2-2-VII-AU-OP-PROJ-STAGE-3-PERMANENT-PROMOTION'
[EDGE:succ_of] gates:S93-W2-3-VII-AU-OP-PROJ-CANONICAL-CONSTANTS-PROMOTION-SUB-CLASS-KEYED -> gates:S93-W2-2-VII-AU-OP-PROJ-STAGE-3-PERMANENT-PROMOTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w2.md | match='## §W2-3. S93-W2-3-VII-AU-OP-PROJ-CANONICAL-CONSTANTS-PROMOTION-SUB-CLASS-KEYED'
[EDGE:succ_of] gates:S93-W2-4-VII-AU-CF37-MODULE-AS-CANONICAL-CORPUS-ROW -> gates:S93-W2-3-VII-AU-OP-PROJ-CANONICAL-CONSTANTS-PROMOTION-SUB-CLASS-KEYED  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w2.md | match='## §W2-4. S93-W2-4-VII-AU-CF37-MODULE-AS-CANONICAL-CORPUS-ROW'
[EDGE:succ_of] gates:S93-W3-2-VII-AV-PV-BOTTOM-K-RESTRICTION-AT-FIXED-MASS -> gates:S93-W3-1-VII-AV-OP-PROJ-STATE-PROJ-SLOT-SPLIT-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w3.md | match='## §W3-2. S93-W3-2-VII-AV-PV-BOTTOM-K-RESTRICTION-AT-FIXED-MASS'
[EDGE:succ_of] gates:S93-W3-3-VII-AV-OP-PROJ-CLASS-8-7-DEGENERACY-WITNESS -> gates:S93-W3-2-VII-AV-PV-BOTTOM-K-RESTRICTION-AT-FIXED-MASS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w3.md | match='## §W3-3. S93-W3-3-VII-AV-OP-PROJ-CLASS-8-7-DEGENERACY-WITNESS'
[EDGE:succ_of] gates:S93-W3-4-VII-AV-PROXY-REFINEMENT-CONNES-KAROUBI-DISCHARGE -> gates:S93-W3-3-VII-AV-OP-PROJ-CLASS-8-7-DEGENERACY-WITNESS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w3.md | match='## §W3-4. S93-W3-4-VII-AV-PROXY-REFINEMENT-CONNES-KAROUBI-DISCHARGE'
[EDGE:succ_of] gates:S93-W3-5-VII-AV-STATE-PROJ-OP-PROJ-REGISTRY-TEXT-LANDING -> gates:S93-W3-4-VII-AV-PROXY-REFINEMENT-CONNES-KAROUBI-DISCHARGE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w3.md | match='## §W3-5. S93-W3-5-VII-AV-STATE-PROJ-OP-PROJ-REGISTRY-TEXT-LANDING'
[EDGE:succ_of] gates:S93-W3-6-VII-AV-STAGE-2-CROSS-AXIS-VERIFY-PER-SUB-SLOT -> gates:S93-W3-5-VII-AV-STATE-PROJ-OP-PROJ-REGISTRY-TEXT-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w3.md | match='## §W3-6. S93-W3-6-VII-AV-STAGE-2-CROSS-AXIS-VERIFY-PER-SUB-SLOT'
[EDGE:succ_of] gates:S93-W3-7-MULTIPLICATIVE-NORMALIZATION-CANCELLATION-K2-RULE-EXTENSION -> gates:S93-W3-6-VII-AV-STAGE-2-CROSS-AXIS-VERIFY-PER-SUB-SLOT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w3.md | match='## §W3-7. S93-W3-7-MULTIPLICATIVE-NORMALIZATION-CANCELLATION-K2-RULE-EXTENSION'
[EDGE:succ_of] gates:S93-W4-2-VII-AX-MULTI-PIN-ATLAS-STAGE-2-CROSS-AXIS-VERIFY -> gates:S93-W4-1-VII-AX-OP-PROJ-AXIS-A-E2-VERDICT-ARTIFACT-RE-EMISSION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w4.md | match='## §W4-2. S93-W4-2-VII-AX-MULTI-PIN-ATLAS-STAGE-2-CROSS-AXIS-VERIFY'
[EDGE:succ_of] gates:S93-W4-3-N-PBH-CANONICAL-TRUNCATION-FACTORIZATION -> gates:S93-W4-2-VII-AX-MULTI-PIN-ATLAS-STAGE-2-CROSS-AXIS-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w4.md | match='## §W4-3. S93-W4-3-N-PBH-CANONICAL-TRUNCATION-FACTORIZATION'
