## S82 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 12 (+ 3 in workshops/)
## Total edges (deduped): 56
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:82:session-82-connes-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-connes-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:LISA- -> researchers:einstein-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: einstein-theorist'
[EDGE:authored_by] gates:LISA- -> researchers:mack-cosmic-bridge  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: mack-cosmic-bridge'
[EDGE:authored_by] gates:LISA- -> researchers:transit-dynamics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: transit-dynamics-theorist'
[EDGE:authored_by] gates:LISA- -> researchers:spectral-geometer  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: spectral-geometer'
[EDGE:authored_by] gates:LISA- -> researchers:connes-ncg-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: connes-ncg-theorist (primary) + van-den-dungen-bridge-theorist (dual)'
[EDGE:authored_by] gates:VERDICT -> researchers:transit-dynamics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: transit-dynamics-theorist'
[EDGE:synthesized_by] gates:VERDICT -> sessions:(wave-synthesis)  # G6 | role=orchestrator | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: einstein-theorist + feynman-theorist'
[EDGE:authored_by] gates:VERDICT -> researchers:landau-condensed-matter-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:VERDICT -> researchers:gen-physicist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: gen-physicist'
[EDGE:authored_by] gates:VERDICT -> researchers:feynman-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: feynman-theorist'
[EDGE:authored_by] gates:VERDICT -> researchers:quantum-acoustics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: quantum-acoustics-theorist'
[EDGE:authored_by] gates:VERDICT -> researchers:lizzi-spectral-functional-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: lizzi-spectral-functional-theorist'
[EDGE:authored_by] gates:82:session-82-sagan-synthesis.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-sagan-synthesis.md | match='**Author**: sagan-empiricist'
[EDGE:authored_by] data_provenance:82:session-82-sagan-synthesis.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-sagan-synthesis.md | match='**Author**: sagan-empiricist'
[EDGE:authored_by] data_provenance:82:session-82-spectral-geometer-synthesis.md -> researchers:spectral-geometer  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-82/session-82-spectral-geometer-synthesis.md | match='session-82-spectral-geometer-synthesis.md'
[EDGE:authored_by] gates:82:session-82-van-den-dungen-synthesis.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-van-den-dungen-synthesis.md | match='**Agent**: van-den-dungen-bridge-theorist (Koen van den Dungen)'
[EDGE:authored_by] data_provenance:82:session-82-van-den-dungen-synthesis.md -> researchers:van-den-dungen-bridge-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-82/session-82-van-den-dungen-synthesis.md | match='session-82-van-den-dungen-synthesis.md'
[EDGE:authored_by] data_provenance:82:session-82-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-82/session-82-volovik-synthesis.md | match='session-82-volovik-synthesis.md'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:feynman-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md | match='feynman (feynman-theorist)'
[EDGE:authored_round] researchers:feynman-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md | match='## Round 1 — feynman'
[EDGE:authored_round] researchers:feynman-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md | match='## Round 2 — feynman'
[EDGE:authored_round] researchers:feynman-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-as-ledger-self-consistent.md | match='## Round 3 — feynman'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-regulator-dressing-taxonomy.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-82/workshops/s82-w1-1-divergence-chase.md | match='## Round 3 — lizzi'
