## S29 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 35 (+ 0 in workshops/)
## Total edges (deduped): 36
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:29:session-29-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-baptista-collab.md | match='**Author**: Baptista (Spacetime Analyst)'
[EDGE:authored_by] data_provenance:29:session-29-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-feynman-collab.md | match='**Author**: Feynman'
[EDGE:authored_by] gates:29:session-29-feynman-collab.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-feynman-collab.md | match='**Author**: Feynman'
[EDGE:authored_by] data_provenance:29:session-29-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-hawking-collab.md | match='**Author**: Hawking'
[EDGE:authored_by] gates:29:session-29-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-hawking-collab.md | match='**Author**: Hawking'
[EDGE:authored_by] data_provenance:29:session-29-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-kk-collab.md | match='**Author**: Kaluza-Klein Theorist'
[EDGE:authored_by] gates:29:session-29-kk-collab.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-kk-collab.md | match='**Author**: Kaluza-Klein Theorist'
[EDGE:authored_by] data_provenance:29:session-29-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-landau-collab.md | match='**Author**: Landau'
[EDGE:authored_by] gates:29:session-29-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-landau-collab.md | match='**Author**: Landau'
[EDGE:authored_by] data_provenance:29:session-29-little-red-dots-collab.md -> researchers:little-red-dots-jwst-analyst  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-29/session-29-little-red-dots-collab.md | match='session-29-little-red-dots-collab.md'
[EDGE:authored_by] data_provenance:29:session-29-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-neutrino-collab.md | match='**Author**: Neutrino Detection Specialist'
[EDGE:authored_by] gates:29:session-29-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-neutrino-collab.md | match='**Author**: Neutrino Detection Specialist'
[EDGE:authored_by] data_provenance:29:session-29-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-paasch-collab.md | match='**Author**: Paasch (Mass Quantization Analyst)'
[EDGE:authored_by] gates:29:session-29-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-paasch-collab.md | match='**Author**: Paasch (Mass Quantization Analyst)'
[EDGE:authored_by] data_provenance:29:session-29-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] gates:29:session-29-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] data_provenance:29:session-29-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-sagan-collab.md | match='**Author**: Sagan'
[EDGE:authored_by] gates:29:session-29-sagan-collab.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-sagan-collab.md | match='**Author**: Sagan'
[EDGE:authored_by] data_provenance:29:session-29-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Geometer)'
[EDGE:authored_by] gates:29:session-29-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Geometer)'
[EDGE:authored_by] data_provenance:29:session-29-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-tesla-collab.md | match='**Author**: Tesla (Resonance Theorist)'
[EDGE:authored_by] gates:29:session-29-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-tesla-collab.md | match='**Author**: Tesla (Resonance Theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-29/session-29B-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-29/session-29B-synthesis.md | match='baptista (geometry)'
