## S89 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 7
## Verdict files scanned: 1
## Plan files scanned: 9
## Session .md files scanned (cited_in scope): 24
## Total edges (deduped): 113
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:89 -> gates:CF-W1-3-RETRY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='### CF-W1-3-RETRY — Refined species-multiplicity table with lattice-QCD-correcte'
[EDGE:anchored_in] gates:S89-XI-KZ-SUBSTRATE-NATURAL-DERIVATION-FROM-T1-ATLAS -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-XI-KZ-SUBSTRATE-NATURAL-DERIVATION-FROM-T1-ATLAS: PASS'
[EDGE:anchored_in] gates:S89-D-EFF-CM-1995-SECTION-III-4-SECOND-ORDER-JENSEN-PERTURBATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-D-EFF-CM-1995-SECTION-III-4-SECOND-ORDER-JENSEN-PERTURBATION: INFO'
[EDGE:anchored_in] gates:S89-SUBSTRATE-COCYCLE-RATIO-REGULATOR-CLASS-INVARIANCE-SCAN -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-SUBSTRATE-COCYCLE-RATIO-REGULATOR-CLASS-INVARIANCE-SCAN: PASS'
[EDGE:anchored_in] gates:S89-SUBSTRATE-CANONICAL-14-STATE-BASIS-RE-RUN -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-SUBSTRATE-CANONICAL-14-STATE-BASIS-RE-RUN: PASS'
[EDGE:anchored_in] gates:S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS: FAIL'
[EDGE:anchored_in] gates:S89-V4-SAGE-QQ-ENUMERATION-EXTENDED-SECTORS -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-V4-SAGE-QQ-ENUMERATION-EXTENDED-SECTORS: PASS'
[EDGE:anchored_in] gates:S89-VII-W-3-LAB-STAGE-2-THREE-AGENT-CROSS-AXIS-VERIFY -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-VII-W-3-LAB-STAGE-2-THREE-AGENT-CROSS-AXIS-VERIFY: INFO'
[EDGE:anchored_in] gates:S89-SUBSTRATE-CLOCK-CANCELLATION-DISCRIMINATING-PREDICATE-GATE -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-SUBSTRATE-CLOCK-CANCELLATION-DISCRIMINATING-PREDICATE-GATE: PASS'
[EDGE:anchored_in] gates:S89-JOINT-N-S-ALPHA-S-HYPERSURFACE-LAB-DISCRIMINATION-STAGE-2 -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-JOINT-N-S-ALPHA-S-HYPERSURFACE-LAB-DISCRIMINATION-STAGE-2: PASS'
[EDGE:anchored_in] gates:S89-SUBSTRATE-CLOCK-PINNING-UNIQUENESS-DERIVATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-SUBSTRATE-CLOCK-PINNING-UNIQUENESS-DERIVATION: PASS'
[EDGE:anchored_in] gates:S89-VII-AR-STAGE-2-CROSS-AXIS-VERIFY -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-VII-AR-STAGE-2-CROSS-AXIS-VERIFY: INFO'
[EDGE:anchored_in] gates:S89-HIGHER-ORDER-RESOLVENT-EXPANSION-O-TAU2-KAPPA2 -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-HIGHER-ORDER-RESOLVENT-EXPANSION-O-TAU2-KAPPA2: PASS'
[EDGE:anchored_in] gates:S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING: INFO'
[EDGE:anchored_in] gates:S89-SU-N-CROSS-VALIDATION-5PI-CHAIN -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-SU-N-CROSS-VALIDATION-5PI-CHAIN: PASS'
[EDGE:anchored_in] gates:S89-HK-5-REGIME-OF-VALIDITY-TAU-MAX-BOUND-DERIVATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-HK-5-REGIME-OF-VALIDITY-TAU-MAX-BOUND-DERIVATION: PASS'
[EDGE:anchored_in] gates:S89-VII-AH-STAGE-2-RE-DISPATCH-OBS2-OBS3 -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-VII-AH-STAGE-2-RE-DISPATCH-OBS2-OBS3: PASS'
[EDGE:anchored_in] gates:S89-D-EFF-RICHARDSON-LMAX-18-LMAX-14-BASELINE-SCAN -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-D-EFF-RICHARDSON-LMAX-18-LMAX-14-BASELINE-SCAN: PASS'
[EDGE:anchored_in] gates:S89-CORNER-IV-K-WINDOW-LOG-DERIVATIVE-RECOMPUTE -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-CORNER-IV-K-WINDOW-LOG-DERIVATIVE-RECOMPUTE: PASS'
[EDGE:anchored_in] gates:S89-CORNER-IV-K-WINDOW-LMAX-SCAN-LEVEL-2-ENVELOPE -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-CORNER-IV-K-WINDOW-LMAX-SCAN-LEVEL-2-ENVELOPE: INFO'
[EDGE:anchored_in] gates:S89-PLAN-STALENESS-PRE-FLIGHT-VALIDATOR -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-PLAN-STALENESS-PRE-FLIGHT-VALIDATOR: PASS'
[EDGE:anchored_in] gates:S89-MELLIN-MOMENT-PIN-F0-F2-F4-PROVENANCE-AUDIT -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-MELLIN-MOMENT-PIN-F0-F2-F4-PROVENANCE-AUDIT: FAIL'
[EDGE:anchored_in] gates:S89-AUDIT-SCRIPT-EXTENSIONS-COMBINED -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-AUDIT-SCRIPT-EXTENSIONS-COMBINED: PASS'
[EDGE:anchored_in] gates:S89-FWD-C2-OBSERVABLE-DISAMBIGUATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-FWD-C2-OBSERVABLE-DISAMBIGUATION: PASS'
[EDGE:anchored_in] gates:S89-W25-CLOSING-PARAGRAPH-COHERENCE-SWEEP-AUDIT -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-W25-CLOSING-PARAGRAPH-COHERENCE-SWEEP-AUDIT: PASS'
[EDGE:anchored_in] gates:S89-PRU-CLASS-8-3-RETROACTIVE-AUDIT-W6A-51 -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-PRU-CLASS-8-3-RETROACTIVE-AUDIT-W6A-51: INFO'
[EDGE:anchored_in] gates:S89-VII-U-2-AUDIT-RE-RUN-CORNER-I-PRESERVATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-VII-U-2-AUDIT-RE-RUN-CORNER-I-PRESERVATION: FAIL'
[EDGE:anchored_in] gates:S89-D-MAX-MEASUREMENT-W9B-2-VS-FULL-PV-PIPELINE -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-D-MAX-MEASUREMENT-W9B-2-VS-FULL-PV-PIPELINE: INFO'
[EDGE:anchored_in] gates:S89-SOURCE-RECONCILIATION-CLASS-D-ROUTING-EXTENSION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-SOURCE-RECONCILIATION-CLASS-D-ROUTING-EXTENSION: PASS'
[EDGE:anchored_in] gates:S89-TAU-2X-FOLD-CROSS-VALIDATION-READING-A-VS-READING-B -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-TAU-2X-FOLD-CROSS-VALIDATION-READING-A-VS-READING-B: FAIL'
[EDGE:anchored_in] gates:S89-FWD-C1-RETRY-PARAMETERIZED-SLOPE-A-CANONICAL -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-FWD-C1-RETRY-PARAMETERIZED-SLOPE-A-CANONICAL: INFO'
[EDGE:anchored_in] gates:S89-A24-SUBSTRATE-IS-MELLIN-CONE-CLOSURE-DERIVATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-A24-SUBSTRATE-IS-MELLIN-CONE-CLOSURE-DERIVATION: PASS'
[EDGE:anchored_in] gates:S89-HEAT-KERNEL-ANCHOR-SWEEP-W7A-74-PRIMARY -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-HEAT-KERNEL-ANCHOR-SWEEP-W7A-74-PRIMARY: PASS'
[EDGE:anchored_in] gates:S89-A24-C-SUB-CORRECTED-ANCHOR-VERIFICATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-A24-C-SUB-CORRECTED-ANCHOR-VERIFICATION: PASS'
[EDGE:anchored_in] gates:S89-SAGE-EXACT-SPEARMAN-CROSS-CHECK-OF-A36 -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-SAGE-EXACT-SPEARMAN-CROSS-CHECK-OF-A36: PASS'
[EDGE:anchored_in] gates:S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU: FAIL'
[EDGE:cited_in] researchers:volovik-superfluid-universe-theorist -> sessions:89  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-89/session-89-volovik-synthesis.md | match='researchers/Volovik/'
[EDGE:cited_in] researchers:connes-ncg-theorist -> sessions:89  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-89/session-89-w4-workingpaper.md | match='researchers/Connes/'
[EDGE:succ_of] gates:S89-L-H-CANONICAL-RE-PINNING-CASCADE-TAIL-13OOM -> gates:S89-ALPHA-M-NCG-HORIZON-MICROSTATE-COUNT-DERIVATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w1.md | match='## §W1-2. S89-L-H-CANONICAL-RE-PINNING-CASCADE-TAIL-13OOM'
[EDGE:succ_of] gates:S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE -> gates:S89-L-H-CANONICAL-RE-PINNING-CASCADE-TAIL-13OOM  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w1.md | match='## §W1-3. S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE'
[EDGE:succ_of] gates:S89-N-PBH-BAND-EDGE-TENSION-RECONCILIATION -> gates:S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w1.md | match='## §W1-4. S89-N-PBH-BAND-EDGE-TENSION-RECONCILIATION'
[EDGE:succ_of] gates:S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH -> gates:S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w2.md | match='## §W2-2. S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH (Ledger A.4)'
[EDGE:succ_of] gates:S89-INDEPENDENT-CHI-PRIME-INHERITANCE-MORPHISM-M2C-CL1-TARGET -> gates:S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w2.md | match='## §W2-3. S89-INDEPENDENT-CHI-PRIME-INHERITANCE-MORPHISM-M2C-CL1-TARGET (Ledger A.7)'
