## S47 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 11 (+ 0 in workshops/)
## Total edges (deduped): 29
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:47:session-47-crystal-geometry-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry-landau-collab.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] data_provenance:47:session-47-wave1-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: spectral-geometer'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: dirac-antimatter-theorist'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: feynman-theorist'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: Baptista-Spacetime-Analyst'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: paasch-mass-quantization-analyst'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: nazarewicz-nuclear-structure-theorist'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: tesla-resonance'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Agent**: hawking-theorist'
[EDGE:authored_by] gates:47:session-47-wave1-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-wave1-workingpaper.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
