## S74 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 16 (+ 0 in workshops/)
## Total edges (deduped): 112
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:74:session-74-einstein-synthesis.md -> researchers:einstein-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-einstein-synthesis.md | match='session-74-einstein-synthesis.md'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-mack-landau-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-mack-landau-workshop.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-74/session-74-mack-landau-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-mack-landau-workshop.md | match='## Round 2 — mack'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-mack-landau-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-mack-landau-workshop.md | match='## Round 2 — landau'
[EDGE:authored_by] data_provenance:74:session-74-nazarewicz-synthesis.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-nazarewicz-synthesis.md | match='session-74-nazarewicz-synthesis.md'
[EDGE:authored_by] gates:74:session-74-nazarewicz-synthesis.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-nazarewicz-synthesis.md | match='**Agent**: nazarewicz-nuclear-structure-theorist (Naz)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-qa-vdd-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-74/session-74-qa-vdd-workshop.md | match='qa (quantum-acoustics-theorist)'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-qa-vdd-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-74/session-74-qa-vdd-workshop.md | match='vdd (van-den-dungen-bridge-theorist)'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-qa-vdd-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-qa-vdd-workshop.md | match='## Round 1 — qa'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-qa-vdd-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-qa-vdd-workshop.md | match='## Round 1 — vdd'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-qa-vdd-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-qa-vdd-workshop.md | match='## Round 2 — qa'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-qa-vdd-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-qa-vdd-workshop.md | match='## Round 2 — vdd'
[EDGE:authored_by] gates:W1-B -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-B: MODULI-STABILIZATION-74 -- What Halts tau Drift After Overshoot to tau'
[EDGE:authored_by] gates:W1-C -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-C: L-MAX-ZETA-REGULARIZATION-74 -- Bidirectional L_max Convergence Audit '
[EDGE:authored_by] gates:W1-D -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-D: E_C-RESOLUTION-74 -- Canonical E_C via Route 2 OES on Full 24-Cell Jos'
[EDGE:authored_by] gates:W1-E -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-E: FRIEDMANN-FROM-A2-74 -- Non-Circular Friedmann from 8-Mode Squeezed Va'
[EDGE:authored_by] gates:W1-F -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-F: GGE-PARTITION-74 -- Three-Channel Partition with BCS Zero-Point (einst'
[EDGE:authored_by] gates:W1-G -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-G: A-S-FROM-BOGOLIUBOV-74 -- Primordial A_s in Emergent 4D from 8-Mode + '
[EDGE:authored_by] gates:W1-I -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-I: NS-1LOOP-SPECTRAL-74 -- 1-Loop Correction to d^2 S / dtau^2 at Fold (c'
[EDGE:authored_by] gates:W1-J -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-J: W0-ZETA-74 -- w_0 from Zeta Regularization of Modular Trace (van-den-d'
[EDGE:authored_by] gates:W1-K -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-K: OVERLAP-MATRIX-74 -- 3x3 <B_i|branch_b> Projection (phonon-first-cosmo'
[EDGE:authored_by] gates:W1-L -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-L: HP4-REGIME-74 -- Bare-vs-Effective Ambiguity Decision Document (van-de'
[EDGE:authored_by] gates:W1-M -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-M: R-PROTECTED-FOLD-ADDITION-74 -- Canonical Constant Addition to canonic'
[EDGE:authored_by] gates:W1-N -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-N: MULTI-CELL-PLANCHEREL-74 -- Richardson-Gaudin Integrability on 10 PW I'
[EDGE:authored_by] gates:W1-O -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-O: NOETHER-CHAIN-VERIFICATION-74 -- 5-Step Noether Chain Audit (van-den-d'
[EDGE:authored_by] gates:W1-Q -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W1-Q: COULOMB-GAS-INSTANTON-VEFF-74 -- Coulomb-Gas V_eff as Multi-Instanton '
[EDGE:authored_by] gates:W1-R -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match="### W1-R: TH-OOFT-VERTEX-MODULUS-74 -- 't Hooft 6-Fermion Vertex and its Contrib"
[EDGE:authored_by] gates:W2-A -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-A: BRANCH-NBAR-D-K-74 -- Branch-Resolved n_bar from D_K Eigenvalue Deriva'
[EDGE:authored_by] gates:W2-B -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-B: PHASE-COVARIANCE-3X3-74 -- Full 3x3 Inter-Branch Phase Covariance Matr'
[EDGE:authored_by] gates:W2-C -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-C: HFB-HORIZON-BACKREACTION-74 -- Fold-Squeeze Backreaction on Entry-Hori'
[EDGE:authored_by] gates:W2-D -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-D: BDI-MORSE-STABILITY-74 -- One-Loop Hessian Determinant at Fold Saddle '
[EDGE:authored_by] gates:W2-E -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-E: LEFSCHETZ-GAUSSIAN-74 -- Gaussian Squeezed Thermal State around Fold S'
[EDGE:authored_by] gates:W2-F -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-F: MOTT-REFINED-CG24-74 -- Refined Mott with E_C_total + 3 Sector-Specifi'
[EDGE:authored_by] gates:W2-H -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-H: A-S-BUDGET-CLOSURE-74 -- A_s Budget Closure Audit with Refined Mott + '
[EDGE:authored_by] gates:W2-I -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-I: F-STAR-JOINT-74 -- Joint Refit of f = c_0 + c_1 sqrt + c_2 exp + c_3 c'
[EDGE:authored_by] gates:W2-K -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-K: HP4-PAIRING-74 -- Connes-Chern Pairing in M_Pl^4 Units (van-den-dungen'
[EDGE:authored_by] gates:W2-M -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-M: R-FAMILY-STABILITY-74 -- a_8 Computation and R_2, R_3 Tests (van-den-d'
[EDGE:authored_by] gates:W2-N -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-N: LEGGETT-VACUUM-CC-74 -- chi_Leggett from Leggett ZPE (van-den-dungen-b'
[EDGE:authored_by] gates:W2-O -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-O: R-PROTECTED-TRIPLE-74 -- Triple-Route R_protected via Spectral, Curvat'
[EDGE:authored_by] gates:W2-Q -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-Q: CC-M1-REGULARIZATION-74 -- f*-scheme CC via Absolute M_1 (van-den-dung'
[EDGE:authored_by] gates:W2-R -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W2-R: INSTANTON-STABILIZATION-74 -- dV_inst/dtau at tau = 0.480 (hawking-the'
[EDGE:authored_by] gates:W3-B -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-B: T-ENTRY-D-K-74 -- T_H at Entry Horizon from kappa_entry on D_K (hawkin'
[EDGE:authored_by] gates:W3-C -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-C: QCD-OPENING-74 -- alpha_s from Instantons in Region II at tau > 0.48 ('
[EDGE:authored_by] gates:W3-E -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-E: ENTRY-TH-DERIV-74 -- Structural T_entry from D_K First Principles (haw'
[EDGE:authored_by] gates:W3-F -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-F: SPECTRAL-RATIO-INDEPENDENCE-74 -- Cross-Check Route 2 E_C, Branch n_ba'
[EDGE:authored_by] gates:W3-G -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-G: ISLAND-LEFSCHETZ-CONSISTENCY-74 -- S72 Island-Graph Page Curve vs One-'
[EDGE:authored_by] gates:W3-H -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-H: S71-THREE-CELL-GSL-CROSS-CHECK-74 -- W1-E Route 2 Variance vs S71 Thre'
[EDGE:authored_by] gates:W3-J -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-J: MODULAR-WA-74 -- dtau/dH Back-Reaction to w_a (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W3-K -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-K: PS-THRESHOLD-EXTENDED-M-H-74 -- Paper 05 Rank-775 m_H Extension (bapti'
[EDGE:authored_by] gates:W3-M -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-M: HETEROTIC-LR-74 -- Heterotic L/R + Three-Coupling Consistency + sin^2 '
[EDGE:authored_by] gates:W3-N -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-N: LEFSCHETZ-MEASURE-FACTORIZATION-74 -- Thimble Integral on Higgs Line B'
[EDGE:authored_by] gates:W3-O -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W3-O: SOFT-HAIR-FDM-74 -- Scale R-G Sector Count to Cosmological N_pair (pho'
[EDGE:authored_by] gates:W4-A -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-A: N10-B1-WEIGHT-AUDIT-74 -- Verify W_B1 = 0.150 Correctly Represents B1 '
[EDGE:authored_by] gates:W4-B -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-B: N11-DC-PERMANENCE-74 -- 20% DC Component on Larger Multi-Cell Systems '
[EDGE:authored_by] gates:W4-C -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-C: N12-DEGENERACY-LIFT-ALPHA-S-74 -- Treat 8 BCS Modes Individually (quan'
[EDGE:authored_by] gates:W4-D -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-D: N13-GGE-BISPECTRUM-74 -- f_NL from In-In Formalism (phonon-first-cosmo'
[EDGE:authored_by] gates:W4-E -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-E: N15-MODULUS-DECAY-74 -- Modulus Decay Rate into Radiation (hawking-the'
[EDGE:authored_by] gates:W4-F -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-F: N16-RATIO-OF-RATIOS-PROTECTED-74 -- Catalog Framework Observables via '
[EDGE:authored_by] gates:W4-G -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-G: N17-FRAMEWORK-RESCALE-74 -- Recompute sin^2_W, m_H, CC Ratio at L_max '
[EDGE:authored_by] gates:W4-H -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-H: BDSPT-ANOMALY-74 -- Euclidean Path Integral Commutes with J at Non-Per'
[EDGE:authored_by] gates:W4-I -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-I: W2E-INTEG-LINK-74 -- W4-A 2.4% Variance Residual = W2-E <r> (kitaev-qu'
[EDGE:authored_by] gates:W4-J -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-J: STRUCTURE-RG-SCALE-74 -- 80/20 Partition BAO or Galaxy Bias Feature (p'
[EDGE:authored_by] gates:W4-K -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-K: SUBSTRATE-INFO-PARTITION-THEOREM-74 -- Formalize 20%/80% Partition as '
[EDGE:authored_by] gates:W4-L -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-L: GAP-DOMINATED-DISPERSION-74 -- Leggett and Optical Branches in Gap Reg'
[EDGE:authored_by] gates:W4-M -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-M: ZERO-MODE-WINDING-74 -- Is tau Compact? Winding Number Conservation (b'
[EDGE:authored_by] gates:W4-N -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-N: W5F-REVERIFY-74 -- Re-verify 4 NEEDS_REVERIFY Theorems at L_max=7 (van'
[EDGE:authored_by] gates:W4-P -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-P: MOTT-GAP-RENORMALIZATION-74 -- M_KK -> Present Horizon (landau-condens'
[EDGE:authored_by] gates:W4-Q -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-Q: DIMER-ZERO-MODE-74 -- Discrete Subgroup Commuting with J_su2, J_u1 but'
[EDGE:authored_by] gates:W4-R -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-R: N-EFF-MORSE-BOTT-74 -- S65 Hessian Signature -> SM Relativistic dof (b'
[EDGE:authored_by] gates:W4-S -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-S: EXTERNAL-COMM-REFRAME-74 -- Audit External-Facing Docs (mack-cosmic-br'
[EDGE:authored_by] gates:W4-T -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-T: SCORECARD-BAYES-CALIBRATION-74 -- Rewrite Scorecard with Layer Tags (m'
[EDGE:authored_by] gates:W4-U -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-U: R-FAMILY-OBSERVABLE-SCAN-74 -- Catalog L_max-Fragile Observables (lizz'
[EDGE:authored_by] gates:W4-V -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-V: HARDENING-RATE-DECAY-74 -- Meta-Gate New Permanent Theorems per Sessio'
[EDGE:authored_by] gates:W4-W -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-W: JOINT-AUDIT-ATLAS-74 -- Merge W5-A+W5-D+W5-F+W5-G into L_max-Independe'
[EDGE:authored_by] gates:W4-Y -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-Y: HARMONIC-SPT-CLASSIFICATION-74 -- Harmonic-Analytic SPT Protection (va'
[EDGE:authored_by] gates:W4-Z -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-Z: DR3-W0-FALSIFIER-REGISTRATION-74 -- Pre-register w_0 Falsifier Band (m'
[EDGE:authored_by] gates:W4-AA -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-AA: S70-S72-EXIT-HORIZON-AUDIT-74 -- Audit Exit-Horizon Vocabulary (phono'
[EDGE:authored_by] gates:W4-BB -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-BB: VIRTUAL-REFRAME-74 -- Revise Framework Documents Using "Virtual Parti'
[EDGE:authored_by] gates:W4-CC -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-CC: S75-TRANSFER-FUNCTION-SPEC-74 -- Spec-Only for S75 (phonon-first-cosm'
[EDGE:authored_by] gates:W4-DD -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-DD: BRANCH-COMB-AMPLITUDE-SPEC-74 -- Spec-Only for S75+ (quantum-acoustic'
[EDGE:authored_by] gates:W4-EE -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-EE: ASYMMETRIC-FOLD-LOW-L-SPEC-74 -- Spec-Only for S75+ (baptista-spaceti'
[EDGE:authored_by] gates:W4-FF -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-FF: LEGGETT-JEANS-74 -- Leggett Jeans k_J in 4D Units (quantum-acoustics-'
[EDGE:authored_by] gates:W4-HH -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-HH: EVOI-RECALIBRATION-74 -- Update EVOI Table with S74 Findings (lizzi-s'
[EDGE:authored_by] gates:W4-II -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='### W4-II: FOUNDATIONAL-AUDIT-75-SPEC -- Spec for S75 Foundational Audit (van-de'
[EDGE:authored_by] gates:74:session-74-results-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-results-workingpaper.md | match='**Agent**: lizzi-spectral-functional-theorist'
[EDGE:authored_by] data_provenance:74:session-74-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-sp-synthesis.md | match='session-74-sp-synthesis.md'
[EDGE:authored_by] gates:74:session-74-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-sp-synthesis.md | match='**Agent**: schwarzschild-penrose-geometer (SP)'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md | match='Tesla (tesla-resonance)'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md | match='Mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md | match='## Round 1 — Tesla'
