## S28 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 26 (+ 0 in workshops/)
## Total edges (deduped): 36
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:28:session-28-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:28:session-28-kk-collab.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-kk-collab.md | match='**Author**: Kaluza-Klein (kaluza-klein-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-landau-collab.md | match='**Author**: Landau (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:28:session-28-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-landau-collab.md | match='**Author**: Landau (landau-condensed-matter-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-neutrino-collab.md | match='**Author**: Neutrino (neutrino-detection-specialist)'
[EDGE:authored_by] gates:28:session-28-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-neutrino-collab.md | match='**Author**: Neutrino (neutrino-detection-specialist)'
[EDGE:authored_by] data_provenance:28:session-28-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-paasch-collab.md | match='**Author**: Paasch (paasch-mass-quantization-analyst)'
[EDGE:authored_by] gates:28:session-28-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-paasch-collab.md | match='**Author**: Paasch (paasch-mass-quantization-analyst)'
[EDGE:authored_by] data_provenance:28:session-28-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:28:session-28-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics (quantum-acoustics-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-sagan-collab.md | match='**Author**: Sagan (sagan-empiricist)'
[EDGE:authored_by] gates:28:session-28-sagan-collab.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-sagan-collab.md | match='**Author**: Sagan (sagan-empiricist)'
[EDGE:authored_by] data_provenance:28:session-28-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-sp-collab.md | match='**Author**: Schwarzschild-Penrose (schwarzschild-penrose-geometer)'
[EDGE:authored_by] gates:28:session-28-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-sp-collab.md | match='**Author**: Schwarzschild-Penrose (schwarzschild-penrose-geometer)'
[EDGE:authored_by] data_provenance:28:session-28-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-tesla-collab.md | match='**Author**: Tesla (tesla-resonance)'
[EDGE:authored_by] gates:28:session-28-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-tesla-collab.md | match='**Author**: Tesla (tesla-resonance)'
