## S23 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 21 (+ 0 in workshops/)
## Total edges (deduped): 36
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:23:session-23-sagan-verdict.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-sagan-verdict.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-hawking-collab.md | match='**Author**: Hawking'
[EDGE:authored_by] gates:23:session-23-tesla-take-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-hawking-collab.md | match='**Author**: Hawking'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-kk-collab.md | match='**Author**: Kaluza-Klein Theorist'
[EDGE:authored_by] gates:23:session-23-tesla-take-kk-collab.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-kk-collab.md | match='**Author**: Kaluza-Klein Theorist'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-landau-collab.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] gates:23:session-23-tesla-take-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-landau-collab.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-neutrino-collab.md | match='**Author**: Neutrino Detection Specialist'
[EDGE:authored_by] gates:23:session-23-tesla-take-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-neutrino-collab.md | match='**Author**: Neutrino Detection Specialist'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-paasch-collab.md | match='**Author**: Paasch (Mass Quantization Analyst)'
[EDGE:authored_by] gates:23:session-23-tesla-take-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-paasch-collab.md | match='**Author**: Paasch (Mass Quantization Analyst)'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] gates:23:session-23-tesla-take-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-sagan-collab.md | match='**Author**: Sagan'
[EDGE:authored_by] gates:23:session-23-tesla-take-sagan-collab.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-sagan-collab.md | match='**Author**: Sagan'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-sp-collab.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] gates:23:session-23-tesla-take-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-sp-collab.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-tesla-collab.md | match='**Author**: Tesla (Resonance Theorist)'
[EDGE:authored_by] gates:23:session-23-tesla-take-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-tesla-collab.md | match='**Author**: Tesla (Resonance Theorist)'
[EDGE:authored_by] gates:23:session-23-tesla-take.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take.md | match='**Agent**: tesla-resonance'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-23/session-23a-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-23/session-23a-synthesis.md | match='coordinator (synthesis)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-23/session-23c-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-23/session-23c-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-23/session-23c-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-23/session-23c-synthesis.md | match='coord (coordinator)'
