## S90 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 18 (+ 11 in workshops/)
## Total edges (deduped): 77
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:90:session-90-connes-s2-pru-class-8-7-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-90/session-90-connes-s2-pru-class-8-7-synthesis.md | match='**Reviewer**: connes-ncg-theorist (Workhorse-NCG; independe
[EDGE:co_authored_by] gates:90:session-90-w6-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/session-90-w6-workingpaper.md | match='**Agent**: `gen-physicist` PRIMARY + `connes-ncg-theorist` CO-AUTHOR (plan-desig'
[EDGE:authored_by] gates:90:session-90-w6-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w6-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY + `connes-ncg-theorist` '
[EDGE:authored_by] gates:90:session-90-w6-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=sole_writer | conf=header-parsed | src=sessions/archive/session-90/session-90-w6-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY + `connes-ncg-theorist` '
[EDGE:authored_by] gates:90:session-90-w7-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY; `connes-ncg-theorist` C'
[EDGE:co_authored_by] gates:90:session-90-w7-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY; `connes-ncg-theorist` C'
[EDGE:authored_by] gates:90:session-90-w7-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=sole_writer | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY; `connes-ncg-theorist` C'
[EDGE:authored_by] gates:90:session-90-w7-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` sole-writer (registry-text landing); cross-refer'
[EDGE:co_authored_by] gates:90:session-90-w7-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Agent**: `connes-ncg-theorist` PRIMARY (APS-1975 vs Cheeger-Simons scheme eval'
[EDGE:co_authored_by] gates:90:session-90-w7-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=co_sign | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` sole-writer per `feedback_mack-bridge-role.md`; '
[EDGE:co_authored_by] gates:90:session-90-w7-workingpaper.md -> researchers:gen-physicist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` sole-writer per `feedback_mack-bridge-role.md`; '
[EDGE:reviewed_by] data_provenance:90:session-90-w7-workingpaper.md -> researchers:mack-cosmic-bridge  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Reviewer**: mack-cosmic-bridge (Axis-B, observational/bridge-map axis; OAA-
[EDGE:reviewed_by] data_provenance:90:session-90-w7-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-90/session-90-w7-workingpaper.md | match='**Reviewer**: lizzi-spectral-functional-theorist (Axis-A spectral-functional 
[EDGE:authored_by] gates:90:session-90-w8-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w8-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY + `volovik-superfluid-un'
[EDGE:authored_by] gates:90:session-90-w8-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w8-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY + `volovik-superfluid-un'
[EDGE:co_authored_by] gates:90:session-90-w8-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/session-90-w8-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY + `connes-ncg-theorist` '
[EDGE:reviewed_by] gates:90:session-90-w8-workingpaper.md -> researchers:gen-physicist  # G7 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-90/session-90-w8-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` PRIMARY (substrate-superflu
[EDGE:authored_by] gates:90:session-90-w8-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w8-workingpaper.md | match='**Agent**: `gen-physicist` PRIMARY + `connes-ncg-theorist` CO-AUTHOR (5-anatomy '
[EDGE:authored_by] gates:90:session-90-w8-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=sole_writer | conf=header-parsed | src=sessions/archive/session-90/session-90-w8-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` sole-writer + `connes-ncg-theorist` technical co'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w1-deferred-pending-intermediate-verdict-class.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w2-chi-prime-weight-canonicalization.md | match='## Round 2 — volovik'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w3-m3c-kernel-cross-morphism-convergence.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w4-a-bdg-definitional-tension.md | match='## Round 2 — volovik'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w5-cf61-bcs-phase-transition-reading.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md | match='## Round 2 — connes'
[EDGE:authored_by] gates:sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY (extended L_max scan 
[EDGE:co_authored_by] gates:sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/workshops/s90-w6-d4-envelope-identity.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY (extended L_max sca
