## S75 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 12 (+ 0 in workshops/)
## Total edges (deduped): 79
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-75/session-75-baptista-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-75/session-75-baptista-qa-workshop.md | match='Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W1-C -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-C: R-B-K-RUNNING-75 -- Dispersion-Induced Running of Bogoliubov Parameter'
[EDGE:authored_by] gates:W1-E -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-E: F-CONV-75 -- Conversion Factor from Spectral Triple First Principles ('
[EDGE:authored_by] gates:W1-F -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-F: MULTI-INSTANTON-LMAX10-75 -- Instanton Condensate at L_max >= 10 (conn'
[EDGE:authored_by] gates:W1-G -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-G: CROSS-SPECTRAL-MOMENT-MODULI-75 -- Joint a_2 + a_4 Moduli Potential (s'
[EDGE:authored_by] gates:W1-H -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-H: FOLD-STIFFNESS-RENORMALIZATION-75 -- ATDHFB Collective Mass Under GGE '
[EDGE:authored_by] gates:W1-K -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-K: CC-VARIANCE-75 -- Spectral Variance as Independent Second Moment (volo'
[EDGE:authored_by] gates:W1-L -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-L: SOFT-HAIR-LEGGETT-FILTER-75 -- CPT-Parity Filter on R-G Sectors for DM'
[EDGE:authored_by] gates:W1-M -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-M: GGE-TRANSFER-75 -- Transfer from GGE Relic to CMB C_l (quantum-acousti'
[EDGE:authored_by] gates:W1-N -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-N: PARKER-HAWKING-RECONCILIATION-75 -- Canonical Formulation for A_s (tra'
[EDGE:authored_by] gates:W1-O -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-O: ANOMALY-DERIVED-F-STAR-75 -- Spectral Functional from Anomaly Constrai'
[EDGE:authored_by] gates:W1-P -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-P: FOUNDATIONAL-AUDIT-75 -- 22 Theorems x 7 Axes Robustness Scan (van-den'
[EDGE:authored_by] gates:W2-A -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-A: LAYER-1-LAYER-2-DIFF-75 -- BCS Sound Speed at Two Layers for Red Tilt '
[EDGE:authored_by] gates:W2-C -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-C: LIZZI-OBSERVABLE-EMPIRICAL-75 -- Empirical Observable Ratio Test (lizz'
[EDGE:authored_by] gates:W2-D -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-D: SIN2-LR-NORMALIZATION-75 -- Baptista Eq. 3.41 L/R Asymmetry (baptista-'
[EDGE:authored_by] gates:W2-E -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-E: SPECTRAL-DECOUPLING-CERT-75 -- Register Spectral-Moment Decoupling The'
[EDGE:authored_by] gates:W2-F -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-F: N25-CROSS-CORRELATION-CHECK-75 -- Full-Spectrum Phase-Diffusion with a'
[EDGE:authored_by] gates:W2-G -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-G: E-C-OBSERVABLE-MAPPING-75 -- A_s as Function of E_C Method A (landau-c'
[EDGE:authored_by] gates:W2-H -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-H: MORSE-BOTT-MULTI-LMAX-75 -- 36D Hessian at L_max {3,5,7} (nazarewicz-n'
[EDGE:authored_by] gates:W2-I -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-I: N22-N25-COUPLING-CHECK-75 -- Effective Mass from Multi-Instanton Conde'
[EDGE:authored_by] gates:W2-J -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-J: PHASES-BD-75 -- Squeezing Phases phi_k for All 8 Branches (transit-dyn'
[EDGE:authored_by] gates:W2-K -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-K: JACOBSON-LAMBDA-CONSTRAINT-75 -- Multi-T GGE Thermodynamic Identity fo'
[EDGE:authored_by] gates:W2-L -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-L: SWAMPLAND-SUBSTRATE-75 -- de Sitter Swampland Test (einstein-theorist)'
[EDGE:authored_by] gates:W2-M -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-M: I4-MACH-SHARPNESS-SCALING-75 -- kappa_H/T_eff Scaling with Mach Number'
[EDGE:authored_by] gates:W2-N -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W2-N: DIMER-Z2-PAIR-PRODUCTION-75 -- Parker Pair Production in Z_2-Odd Secto'
[EDGE:authored_by] gates:W3-A -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-A: L-MAX-BIDIRECTIONAL-75 -- Explicit L=5/7 Reverify of DNP, Pomeranchuk,'
[EDGE:authored_by] gates:W3-B -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-B: BDI-CLASS-ALL-TAU-VERIFICATION-75 -- Pfaffian Z_2 at All tau (baptista'
[EDGE:authored_by] gates:W3-C -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-C: LEFSCHETZ-PERMANENT-75 -- n*=60 Independence Under L_max=7 Variation ('
[EDGE:authored_by] gates:W3-D -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-D: BDSPT-TAU-SCAN-75 -- Non-Perturbative J-Invariance at Multiple tau (ba'
[EDGE:authored_by] gates:W3-E -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-E: ZETA-IS-NOT-PHYSICAL-75 -- Formal Permanent Theorem (lizzi-spectral-fu'
[EDGE:authored_by] gates:W3-F -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-F: CC-M2-SPECTRAL-75 -- Exp-Component Moment M_exp for CC (volovik-superf'
[EDGE:authored_by] gates:W3-G -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-G: NONLOCAL-SA-CC-75 -- Leading Nonlocal Spectral Action Correction to CC'
[EDGE:authored_by] gates:W3-H -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-H: EFFACEMENT-CHANNEL-REBUILD-75 -- 3-Channel DE Partition Reassignment ('
[EDGE:authored_by] gates:W3-I -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-I: BMA-EC-CHOICE-75 -- Bayesian Model Averaging for E_C Three-Method Spli'
[EDGE:authored_by] gates:W3-J -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-J: PCK-LARGE-N-PAIR-75 -- Richardson-Gaudin Integrability at Multiple Fil'
[EDGE:authored_by] gates:W3-K -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-K: MULTI-CHANNEL-DM-CDM-COMPAT-75 -- Z_2 DM vs CDM Observables (mack-cosm'
[EDGE:authored_by] gates:W3-L -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-L: EMERGENT-LORENTZ-FROM-A2-75 -- c_light from a_2 Structure (einstein-th'
[EDGE:authored_by] gates:W3-M -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-M: N-EFF-POST-THERMALIZATION-75 -- Parker Weighting + Decoupling Trace (t'
[EDGE:authored_by] gates:W3-N -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W3-N: DC-PERMANENCE-75 -- 20% DC Component on 8-Cell, 12-Cell (quantum-acous'
[EDGE:authored_by] gates:W4-A -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-A: STRUCTURAL-REGISTRY-ENTRY-48 (gen-physicist)'
[EDGE:authored_by] gates:W4-B -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-B: R-PROTECTED-DEFINITIONS-75 (gen-physicist)'
[EDGE:authored_by] gates:W4-C -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-C: D5-CC-SCHEME-REPORT-75 (gen-physicist)'
[EDGE:authored_by] gates:W4-D -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-D: SOFT-HAIR-DE-VERIFICATION-75 -- Soft-Hair as DE via a_2 Vacuum Energy '
[EDGE:authored_by] gates:W4-E -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-E: M1-L11-CONVERGENCE-75 -- sqrt-Moment Extension to L_max=11 (connes-ncg'
[EDGE:authored_by] gates:W4-F -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-F: CC-DOUBLE-INDEX-75 (gen-physicist)'
[EDGE:authored_by] gates:W4-G -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-G: KAPPA-DEFINITION-75 (gen-physicist)'
[EDGE:authored_by] gates:W4-H -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-H: P5-MACK-BOGOLIUBOV-BOUNDARY-75 -- a_0 to a_2 Mediation at Boundaries ('
[EDGE:authored_by] gates:W4-I -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-I: KOSMANN-KERNEL-TAU-SCAN-75 (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W4-J -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-J: CG24-COSMO-TILING-RULE-75 (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:W4-K -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-K: POMERAN-N-SCAN-75 (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:W4-L -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-L: TWO-MANIFOLD-NEMB-75 (einstein-theorist)'
[EDGE:authored_by] gates:W4-M -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W4-M: ATLAS-RECLASSIFY-75 (gen-physicist)'
[EDGE:authored_by] gates:75:session-75-results-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='**Agent**: gen-physicist'
[EDGE:authored_by] data_provenance:75:session-75-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-75/session-75-sp-synthesis.md | match='session-75-sp-synthesis.md'
[EDGE:authored_by] gates:75:session-75-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-sp-synthesis.md | match='**Agent**: Schwarzschild-Penrose-Geometer'
[EDGE:authored_by] data_provenance:75:session-75-tesla-synthesis.md -> researchers:tesla-resonance  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-75/session-75-tesla-synthesis.md | match='session-75-tesla-synthesis.md'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:data_provenance:sessions/archive/session-75/session-75-transit-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-75/session-75-transit-landau-workshop.md | match='Transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-75/session-75-transit-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-75/session-75-transit-landau-workshop.md | match='Landau (landau-condensed-matter-theorist)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-75/session-75-transit-landau-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-75/session-75-transit-landau-workshop.md | match='## Round 1 — Landau'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-75/session-75-transit-landau-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-75/session-75-transit-landau-workshop.md | match='## Round 2 — Landau'
[EDGE:authored_by] data_provenance:75:session-75-transit-synthesis.md -> researchers:transit-dynamics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-transit-synthesis.md | match='**Author**: Transit Dynamics Theorist'
[EDGE:authored_by] gates:75:session-75-transit-synthesis.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-transit-synthesis.md | match='**Author**: Transit Dynamics Theorist'
