## S58 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 12 (+ 0 in workshops/)
## Total edges (deduped): 51
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:58:session-58-addendum-substrate-measurement.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-addendum-substrate-measurement.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:authored_by] gates:W3-9 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-9: Domain Walls from Off-Jensen Cell Differentiation (schwarzschild-penro'
[EDGE:authored_by] gates:W3-10 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-10: Paper 16 eq 7.1 Mass Variation Integral (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W3-11 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-11: Multi-Mode Squeezing Covariance Matrix (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W3-12 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-12: BCS Spectrum at sigma != 0 (nazarewicz-nuclear-structure-theorist)'
[EDGE:authored_by] gates:W3-13 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-13: Two-Speed Hierarchy Epsilon Cross-Check (tesla-resonance)'
[EDGE:authored_by] gates:W3-15 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-15: Free-Streaming Bound from Paper 16 [Mack] (baptista-spacetime-analyst'
[EDGE:authored_by] gates:W3-16 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-16: Friedmann Equation from Spectral Action [Mack] (quantum-acoustics-the'
[EDGE:authored_by] data_provenance:58:session-58-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-synthesis.md | match='**Author**: Mack Cosmic Bridge (solo synthesis)'
[EDGE:authored_by] gates:58:session-58-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-synthesis.md | match='**Author**: Mack Cosmic Bridge (solo synthesis)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-58/session-58-volovik-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-58/session-58-volovik-baptista-workshop.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-58/session-58-volovik-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-58/session-58-volovik-baptista-workshop.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:58:session-58-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-volovik-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] gates:58:session-58-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-volovik-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] gates:58:session-58-wayforward.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-wayforward.md | match='**Agent**: volovik-superfluid-universe-theorist (kinetic theory) + mack-cosmic-b'
[EDGE:authored_by] gates:58:session-58-wayforward.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-wayforward.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:58:session-58-wayforward.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-wayforward.md | match='**Agent**: baptista-spacetime-analyst (KK geometry) OR spectral-geometer (Seeley'
[EDGE:authored_by] gates:58:session-58-wayforward.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-wayforward.md | match='**Agent**: quantum-acoustics-theorist'
[EDGE:authored_by] gates:58:session-58-wayforward.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-wayforward.md | match='**Agent**: spectral-geometer (eigenvalues) + landau-condensed-matter-theorist (B'
[EDGE:authored_by] gates:58:session-58-wayforward.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-wayforward.md | match='**Agent**: hawking-theorist'
[EDGE:authored_by] gates:58:session-58-wayforward.md -> researchers:kitaev-quantum-chaos-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-wayforward.md | match='**Agent**: kitaev-quantum-chaos-theorist'
[EDGE:authored_by] gates:58:session-58-wayforward.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-wayforward.md | match='**Agent**: mack-cosmic-bridge'
