## S20 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 19 (+ 0 in workshops/)
## Total edges (deduped): 33
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-20/session-20a-decision-gate.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-20/session-20a-decision-gate.md | match='connes (SD-1)'
[EDGE:authored_by] gates:20:session-20b-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-hawking-collab.md | match='**Author**: Hawking (Black Holes / Information / Semiclassical Gravity / Thermod'
[EDGE:authored_by] data_provenance:20:session-20b-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-kk-collab.md | match='**Author**: Kaluza-Klein Theorist (Extra Dimensions / Compactification / Gauge-G'
[EDGE:authored_by] gates:20:session-20b-kk-collab.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-kk-collab.md | match='**Author**: Kaluza-Klein Theorist (Extra Dimensions / Compactification / Gauge-G'
[EDGE:authored_by] data_provenance:20:session-20b-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-landau-collab.md | match='**Author**: Landau (Phase Transitions / Order Parameters / Condensed Matter / Su'
[EDGE:authored_by] gates:20:session-20b-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-landau-collab.md | match='**Author**: Landau (Phase Transitions / Order Parameters / Condensed Matter / Su'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-20/session-20b-lichnerowicz.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-20/session-20b-lichnerowicz.md | match='coordinator (synthesis)'
[EDGE:authored_by] data_provenance:20:session-20b-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-neutrino-collab.md | match='**Author**: Neutrino Detection Specialist (Oscillation Phenomenology / Mass Hier'
[EDGE:authored_by] gates:20:session-20b-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-neutrino-collab.md | match='**Author**: Neutrino Detection Specialist (Oscillation Phenomenology / Mass Hier'
[EDGE:authored_by] data_provenance:20:session-20b-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-paasch-collab.md | match='**Author**: Paasch (Mass Quantization / Logarithmic Potentials / Golden Ratio / '
[EDGE:authored_by] gates:20:session-20b-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-paasch-collab.md | match='**Author**: Paasch (Mass Quantization / Logarithmic Potentials / Golden Ratio / '
[EDGE:authored_by] data_provenance:20:session-20b-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics Theorist (Phonon QM / Acoustic Field Theory / Su
[EDGE:authored_by] gates:20:session-20b-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics Theorist (Phonon QM / Acoustic Field Theory / Su
[EDGE:authored_by] data_provenance:20:session-20b-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-sagan-collab.md | match='**Author**: Sagan (Empiricism / Observational Evidence / Statistical Rigor / Fal'
[EDGE:authored_by] gates:20:session-20b-sagan-collab.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-sagan-collab.md | match='**Author**: Sagan (Empiricism / Observational Evidence / Statistical Rigor / Fal'
[EDGE:authored_by] data_provenance:20:session-20b-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Exact Solutions / Causal Structure / Singular'
[EDGE:authored_by] gates:20:session-20b-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Exact Solutions / Causal Structure / Singular'
[EDGE:authored_by] data_provenance:20:session-20b-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-tesla-collab.md | match='**Author**: Tesla Resonance (Cross-Domain Resonance / Phonon-Acoustic Mathematic'
[EDGE:authored_by] gates:20:session-20b-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-tesla-collab.md | match='**Author**: Tesla Resonance (Cross-Domain Resonance / Phonon-Acoustic Mathematic'
