## S45 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 12 (+ 0 in workshops/)
## Total edges (deduped): 29
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:45:s45_cc_balance_sheet.md -> researchers:gen-physicist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_cc_balance_sheet.md | match='**Author**: Gen-Physicist'
[EDGE:authored_by] gates:45:session-45-quicklook-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-quicklook-connes-collab.md | match='**Agent**: Connes-NCG-Theorist'
[EDGE:authored_by] gates:45:session-45-quicklook-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-quicklook-hawking-collab.md | match='**Agent**: hawking-theorist (Opus 4.6 1M)'
[EDGE:reviewed_by] data_provenance:45:session-45-quicklook-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-45/session-45-quicklook-nazarewicz-collab.md | match='**Reviewer**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:45:session-45-quicklook-spectral-collab.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-quicklook-spectral-collab.md | match='**Agent**: spectral-geometer'
[EDGE:reviewed_by] data_provenance:45:session-45-quicklook-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-45/session-45-quicklook-tesla-collab.md | match='**Reviewer**: Tesla-Resonance (cross-domain resonance specialist)'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: volovik-superfluid-universe-theorist (primary), einstein-theorist (cr'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: einstein-theorist (cross-check)'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: connes-ncg-theorist'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: spectral-geometer'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: baptista-spacetime-analyst'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: quantum-acoustics-theorist'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: gen-physicist'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: nazarewicz-nuclear-structure-theorist'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: tesla-resonance'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: schwarzschild-penrose-theorist (primary), connes-ncg-theorist (cross-'
[EDGE:authored_by] gates:45:session-45-results-workingpaper.md -> researchers:quantum-foam-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/session-45-results-workingpaper.md | match='**Agent**: quantum-foam-theorist'
