## S69 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 13 (+ 0 in workshops/)
## Total edges (deduped): 53
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:69:s69-bucher-singularity-review.md -> researchers:landau-condensed-matter-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-69/s69-bucher-singularity-review.md | match='**Reviewer**: Landau Condensed-Matter Theorist'
[EDGE:authored_by] gates:W5-B -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-B: BAW-SQUEEZE-ANALOG-69 -- Phonon Squeeze Measurement Design (quantum-ac'
[EDGE:authored_by] gates:W5-C -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-C: Z2-BAW-ANALOG-69 -- Breathing-Mode Selection Rule Test (quantum-acoust'
[EDGE:authored_by] gates:W5-D -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-D: FOUR-SPEED-3HE-69 -- Velocity Hierarchy vs 3He-B (quantum-acoustics-th'
[EDGE:authored_by] gates:W5-E -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-E: BELL-GGE-69 -- Quantum Entanglement of GGE Relic (einstein-theorist)'
[EDGE:authored_by] gates:W5-F -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-F: TRANSIT-GW-SPECTRUM-69 -- Gravitational Waves from Transit (einstein-t'
[EDGE:authored_by] gates:W5-G -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-G: OFF-JENSEN-GRADIENT-69 -- Jensen Line Trajectory Check (baptista-space'
[EDGE:authored_by] gates:W5-H -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-H: KZ-PHASE-FNL-69 -- KZ Phase Winding in Bispectrum (phonon-first-cosmol'
[EDGE:authored_by] gates:W5-I -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-I: PETROV-TYPE-BCS-69 -- CMPP Classification with BCS (schwarzschild-penr'
[EDGE:authored_by] gates:W5-J -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-J: BCS-SURFACE-GRAVITY-69 -- Spectral Gap Thermodynamics (schwarzschild-p'
[EDGE:authored_by] gates:W5-K -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-K: EUCLID-GALAXY-FOLDED-69 -- Bispectrum Folded Shape Forecast (mack-cosm'
[EDGE:authored_by] gates:W5-L -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-L: PVD-06-GALAXY-CL-69 -- Galaxy Angular Power Spectrum (mack-cosmic-brid'
[EDGE:authored_by] gates:W5-M -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-M: PVD-08-CLUSTER-MF-69 -- Cluster Mass Function (gen-physicist)'
[EDGE:authored_by] gates:W5-O -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-O: PVD-10-ISW-SDSS-69 -- ISW-Galaxy Cross-Correlation from Data (mack-cos'
[EDGE:authored_by] gates:W5-P -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W5-P: PVD-11-KAPPA-LENSING-69 -- Gravitational Lensing Convergence (gen-phys'
[EDGE:authored_by] gates:W6-A -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W6-A: SESSION-69-ASSESSMENT (mack-cosmic-bridge)'
[EDGE:authored_by] data_provenance:69:session-69-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-sp-collab.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] gates:69:session-69-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-sp-collab.md | match='**Author**: Schwarzschild-Penrose Geometer'
[EDGE:authored_by] data_provenance:69:session-69-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-tesla-collab.md | match='**Author**: Tesla Resonance (Workhorse-Resonance)'
[EDGE:authored_by] gates:69:session-69-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-tesla-collab.md | match='**Author**: Tesla Resonance (Workhorse-Resonance)'
[EDGE:authored_by] data_provenance:69:session-69-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-volovik-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] gates:69:session-69-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-volovik-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
