## S88 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 24
## Verdict files scanned: 2
## Plan files scanned: 26
## Session .md files scanned (cited_in scope): 99
## Total edges (deduped): 280
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S88-CF-CURV-5-CASCADE-SCALING-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-5-CASCADE-SCALING-DERIVATION: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-15-CARDOSO-PANI-ECHO-LISA-RINGDOWN -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-15-CARDOSO-PANI-ECHO-LISA-RINGDOWN: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-16-U1-BBN-CHUNKY-HAWKING-METALLICITY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-16-U1-BBN-CHUNKY-HAWKING-METALLICITY: PASS'
[EDGE:anchored_in] gates:S88-MONODROMY-DEPTH-EXTENSION-SURVIVING-V4-ENUMERATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-MONODROMY-DEPTH-EXTENSION-SURVIVING-V4-ENUMERATION: PASS'
[EDGE:anchored_in] gates:S88-V4-CANDIDATE-III-TRIALITY-MOD-2 -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-V4-CANDIDATE-III-TRIALITY-MOD-2: FAIL'
[EDGE:anchored_in] gates:S88-V4-ON-STRATA-SUBSTRATE-CHARACTER-CONSTRUCTION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-V4-ON-STRATA-SUBSTRATE-CHARACTER-CONSTRUCTION: FAIL'
[EDGE:anchored_in] gates:S88-CF-W11-2-NEG-SHELL -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W11-2-NEG-SHELL: PASS'
[EDGE:anchored_in] gates:S88-CF-W11-2-POS-SHELL -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W11-2-POS-SHELL: PASS'
[EDGE:anchored_in] gates:S88-CF-W11-2-VII-AJ-PARTITION-STABILITY-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W11-2-VII-AJ-PARTITION-STABILITY-LANDING: PASS'
[EDGE:anchored_in] gates:S88-DELTA-0-LOCALIZATION-FORMULA-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-DELTA-0-LOCALIZATION-FORMULA-LANDING: PASS'
[EDGE:anchored_in] gates:S88-CF-W11-C-PRE-CLOSURE-MECHANICAL -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W11-C-PRE-CLOSURE-MECHANICAL: FAIL'
[EDGE:anchored_in] gates:S88-MODULI-SPACE-TAU-ASYMMETRY-REGISTRY-ENTRY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-MODULI-SPACE-TAU-ASYMMETRY-REGISTRY-ENTRY: PASS'
[EDGE:anchored_in] gates:S88-PHONONIC-FRAMING-MODULI-DEFORMATION-EXTENSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-PHONONIC-FRAMING-MODULI-DEFORMATION-EXTENSION: PASS'
[EDGE:anchored_in] gates:S88-METH-CROSS-PILLAR-BRIDGE-ANATOMY-K-COUNTER-MONITOR -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-METH-CROSS-PILLAR-BRIDGE-ANATOMY-K-COUNTER-MONITOR: INFO'
[EDGE:anchored_in] gates:S88-CF-W11-D-SIG5-DUPLICATE-AUDIT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W11-D-SIG5-DUPLICATE-AUDIT: PASS'
[EDGE:anchored_in] gates:S88-3HEB-EXCESS-INHERITANCE-M3C-PROJECTED-RETRY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-3HEB-EXCESS-INHERITANCE-M3C-PROJECTED-RETRY: FAIL'
[EDGE:anchored_in] gates:S88-3HEB-EXCESS-INHERITANCE-OBSERVABLE-REDEFINITION-AND-IOTA-STAR-COMPOSABLE-RETRY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-3HEB-EXCESS-INHERITANCE-OBSERVABLE-REDEFINITION-AND-IOTA-STAR-COMPOSABLE-RETRY: FAIL'
[EDGE:anchored_in] gates:S88-W11-5-LMAX-SCAN-STRUCTURAL-ROBUSTNESS-EXTENSION-WITH-CONVENTION-PIN -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W11-5-LMAX-SCAN-STRUCTURAL-ROBUSTNESS-EXTENSION-WITH-CONVENTION-PIN: INFO'
[EDGE:anchored_in] gates:S88-CHI-A-CHIRAL-CORRECTION-VERIFICATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CHI-A-CHIRAL-CORRECTION-VERIFICATION: PASS'
[EDGE:anchored_in] gates:S88-CHI-INHERITANCE-OF-KERNEL-DEGENERATE-ESCAPE-COMPLETE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CHI-INHERITANCE-OF-KERNEL-DEGENERATE-ESCAPE-COMPLETE: PASS'
[EDGE:anchored_in] gates:S88-CHIRAL-PAIR-MULTIPLICITY-SYMMETRY-VERIFICATION-PLUS-LAB-CONVERSION-FACTOR-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CHIRAL-PAIR-MULTIPLICITY-SYMMETRY-VERIFICATION-PLUS-LAB-CONVERSION-FACTOR-DERIVATION: '
[EDGE:anchored_in] gates:S88-LANCASTER-MCT3-VORTEX-CORE-EVALUATE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-LANCASTER-MCT3-VORTEX-CORE-EVALUATE: INFO'
[EDGE:anchored_in] gates:S88-MUSR-VORTEX-CROSS-PLATFORM-RATIO-EVALUATE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-MUSR-VORTEX-CROSS-PLATFORM-RATIO-EVALUATE: INFO'
[EDGE:anchored_in] gates:S88-3HE-B-AALTO-LTL-CAMPAIGN-COORDINATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-3HE-B-AALTO-LTL-CAMPAIGN-COORDINATION: INFO'
[EDGE:anchored_in] gates:S88-3HE-B-CLASS-A-LAB-DISPATCH -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-3HE-B-CLASS-A-LAB-DISPATCH: INFO'
[EDGE:anchored_in] gates:S88-3HE-B-CLASS-B-RATIO-PRECISION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-3HE-B-CLASS-B-RATIO-PRECISION: INFO'
[EDGE:anchored_in] gates:S88-CLASS-B-DELTA-RATIO-CALIBRATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CLASS-B-DELTA-RATIO-CALIBRATION: PASS'
[EDGE:anchored_in] gates:S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM: FAIL'
[EDGE:anchored_in] gates:S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM-V2 -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM-V2: PASS'
[EDGE:anchored_in] gates:S88-3HE-B-ALPHA-S-EXTRACTION-PROTOCOL -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-3HE-B-ALPHA-S-EXTRACTION-PROTOCOL: INFO'
[EDGE:anchored_in] gates:S88-CF-20-SOURCE-DOUBLE-CITE-CO-PRIMARY-LANDING-FOR-ALPHA-S -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-20-SOURCE-DOUBLE-CITE-CO-PRIMARY-LANDING-FOR-ALPHA-S: PASS'
[EDGE:anchored_in] gates:S88-S62-FILENAME-CANONICAL-PIN-FIX -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-S62-FILENAME-CANONICAL-PIN-FIX: INFO'
[EDGE:anchored_in] gates:S88-TAU-PIVOT-CANONICAL-CONSTANT-PROMOTION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-TAU-PIVOT-CANONICAL-CONSTANT-PROMOTION: PASS'
[EDGE:anchored_in] gates:S88-Q3-2026-QUARTERLY-POLL-CMB-S4 -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-Q3-2026-QUARTERLY-POLL-CMB-S4: FAIL'
[EDGE:anchored_in] gates:S88-MULTI-VALUED-ALPHA-S-LANDSCAPE-MAPPING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-MULTI-VALUED-ALPHA-S-LANDSCAPE-MAPPING: PASS'
[EDGE:anchored_in] gates:S88-ALPHA-S-CORNER-I-WITHIN-POLE-CO-PRIMARY-REGISTRY-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-ALPHA-S-CORNER-I-WITHIN-POLE-CO-PRIMARY-REGISTRY-LANDING: PASS'
[EDGE:anchored_in] gates:S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING: FAIL'
[EDGE:anchored_in] gates:S88-A_2-MELLIN-SPECTRUM-CACHE-DISCRIMINATOR -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-A_2-MELLIN-SPECTRUM-CACHE-DISCRIMINATOR: FAIL'
[EDGE:anchored_in] gates:S88-FOUR-CORNER-CLASSIFICATION-NCG-AXIOMATIC-STRUCTURAL-THEOREM-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-FOUR-CORNER-CLASSIFICATION-NCG-AXIOMATIC-STRUCTURAL-THEOREM-LANDING: PASS'
[EDGE:anchored_in] gates:S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT: FAIL'
[EDGE:anchored_in] gates:S88-CONNES-DISTANCE-A_F-FULL-COMPLEX-HERMITIAN -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CONNES-DISTANCE-A_F-FULL-COMPLEX-HERMITIAN: PASS'
[EDGE:anchored_in] gates:S88-CORNER-IV-SCHEMATIC-ENVELOPE-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CORNER-IV-SCHEMATIC-ENVELOPE-DERIVATION: FAIL'
[EDGE:anchored_in] gates:S88-FUNCTIONAL-FAMILY-ORTHOGONALITY-NCG-AXIOM-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-FUNCTIONAL-FAMILY-ORTHOGONALITY-NCG-AXIOM-DERIVATION: PASS'
[EDGE:anchored_in] gates:S88-A_F-CONNES-DISTANCE-CHARACTERIZATION-SCAN -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-A_F-CONNES-DISTANCE-CHARACTERIZATION-SCAN: FAIL'
[EDGE:anchored_in] gates:S88-VII-U-2-REGISTRY-WRITE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-VII-U-2-REGISTRY-WRITE: FAIL'
[EDGE:anchored_in] gates:S88-WAVE-B-CORNER-CELL-ANNOTATION-PASS -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-WAVE-B-CORNER-CELL-ANNOTATION-PASS: PASS'
[EDGE:anchored_in] gates:S88-JENSEN-DIM-SPECTRUM-FIRST-PRINCIPLES-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-JENSEN-DIM-SPECTRUM-FIRST-PRINCIPLES-DERIVATION: INFO'
[EDGE:anchored_in] gates:S88-DIM-PLUS-RANK-OVER-2-PREFACTOR-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-DIM-PLUS-RANK-OVER-2-PREFACTOR-DERIVATION: PASS'
[EDGE:anchored_in] gates:S88-CONV-B-RE-PIN-OF-VII-U-VII-W -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CONV-B-RE-PIN-OF-VII-U-VII-W: PASS'
[EDGE:anchored_in] gates:S88-VII-U-VII-W-SCHEMATIC-NUMERICAL-ENVELOPE-AUDIT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-VII-U-VII-W-SCHEMATIC-NUMERICAL-ENVELOPE-AUDIT: PASS'
[EDGE:anchored_in] gates:S88-VII-U-6-SUBSTRATE-FRAMING-EDIT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-VII-U-6-SUBSTRATE-FRAMING-EDIT: PASS'
[EDGE:anchored_in] gates:S88-K1-VS-K2-COUNTING-DISTINCTION-REGISTRY-NOTE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-K1-VS-K2-COUNTING-DISTINCTION-REGISTRY-NOTE: PASS'
[EDGE:anchored_in] gates:S88-CROSS-AXIS-STAGE-2-VERIFY-CORNER-PINNED -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-AXIS-STAGE-2-VERIFY-CORNER-PINNED: INFO'
[EDGE:anchored_in] gates:S88-W-9-RULE-3-CALIBRATION-CORPUS-EXTEND -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W-9-RULE-3-CALIBRATION-CORPUS-EXTEND: PASS'
[EDGE:anchored_in] gates:S88-CROSS-PILLAR-BRIDGE-ANATOMY-ELEMENT-2-OE-FORM-DISCIPLINE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-PILLAR-BRIDGE-ANATOMY-ELEMENT-2-OE-FORM-DISCIPLINE: PASS'
[EDGE:anchored_in] gates:S88-W9B-2-RANK-VS-MAGNITUDE-LAYER-DISCRIMINATOR -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W9B-2-RANK-VS-MAGNITUDE-LAYER-DISCRIMINATOR: FAIL'
[EDGE:anchored_in] gates:S88-W5-2-W5-3-PROJECTOR-AT-ELEMENT-2-LAYER -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W5-2-W5-3-PROJECTOR-AT-ELEMENT-2-LAYER: INFO'
[EDGE:anchored_in] gates:S88-VII-AJ-TWO-ROW-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-VII-AJ-TWO-ROW-LANDING: FAIL'
[EDGE:anchored_in] gates:S88-OR-LATER-VII-AJ-INDEPENDENT-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OR-LATER-VII-AJ-INDEPENDENT-VERIFY: FAIL'
[EDGE:anchored_in] gates:S88-OR-LATER-CROSS-PILLAR-BRIDGE-ANATOMY-PARTNER-PILLAR-AXIS-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OR-LATER-CROSS-PILLAR-BRIDGE-ANATOMY-PARTNER-PILLAR-AXIS-DERIVATION: FAIL'
[EDGE:anchored_in] gates:S88-W7-LF-D-CHEEGER-SIMONS-ODD-GRADING-PROXY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-LF-D-CHEEGER-SIMONS-ODD-GRADING-PROXY: PASS'
[EDGE:anchored_in] gates:S88-W7-LF-C-PRIMARY-B-SELF-CONSISTENT-PV-LIFT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-LF-C-PRIMARY-B-SELF-CONSISTENT-PV-LIFT: PASS'
[EDGE:anchored_in] gates:S88-W7-LF-B-SAGE-SYMBOLIC-POSITIVITY-ROBUSTNESS -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-LF-B-SAGE-SYMBOLIC-POSITIVITY-ROBUSTNESS: FAIL'
[EDGE:anchored_in] gates:S88-W7-LF-E-SCHEMATIC-MODULE-AUDIT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-LF-E-SCHEMATIC-MODULE-AUDIT: PASS'
[EDGE:anchored_in] gates:S88-VII-AK-STRUCTURAL-EVEN-GRADING-BLINDNESS-AT-CORNER-I-SCOPE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-VII-AK-STRUCTURAL-EVEN-GRADING-BLINDNESS-AT-CORNER-I-SCOPE: FAIL'
[EDGE:anchored_in] gates:S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-1-AXIS-ORTHOGONALITY-SIDE-CONNES -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-1-AXIS-ORTHOGONALITY-SIDE-CONNES'
[EDGE:anchored_in] gates:S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-2-AXIS-ORTHOGONALITY-SIDE-CONNES -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-2-AXIS-ORTHOGONALITY-SIDE-CONNES'
[EDGE:anchored_in] gates:S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-3-AXIS-ORTHOGONALITY-SIDE-CONNES -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-3-AXIS-ORTHOGONALITY-SIDE-CONNES'
[EDGE:anchored_in] gates:S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-1-SPECTRAL-SIDE-MACK -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-1-SPECTRAL-SIDE-MACK: PASS'
