## S89 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 15 (+ 9 in workshops/)
## Total edges (deduped): 62
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:89:session-89-connes-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-connes-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:89:session-89-w7-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w7-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (CO-AUTHOR: `connes-ncg-theorist'
[EDGE:excluded_from] gates:89:session-89-w7-workingpaper.md -> researchers:gen-physicist  # G7 | role=blacklisted | conf=header-parsed | src=sessions/archive/session-89/session-89-w7-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole writer for §VII.AU registry row per `feedb'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md | match='## Round 1 — phonon-first'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w1-alpha-m-corridor-selection.md | match='## Round 2 — phonon-first'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w2-r-canonical-observable-identity.md | match='## Round 2 — lizzi'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w3-vii-u-2-corner-classification.md | match='## Round 2 — lizzi'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w4-vii-aq-mellin-lmax-saturation.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w5-vii-aq-level3-binding.md | match='## Round 2 — volovik'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md | match='## Round 2 — connes'
[EDGE:cites_prior_session] gates:sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md -> sessions:89  # G7 | conf=provenance-block | src=sessions/archive/session-89/workshops/s89-w6-level2-binding-inheritance.md | match='> **Provenance**: S89 W6 workshop §"L4" (lizzi-spectral-functional-theorist; CO-'
