## S66 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 21 (+ 0 in workshops/)
## Total edges (deduped): 78
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:66:session-66-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-baptista-collab.md | match='**Author**: Baptista Spacetime-Analyst'
[EDGE:authored_by] gates:66:session-66-lizzi-collab.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-lizzi-collab.md | match='**Author**: Lizzi Spectral-Functional Theorist'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-lizzi-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-lizzi-landau-workshop.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-lizzi-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-lizzi-landau-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-lizzi-landau-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-lizzi-landau-workshop.md | match='## Round 1 — Lizzi'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-lizzi-landau-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-lizzi-landau-workshop.md | match='## Round 1 — Landau'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-lizzi-landau-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-lizzi-landau-workshop.md | match='## Round 2 — Lizzi'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-lizzi-landau-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-lizzi-landau-workshop.md | match='## Round 2 — Landau'
[EDGE:authored_by] data_provenance:66:session-66-mack-collab.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-collab.md | match='**Author**: Mack Cosmic-Bridge'
[EDGE:authored_by] gates:66:session-66-mack-collab.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-collab.md | match='**Author**: Mack Cosmic-Bridge'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-66/session-66-mack-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-qa-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-mack-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-qa-workshop.md | match='quantum-acoustics (quantum-acoustics-theorist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-66/session-66-mack-qa-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-qa-workshop.md | match='## Round 1 — Mack'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-mack-qa-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-qa-workshop.md | match='## Round 1 — QA'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-66/session-66-mack-qa-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-qa-workshop.md | match='## Round 2 — Mack'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-mack-qa-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-qa-workshop.md | match='## Round 2 — QA'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-66/session-66-mack-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-transit-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-mack-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-mack-transit-workshop.md | match='transit (transit-dynamics-theorist)'
[EDGE:authored_by] data_provenance:66:session-66-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-nazarewicz-collab.md | match='**Author**: Nazarewicz Nuclear-Structure Theorist'
[EDGE:authored_by] gates:66:session-66-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-nazarewicz-collab.md | match='**Author**: Nazarewicz Nuclear-Structure Theorist'
[EDGE:authored_by] data_provenance:66:session-66-phonon-first-collab.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-phonon-first-collab.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:66:session-66-phonon-first-collab.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-phonon-first-collab.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] data_provenance:66:session-66-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-quantum-acoustics-collab.md | match='**Author**: Quantum-Acoustics Theorist'
[EDGE:authored_by] gates:66:session-66-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-quantum-acoustics-collab.md | match='**Author**: Quantum-Acoustics Theorist'
[EDGE:authored_by] gates:W1-C -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W1-C: AMPLITUDE-NORM-66 -- Rigorous A_s from GGE Graph-Mode Occupation (gen-'
[EDGE:authored_by] gates:W1-D -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W1-D: QTHEORY-NPAIR-66 -- Q-Theory Self-Tuning at Integer N_pair (volovik-su'
[EDGE:authored_by] gates:W1-E -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W1-E: TWO-COMPONENT-66 -- Separate a_0-Constant from GGE-Dynamical in Friedm'
[EDGE:authored_by] gates:W2-A -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W2-A: CUTOFF-NS-66 -- n_s for Three Cutoff Functions (connes-ncg-theorist)'
[EDGE:authored_by] gates:W2-C -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W2-C: ANOMALY-CONSTRAINT-66 -- Does the Anomaly Derivation Constrain f_0/f_2'
[EDGE:authored_by] gates:W2-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W2-D: DILATON-POTENTIAL-66 -- Weyl Anomaly Dilaton Potential on D_K (gen-phy'
[EDGE:authored_by] gates:W2-E -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W2-E: GGE-VACUUM-ENERGY-66 -- Prethermal Vacuum Energy from Non-Equilibrium '
[EDGE:authored_by] gates:W3-A -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W3-A: RUNNING-NS-66 -- Spectral Running at L_max = 4 (gen-physicist)'
[EDGE:authored_by] gates:W3-B -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W3-B: GOLDSTONE-GAP-SCALING -- Thermodynamic Limit of BA Phonon Mass Gap (la'
[EDGE:authored_by] gates:W3-C -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W3-C: TENSOR-TRANSFER-66 -- Blue Tensor Tilt Transfer Function (mack-cosmic-'
[EDGE:authored_by] gates:W3-E -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W3-E: BCS-SAKHAROV-LOOP-66 -- Self-Consistent Delta-a_2-G_N Loop (volovik-su'
[EDGE:authored_by] gates:W4-A -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W4-A: MOTT-ACCESS-66 -- Can Any Spectral Functional Change Drive E_J/E_C tow'
[EDGE:authored_by] gates:W4-B -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W4-B: BF-SPLIT-FINITE-66 -- B/F Splitting in Finite Spectral Triple (connes-'
[EDGE:authored_by] gates:W4-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W4-D: BA-WEIGHT-REFINE-66 -- Collective Projection of BA Energy for Omega_DM'
[EDGE:authored_by] gates:W4-E -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W4-E: SPECTRAL-DIM-66 -- Spectral Dimension in Cutoff vs Zeta Schemes (lizzi'
[EDGE:authored_by] gates:W4-F -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W4-F: CASIMIR-SMOOTH-RUNNING-66 -- Alpha_s with Casimir-Averaged Smoothing ('
[EDGE:authored_by] gates:W5-A -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W5-A: 3-PARAM-YUKAWA-66 -- Yukawa Matrix on Baptista 3-Parameter Family (bap'
[EDGE:authored_by] gates:W5-B -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W5-B: BCS-CW-SELFCONSISTENT-66 -- Coleman-Weinberg on BCS-Dressed Tree (land'
[EDGE:authored_by] gates:W5-C -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W5-C: POMERAN-4CELL-66 -- Pomeranchuk Stability at 4-Cell Fabric (landau-con'
[EDGE:authored_by] gates:W6-A -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W6-A: OEE-NPAIR3-66 -- Operator Entanglement Entropy Growth (kitaev-quantum-'
[EDGE:authored_by] gates:W6-B -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W6-B: CLASSICAL-LYAPUNOV-36D -- Lyapunov Spectrum of SA Gradient Flow (kitae'
[EDGE:authored_by] gates:W6-C -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W6-C: SFF-NPAIR4-66 -- Spectral Form Factor at N_pair = 4 (kitaev-quantum-ch'
[EDGE:authored_by] gates:W6-D -> researchers:connes-ncg-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W6-D: FINITE-MU-SA-66 -- Spectral Action at Finite Chemical Potential (conne'
[EDGE:authored_by] gates:W7-A -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W7-A: KK-THRESHOLD-L5-66 -- Gaussian-Cutoff Threshold Sum at L = 5 (baptista'
[EDGE:authored_by] gates:W7-B -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W7-B: COLOR-SINGLET-CC-66 -- a_0/a_2 Restricted to Color-Singlet PW Sectors '
[EDGE:authored_by] gates:W7-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W7-D: IR-BF-SPLITTING-66 -- IR Boson/Fermion Spectral Splitting from BCS (ge'
[EDGE:authored_by] gates:W8-B -> researchers:kitaev-quantum-chaos-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W8-B: BERTINI-ESSLER-66 -- Entropy Rate Cross-Check vs ADH (kitaev-quantum-c'
[EDGE:authored_by] gates:W8-C -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W8-C: HESSIAN-CUTOFF-66 -- One-Loop Hessian at Finite Lambda (baptista-space'
[EDGE:authored_by] gates:W8-D -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='### W8-D: Z-EQ-CHECK-66 -- Matter-Radiation Equality from Framework Parameters ('
[EDGE:authored_by] gates:66:session-66-results-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-results-workingpaper.md | match='**Agent**: lizzi-spectral-functional-theorist (planner writes synthesis)'
[EDGE:authored_by] data_provenance:66:session-66-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-tesla-collab.md | match='**Author**: Tesla Resonance'
[EDGE:authored_by] gates:66:session-66-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-tesla-collab.md | match='**Author**: Tesla Resonance'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-66/session-66-tesla-naz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-tesla-naz-workshop.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-tesla-naz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-tesla-naz-workshop.md | match='naz (nazarewicz-nuclear-structure-theorist)'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-66/session-66-tesla-naz-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-tesla-naz-workshop.md | match='## Round 1 — Tesla'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-tesla-naz-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-tesla-naz-workshop.md | match='## Round 1 — Naz'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-66/session-66-tesla-naz-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-tesla-naz-workshop.md | match='## Round 2 — Tesla'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-tesla-naz-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-66/session-66-tesla-naz-workshop.md | match='## Round 2 — Naz'
[EDGE:authored_by] data_provenance:66:session-66-transit-collab.md -> researchers:transit-dynamics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-transit-collab.md | match='**Author**: Transit Dynamics Theorist'
[EDGE:authored_by] gates:66:session-66-transit-collab.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-transit-collab.md | match='**Author**: Transit Dynamics Theorist'
[EDGE:authored_by] data_provenance:66:session-66-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-volovik-collab.md | match='**Author**: Volovik Superfluid-Universe Theorist'
[EDGE:authored_by] gates:66:session-66-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-volovik-collab.md | match='**Author**: Volovik Superfluid-Universe Theorist'
[EDGE:authored_by] data_provenance:66:session-66-workshop-master-synthesis.md -> researchers:gen-physicist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-workshop-master-synthesis.md | match='**Author**: gen-physicist'
[EDGE:authored_by] gates:66:session-66-workshop-master-synthesis.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-workshop-master-synthesis.md | match='**Author**: gen-physicist'
