## S56 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 36 (+ 0 in workshops/)
## Total edges (deduped): 45
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:56:session-56-bap-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-bap-collab.md | match='**Reviewer**: baptista-spacetime-analyst (opus)'
[EDGE:authored_by] gates:56:session-56-final-synthesis.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-final-synthesis.md | match='**Author**: Hawking-Theorist'
[EDGE:reviewed_by] data_provenance:56:session-56-foam-collab.md -> researchers:quantum-foam-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-foam-collab.md | match='**Reviewer**: Quantum-Foam-Theorist (Wheeler-DeWitt, Planck-scale dynamics, Carl'
[EDGE:authored_by] data_provenance:56:session-56-gen-collab.md -> researchers:gen-physicist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-gen-collab.md | match='**Author**: Gen-Physicist'
[EDGE:authored_by] gates:56:session-56-gen-collab.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-gen-collab.md | match='**Author**: Gen-Physicist'
[EDGE:reviewed_by] data_provenance:56:session-56-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-hawking-collab.md | match='**Reviewer**: hawking-theorist (opus)'
[EDGE:authored_by] data_provenance:56:session-56-kaku-collab.md -> researchers:kaku-speculative-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-56/session-56-kaku-collab.md | match='session-56-kaku-collab.md'
[EDGE:authored_by] data_provenance:56:session-56-kitaev-collab.md -> researchers:kitaev-quantum-chaos-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-56/session-56-kitaev-collab.md | match='session-56-kitaev-collab.md'
[EDGE:reviewed_by] data_provenance:56:session-56-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-kk-collab.md | match='**Reviewer**: kaluza-klein-theorist'
[EDGE:reviewed_by] data_provenance:56:session-56-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-landau-collab.md | match='**Reviewer**: Landau Condensed-Matter Theorist (Opus 4.6)'
[EDGE:authored_by] data_provenance:56:session-56-lrd-collab.md -> researchers:little-red-dots-jwst-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-lrd-collab.md | match='**Author**: Little Red Dots JWST Analyst'
[EDGE:authored_by] gates:56:session-56-lrd-collab.md -> researchers:little-red-dots-jwst-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-lrd-collab.md | match='**Author**: Little Red Dots JWST Analyst'
[EDGE:authored_by] data_provenance:56:session-56-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:56:session-56-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:reviewed_by] data_provenance:56:session-56-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-neutrino-collab.md | match='**Reviewer**: Neutrino-Detection-Specialist (oscillation phenomenology, PMNS,
[EDGE:reviewed_by] data_provenance:56:session-56-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-paasch-collab.md | match='**Reviewer**: paasch-mass-quantization-analyst'
[EDGE:reviewed_by] data_provenance:56:session-56-phonon-collab.md -> researchers:phonon-first-cosmologist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-phonon-collab.md | match='**Reviewer**: Phonon-First Cosmologist (cross-domain pattern detector)'
[EDGE:reviewed_by] data_provenance:56:session-56-qa-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-qa-collab.md | match='**Reviewer**: quantum-acoustics-theorist (opus)'
[EDGE:reviewed_by] data_provenance:56:session-56-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-sagan-collab.md | match='**Reviewer**: sagan-empiricist (opus)'
[EDGE:reviewed_by] data_provenance:56:session-56-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-sp-collab.md | match='**Reviewer**: Schwarzschild-Penrose Geometer (exact solutions, global causal str'
[EDGE:reviewed_by] data_provenance:56:session-56-spectral-collab.md -> researchers:spectral-geometer  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-spectral-collab.md | match='**Reviewer**: spectral-geometer (opus)'
[EDGE:reviewed_by] data_provenance:56:session-56-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-tesla-collab.md | match='**Reviewer**: Tesla-Resonance (Electromagnetic Resonance / Phonon Mathematics / 
[EDGE:participates_in] researchers:schwarzschild-penrose-geometer -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-1-firewall.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-1-firewall.md | match='SP (schwarzschild-penrose-geometer)'
[EDGE:participates_in] researchers:kitaev-quantum-chaos-theorist -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-1-firewall.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-1-firewall.md | match='Kitaev (kitaev-quantum-chaos-theorist)'
[EDGE:authored_round] researchers:schwarzschild-penrose-geometer -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-1-firewall.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-1-firewall.md | match='## Round 1 — SP'
[EDGE:authored_round] researchers:kitaev-quantum-chaos-theorist -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-1-firewall.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-1-firewall.md | match='## Round 1 — Kitaev'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-2-cc-formula.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-2-cc-formula.md | match='Volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:gen-physicist -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-2-cc-formula.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-2-cc-formula.md | match='Gen (gen-physicist)'
[EDGE:participates_in] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-3-transit.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-3-transit.md | match='Naz (nazarewicz-nuclear-structure-theorist)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-3-transit.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-3-transit.md | match='QA (quantum-acoustics-theorist)'
[EDGE:participates_in] researchers:neutrino-detection-specialist -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-4-predictions.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-4-predictions.md | match='Neutrino (neutrino-detection-specialist)'
[EDGE:participates_in] researchers:kaku-speculative-theorist -> data_provenance:data_provenance:sessions/archive/session-56/session-56-workshop-4-predictions.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-56/session-56-workshop-4-predictions.md | match='Kaku (kaku-speculative-theorist)'
