## S71 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 8 (+ 0 in workshops/)
## Total edges (deduped): 41
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:71:session-71-dirac-synthesis.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-71/session-71-dirac-synthesis.md | match='session-71-dirac-synthesis.md'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md | match='## Round 1 — Van-den-Dungen'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md | match='## Round 2 — Mack'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md | match='## Round 2 — Van-den-Dungen'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md | match='hawking (hawking-theorist)'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md | match='## Round 1 — Phonon-First'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md | match='## Round 1 — Hawking'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md | match='## Round 2 — Phonon-First'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-phonon-first-hawking-workshop.md | match='## Round 2 — Hawking'
[EDGE:authored_by] gates:W1-A -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W1-A: SPECTRAL-ZETA-THRESHOLD-71 -- Spectral Zeta Function for S_inf (baptis'
[EDGE:authored_by] gates:W1-B -> researchers:lizzi-spectral-functional-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W1-B: HIGHER-ORDER-CCM-71 -- a_6 Contribution to Lambda_CCM (lizzi-spectral-'
[EDGE:authored_by] gates:W1-C -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W1-C: INTER-SITE-ENTANGLE-71 -- Josephson Junction Entanglement Entropy (lan'
[EDGE:authored_by] gates:W1-E -> researchers:van-den-dungen-bridge-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W1-E: NON-TRIVIAL-FIBRATION-CSQUARED-71 -- Sound Speed and Running from Prin'
[EDGE:authored_by] gates:W1-F -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W1-F: WEYL-TWO-LOOP-71 -- Two-Loop BCS Weyl Correction (hawking-theorist)'
[EDGE:authored_by] gates:W1-G -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W1-G: BH-THIRD-LAW-71 -- Black Hole Third Law from D_K Spectrum (hawking-the'
[EDGE:authored_by] gates:W1-H -> researchers:hawking-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W1-H: THREE-CELL-GSL-71 -- Generalized Second Law on 3-Cell Ring (hawking-th'
[EDGE:authored_by] gates:W2-A -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W2-A: R-SPATIAL-SCAN-71 -- Compound OOM vs r_spatial Parameter Scan (phonon-'
[EDGE:authored_by] gates:W2-B -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W2-B: CHIRP-UNIVERSALITY-71 -- Chirp Rate in 3 Reference Frames (tesla-reson'
[EDGE:authored_by] gates:W2-C -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W2-C: ENTRY-HORIZON-SPECTRUM-71 -- D_K Eigenvalue Tracking Across Entry Soni'
[EDGE:authored_by] gates:W2-D -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W2-D: CAUSAL-MOMENT-MAP-71 -- Dominant Spectral Moment at Each Tau-Slice (sc'
[EDGE:authored_by] gates:W2-E -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W2-E: DESI-DR3-SCENARIO-B-PRECISE-71 -- Fisher Forecast for Framework in DES'
[EDGE:authored_by] gates:W2-F -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W2-F: 21CM-ISW-PREREGISTRATION-71 -- Full Prediction Chain Pre-Registration '
[EDGE:authored_by] gates:W3-A -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W3-A: ALPHA-S-BAYESIAN-SHADOW-71 -- Maximum Systematic Error in a_0/a_2 from'
[EDGE:authored_by] gates:W3-C -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W3-C: CC-FROM-GGE-RESIDUAL-71 -- Lambda_GGE from Conserved RG Charges (volov'
[EDGE:authored_by] gates:W3-D -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W3-D: BCS-BACKREACTION-a4-71 -- Falsification Test for a_4 Under BCS (landau'
[EDGE:authored_by] gates:W4-A -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-results-workingpaper.md | match='### W4-A: GGE-HAWKING-ANALOG-71 -- BEC Analog Experiment Prediction (volovik-sup'
[EDGE:authored_by] data_provenance:71:session-71-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-71/session-71-sp-synthesis.md | match='session-71-sp-synthesis.md'
[EDGE:authored_by] gates:71:session-71-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-sp-synthesis.md | match='**Agent**: schwarzschild-penrose-geometer (sp)'
[EDGE:authored_by] data_provenance:71:session-71-tesla-synthesis.md -> researchers:tesla-resonance  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-71/session-71-tesla-synthesis.md | match='session-71-tesla-synthesis.md'
[EDGE:authored_by] gates:71:session-71-tesla-synthesis.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-tesla-synthesis.md | match='**Agent**: tesla-resonance (tesla)'
