## S93 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 15 (+ 15 in workshops/)
## Total edges (deduped): 49
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:93:session-93-connes-ncg-theorist-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-connes-ncg-theorist-synthesis.md | match='**Agent**: connes-ncg-theorist (Connes-NCG-Theorist / Workhorse-NCG)'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md | match='## Round 1 — kk'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md | match='## Round 2 — kk'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md | match='## Round 2 — landau'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md | match='## Round 3 — kk'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md | match='## Round 3 — landau'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w8-3-alpha-win-lo-floor-derivation.md | match='## Round 3 — lizzi'
