## S96 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 8
## Verdict files scanned: 1
## Plan files scanned: 11
## Session .md files scanned (cited_in scope): 33
## Total edges (deduped): 107
## Edge types: anchored_in,carries_forward,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:96 -> gates:CF-S97-W1-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-96/session-96-w1-workingpaper.md | match='### CF-S97-W1-1 — Assemble the physical-seconds `a(t)` trajectory'
[EDGE:anchored_in] gates:S96-CONSOL-STATUS-SYNC -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-CONSOL-STATUS-SYNC: INFO'
[EDGE:anchored_in] gates:S96-W1-MKK-SECONDS -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-W1-MKK-SECONDS: PASS'
[EDGE:anchored_in] gates:S96-W1-TAUDOT-PROFILE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-W1-TAUDOT-PROFILE: INFO'
[EDGE:anchored_in] gates:S96-W1-QFLOW-RESIDUAL -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-W1-QFLOW-RESIDUAL: PASS'
[EDGE:anchored_in] gates:S96-W1-ONEILL-NONFLAT -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-W1-ONEILL-NONFLAT: FAIL'
[EDGE:anchored_in] gates:S96-W1-AOFT-FRIEDMANN-MAP -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-W1-AOFT-FRIEDMANN-MAP: PASS'
[EDGE:anchored_in] gates:S96-W1-GFT-FRIEDMANN -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-W1-GFT-FRIEDMANN: INFO'
[EDGE:anchored_in] gates:S96-W1-VOLOVIK-2FLUID -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-W1-VOLOVIK-2FLUID: FAIL'
[EDGE:anchored_in] gates:S96-SDW-BOREL-PADE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-SDW-BOREL-PADE: FAIL'
[EDGE:anchored_in] gates:S96-SDW-WRONSKIAN-FI -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-SDW-WRONSKIAN-FI: INFO'
[EDGE:anchored_in] gates:S96-SDW-A0-RESIDUE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-SDW-A0-RESIDUE: FAIL'
[EDGE:anchored_in] gates:S96-SDW-SADDLE-REGINV -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-SDW-SADDLE-REGINV: INFO'
[EDGE:anchored_in] gates:S96-SDW-CC-GAP -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-SDW-CC-GAP: INFO'
[EDGE:anchored_in] gates:S96-SDW-EFT-CONTROL -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-SDW-EFT-CONTROL: INFO'
[EDGE:anchored_in] gates:S96-EP-NNLO-CASIMIR -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-EP-NNLO-CASIMIR: PASS'
[EDGE:anchored_in] gates:S96-LEGGETT-GAMMA-GRAV -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-LEGGETT-GAMMA-GRAV: PASS'
[EDGE:anchored_in] gates:S96-W3-SADDLE-FULLDOMAIN -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-W3-SADDLE-FULLDOMAIN: PASS'
[EDGE:anchored_in] gates:S96-MATTER-R-HIERARCHY -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-MATTER-R-HIERARCHY: FAIL'
[EDGE:anchored_in] gates:S96-MATTER-PMNS-3X3 -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-MATTER-PMNS-3X3: INFO'
[EDGE:anchored_in] gates:S96-MATTER-YUKAWA-CHIRALITY -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-MATTER-YUKAWA-CHIRALITY: PASS'
[EDGE:anchored_in] gates:S96-MATTER-EXT-BARYOGEN -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-MATTER-EXT-BARYOGEN: FAIL'
[EDGE:anchored_in] gates:S96-MATTER-A4-YUKAWA-RATIO -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-MATTER-A4-YUKAWA-RATIO: INFO'
[EDGE:anchored_in] gates:S96-MATTER-SEESAW-D5 -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-MATTER-SEESAW-D5: INFO'
[EDGE:anchored_in] gates:S96-MATTER-0NUBB -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-MATTER-0NUBB: INFO'
[EDGE:anchored_in] gates:S96-GEOM-PENROSE-2CONE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-GEOM-PENROSE-2CONE: PASS'
[EDGE:anchored_in] gates:S96-GEOM-CCC-WEYL -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-GEOM-CCC-WEYL: PASS'
[EDGE:anchored_in] gates:S96-GEOM-MKK-BRACKET -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-GEOM-MKK-BRACKET: INFO'
[EDGE:anchored_in] gates:S96-GEOM-GAUGE-SOURCING -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-GEOM-GAUGE-SOURCING: FAIL'
[EDGE:anchored_in] gates:S96-GEOM-LANDAU-FE-ORDER -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-GEOM-LANDAU-FE-ORDER: INFO'
[EDGE:anchored_in] gates:S96-GEOM-TAUINF-PETROV -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-GEOM-TAUINF-PETROV: INFO'
[EDGE:anchored_in] gates:S96-GEOM-OFFJENSEN-CHERN -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-GEOM-OFFJENSEN-CHERN: PASS'
[EDGE:anchored_in] gates:S96-OBS-OMEGAGW-GGE-VS-ZN -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-OBS-OMEGAGW-GGE-VS-ZN: PASS'
[EDGE:anchored_in] gates:S96-OBS-CMB-SCENARIO-D2 -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-OBS-CMB-SCENARIO-D2: PASS'
[EDGE:anchored_in] gates:S96-OBS-LRD-ASSEMBLY-CLOCK -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-OBS-LRD-ASSEMBLY-CLOCK: FAIL'
[EDGE:anchored_in] gates:S96-OBS-FSIGMA8-FORECAST -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-OBS-FSIGMA8-FORECAST: INFO'
[EDGE:anchored_in] gates:S96-OBS-ANCHOR-HYGIENE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-OBS-ANCHOR-HYGIENE: INFO'
[EDGE:anchored_in] gates:S96-OBS-FIRST-SOUND-RING -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-OBS-FIRST-SOUND-RING: PASS'
[EDGE:anchored_in] gates:S96-OBS-CGWB-PEAK-FREQ -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-OBS-CGWB-PEAK-FREQ: FAIL'
[EDGE:anchored_in] gates:S96-HYG-JOINT-EVIDENCE-D3-COVARIANCE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-JOINT-EVIDENCE-D3-COVARIANCE: FAIL'
[EDGE:anchored_in] gates:S96-HYG-FNL-BOUND-VS-POINT -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-FNL-BOUND-VS-POINT: FAIL'
[EDGE:anchored_in] gates:S96-HYG-MELLIN-POLESET -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-MELLIN-POLESET: INFO'
[EDGE:anchored_in] gates:S96-HYG-JOINT-EVIDENCE-D3-RESTRICT -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-JOINT-EVIDENCE-D3-RESTRICT: PASS'
[EDGE:anchored_in] gates:S96-HYG-SELF-INVENTORY -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-SELF-INVENTORY: PASS'
[EDGE:anchored_in] gates:S96-HYG-RK-FIREWALL -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-RK-FIREWALL: FAIL'
[EDGE:anchored_in] gates:S96-HYG-KIND-TAG-S53 -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-KIND-TAG-S53: PASS'
[EDGE:anchored_in] gates:S96-HYG-CANONICAL-PINS -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-CANONICAL-PINS: PASS'
[EDGE:anchored_in] gates:S96-HYG-CS2-REGISTRY -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-HYG-CS2-REGISTRY: PASS'
[EDGE:anchored_in] gates:S96-CONSOL-3REGISTER-TABLE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-CONSOL-3REGISTER-TABLE: INFO'
[EDGE:anchored_in] gates:S96-CONSOL-DK-DF-EQUIV -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-CONSOL-DK-DF-EQUIV: INFO'
[EDGE:anchored_in] gates:S96-CONSOL-CITATION-ANCHOR -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-CONSOL-CITATION-ANCHOR: PASS'
[EDGE:anchored_in] gates:S96-CONSOL-MODULARIZE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-CONSOL-MODULARIZE: INFO'
[EDGE:anchored_in] gates:S96-CONSOL-REPRO-BUNDLE -> sessions:96  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-96/s96_gate_verdicts.txt | match='S96-CONSOL-REPRO-BUNDLE: INFO'
[EDGE:succ_of] gates:S96-W1-ONEILL-NONFLAT -> gates:S96-W1-AOFT-FRIEDMANN-MAP  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w1.md | match='## §W1-2. S96-W1-ONEILL-NONFLAT'
[EDGE:succ_of] gates:S96-W1-MKK-SECONDS -> gates:S96-W1-ONEILL-NONFLAT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w1.md | match='## §W1-3. S96-W1-MKK-SECONDS'
[EDGE:succ_of] gates:S96-W1-VOLOVIK-2FLUID -> gates:S96-W1-MKK-SECONDS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w1.md | match='## §W1-4. S96-W1-VOLOVIK-2FLUID'
[EDGE:succ_of] gates:S96-W1-GFT-FRIEDMANN -> gates:S96-W1-VOLOVIK-2FLUID  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w1.md | match='## §W1-5. S96-W1-GFT-FRIEDMANN'
[EDGE:succ_of] gates:S96-W1-TAUDOT-PROFILE -> gates:S96-W1-GFT-FRIEDMANN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w1.md | match='## §W1-6. S96-W1-TAUDOT-PROFILE'
[EDGE:succ_of] gates:S96-W1-QFLOW-RESIDUAL -> gates:S96-W1-TAUDOT-PROFILE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w1.md | match='## §W1-7. S96-W1-QFLOW-RESIDUAL'
[EDGE:succ_of] gates:S96-SDW-A0-RESIDUE -> gates:S96-SDW-BOREL-PADE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w2.md | match='## §W2-2. S96-SDW-A0-RESIDUE — Residue-finiteness at the `a₀` pole'
[EDGE:succ_of] gates:S96-SDW-WRONSKIAN-FI -> gates:S96-SDW-A0-RESIDUE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w2.md | match='## §W2-3. S96-SDW-WRONSKIAN-FI — FI-ness of the decoupling Wronskian across regulator sche'
[EDGE:succ_of] gates:S96-SDW-SADDLE-REGINV -> gates:S96-SDW-WRONSKIAN-FI  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w2.md | match='## §W2-4. S96-SDW-SADDLE-REGINV — One-loop no-interior-saddle regulator-invariance'
[EDGE:succ_of] gates:S96-SDW-EFT-CONTROL -> gates:S96-SDW-SADDLE-REGINV  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w2.md | match='## §W2-5. S96-SDW-EFT-CONTROL — SDW-EFT parametric-control parameter / species-scale thinn'
[EDGE:succ_of] gates:S96-SDW-CC-GAP -> gates:S96-SDW-EFT-CONTROL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w2.md | match='## §W2-6. S96-SDW-CC-GAP — SDW convergence under the CC magnitude gap (JACOBSON-NONLOCAL-6'
[EDGE:succ_of] gates:S96-LEGGETT-GAMMA-GRAV -> gates:S96-EP-NNLO-CASIMIR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w3.md | match='## §W3-2. S96-LEGGETT-GAMMA-GRAV'
[EDGE:succ_of] gates:S96-W3-SADDLE-FULLDOMAIN -> gates:S96-LEGGETT-GAMMA-GRAV  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w3.md | match='## §W3-3. S96-W3-SADDLE-FULLDOMAIN'
[EDGE:succ_of] gates:S96-MATTER-PMNS-3X3 -> gates:S96-MATTER-A4-YUKAWA-RATIO  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w4.md | match='## §W4-2. S96-MATTER-PMNS-3X3'
[EDGE:succ_of] gates:S96-MATTER-0NUBB -> gates:S96-MATTER-PMNS-3X3  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w4.md | match='## §W4-3. S96-MATTER-0NUBB'
[EDGE:succ_of] gates:S96-MATTER-EXT-BARYOGEN -> gates:S96-MATTER-0NUBB  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w4.md | match='## §W4-4. S96-MATTER-EXT-BARYOGEN'
[EDGE:succ_of] gates:S96-MATTER-YUKAWA-CHIRALITY -> gates:S96-MATTER-EXT-BARYOGEN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w4.md | match='## §W4-5. S96-MATTER-YUKAWA-CHIRALITY'
[EDGE:succ_of] gates:S96-MATTER-R-HIERARCHY -> gates:S96-MATTER-YUKAWA-CHIRALITY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w4.md | match='## §W4-6. S96-MATTER-R-HIERARCHY'
[EDGE:succ_of] gates:S96-MATTER-SEESAW-D5 -> gates:S96-MATTER-R-HIERARCHY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w4.md | match='## §W4-7. S96-MATTER-SEESAW-D5'
[EDGE:succ_of] gates:S96-GEOM-PENROSE-2CONE -> gates:S96-GEOM-LANDAU-FE-ORDER  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w5.md | match='## §W5-2. S96-GEOM-PENROSE-2CONE'
[EDGE:succ_of] gates:S96-GEOM-TAUINF-PETROV -> gates:S96-GEOM-PENROSE-2CONE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w5.md | match='## §W5-3. S96-GEOM-TAUINF-PETROV'
[EDGE:succ_of] gates:S96-GEOM-CCC-WEYL -> gates:S96-GEOM-TAUINF-PETROV  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w5.md | match='## §W5-4. S96-GEOM-CCC-WEYL'
[EDGE:succ_of] gates:S96-GEOM-OFFJENSEN-CHERN -> gates:S96-GEOM-CCC-WEYL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w5.md | match='## §W5-5. S96-GEOM-OFFJENSEN-CHERN'
[EDGE:succ_of] gates:S96-GEOM-GAUGE-SOURCING -> gates:S96-GEOM-OFFJENSEN-CHERN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w5.md | match='## §W5-6. S96-GEOM-GAUGE-SOURCING'
[EDGE:succ_of] gates:S96-GEOM-MKK-BRACKET -> gates:S96-GEOM-GAUGE-SOURCING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w5.md | match='## §W5-7. S96-GEOM-MKK-BRACKET'
[EDGE:succ_of] gates:S96-OBS-FIRST-SOUND-RING -> gates:S96-OBS-FSIGMA8-FORECAST  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w6.md | match='## §W6-2. S96-OBS-FIRST-SOUND-RING'
[EDGE:succ_of] gates:S96-OBS-CGWB-PEAK-FREQ -> gates:S96-OBS-FIRST-SOUND-RING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w6.md | match='## §W6-3. S96-OBS-CGWB-PEAK-FREQ'
[EDGE:succ_of] gates:S96-OBS-OMEGAGW-GGE-VS-ZN -> gates:S96-OBS-CGWB-PEAK-FREQ  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w6.md | match='## §W6-4. S96-OBS-OMEGAGW-GGE-VS-ZN'
[EDGE:succ_of] gates:S96-OBS-LRD-ASSEMBLY-CLOCK -> gates:S96-OBS-OMEGAGW-GGE-VS-ZN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w6.md | match='## §W6-5. S96-OBS-LRD-ASSEMBLY-CLOCK'
[EDGE:succ_of] gates:S96-OBS-CMB-SCENARIO-D2 -> gates:S96-OBS-LRD-ASSEMBLY-CLOCK  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w6.md | match='## §W6-6. S96-OBS-CMB-SCENARIO-D2'
[EDGE:succ_of] gates:S96-OBS-ANCHOR-HYGIENE -> gates:S96-OBS-CMB-SCENARIO-D2  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w6.md | match='## §W6-7. S96-OBS-ANCHOR-HYGIENE'
[EDGE:succ_of] gates:S96-HYG-CANONICAL-PINS -> gates:S96-HYG-FNL-BOUND-VS-POINT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w7.md | match='## §W7-2. S96-HYG-CANONICAL-PINS'
[EDGE:succ_of] gates:S96-HYG-MELLIN-POLESET -> gates:S96-HYG-CANONICAL-PINS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w7.md | match='## §W7-3. S96-HYG-MELLIN-POLESET'
[EDGE:succ_of] gates:S96-HYG-RK-FIREWALL -> gates:S96-HYG-MELLIN-POLESET  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-96-plan-w7.md | match='## §W7-4. S96-HYG-RK-FIREWALL'
