## S22 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 23 (+ 0 in workshops/)
## Total edges (deduped): 46
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:22:session-22-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:22:session-22-sagan-collab.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-sagan-collab.md | match='**Author**: Sagan (sagan-empiricist)'
[EDGE:authored_by] data_provenance:22:session-22-sagan-verdict.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-sagan-verdict.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] gates:22:session-22-sagan-verdict.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-sagan-verdict.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] data_provenance:22:session-22-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-sp-collab.md | match='**Author**: Schwarzschild-Penrose (schwarzschild-penrose-geometer)'
[EDGE:authored_by] gates:22:session-22-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-sp-collab.md | match='**Author**: Schwarzschild-Penrose (schwarzschild-penrose-geometer)'
[EDGE:authored_by] data_provenance:22:session-22-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-tesla-collab.md | match='**Author**: Tesla (tesla-resonance)'
[EDGE:authored_by] gates:22:session-22-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-tesla-collab.md | match='**Author**: Tesla (tesla-resonance)'
[EDGE:participates_in] researchers:schwarzschild-penrose-geometer -> data_provenance:data_provenance:sessions/archive/session-22/session-22a-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22a-synthesis.md | match='sp-geometer (schwarzschild-penrose-geometer)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-22/session-22a-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22a-synthesis.md | match='qa-theorist (quantum-acoustics-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-22/session-22b-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22b-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:22:session-22c-PertubativeExhaustionTheorem.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22c-PertubativeExhaustionTheorem.md | match='**Author**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:22:session-22c-PertubativeExhaustionTheorem.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22c-PertubativeExhaustionTheorem.md | match='**Author**: landau-condensed-matter-theorist'
[EDGE:participates_in] researchers:feynman-theorist -> data_provenance:data_provenance:sessions/archive/session-22/session-22c-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22c-synthesis.md | match='feynman (feynman-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-22/session-22c-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22c-synthesis.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-22/session-22c-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22c-synthesis.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-22/session-22d-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22d-synthesis.md | match='einstein (einstein-theorist)'
[EDGE:participates_in] researchers:sagan-empiricist -> data_provenance:data_provenance:sessions/archive/session-22/session-22d-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22d-synthesis.md | match='sagan (sagan-empiricist)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-22/session-22d-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22d-synthesis.md | match='coord (coordinator)'
