composite_id,source_atlas,src_row_id,label,m_lizzi_class,m_lizzi_top,pin_tag,k_context,m_connes_class,m_connes_top,status,r7_resolution,notes
S82-23,S82-VII.K-DUAL.LAYER,W2-13 F0-CONVENTION-AUDIT,width 2.0216 OOM,FI,FI,L3-OB,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-25,S82-VII.K-DUAL.LAYER,W0-1 PHONON-LENGTH-CANON,0.4753 pct max dev,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-26,S82-VII.K-DUAL.LAYER,W2-11 S-PP-FULL-ED,Delta margin = -5.81e-4,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-28,S82-VII.K-DUAL.LAYER,W2-15 PHASE-ALIGNMENT-K-SCAN,0 pct k-variation,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-29,S82-VII.K-DUAL.LAYER,W3-3 DIM-H-PI-UNIVERSAL-EXCL,12/12 groups,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-31,S82-VII.K-DUAL.LAYER,W3-6 SIC-PHYSICAL-CAP,cap = 3.56e5,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-32,S82-VII.K-DUAL.LAYER,W3-2 R-FAMILY-ATLAS-EXT,4/4 R_3..R_6 PASS,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-34,S82-VII.K-DUAL.LAYER,W3-4 GGE-FNL-CHANNEL,f_NL = 0.0547,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-35,S82-VII.K-DUAL.LAYER,W3-1 RANK-UNIVERSALITY-PROOF,alpha = rank(G),FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-36,S82-VII.K-DUAL.LAYER,W3-14 C-GOLD-PROVENANCE-REPAIR,max dev 0.124 pct,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-37,S82-VII.K-DUAL.LAYER,W3-9 AS-ADJACENT-OBS,1.0000 (adjacent enum),FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-39,S82-VII.K-DUAL.LAYER,W3-12 L-PHONON-DERIVATION,K* = 0.1848,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-40,S82-VII.K-DUAL.LAYER,W3-11 XI-BCS-VS-L-PHONON-CLASS,var 7.78 pct,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-41,S82-VII.K-DUAL.LAYER,W3-13 FOUR-SPEED-PROVENANCE-PIN,0.0258,FI,FI,L0-INT,K-agnostic,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
LZ-S7-06,lizzi-S-7-II.1,W5-2,HP^0 factorization spread (5-atlas),MIXED,MIXED,mostly-RD,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,"3/5 FI on F_4, 2/5 RD on M; Mellin-multiplier scope BOUNDED to F_4"
LZ-S7-07,lizzi-S-7-II.1,W5-3,"L0/L3 dissonance histogram (31,3,8)",MIXED,MIXED,mostly-RD,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,Bimodal-like; MEDIUM bucket undersupplied; sharp boundary
LZ-S7-11,lizzi-S-7-II.1,W2-7,"disjoint-corridor (C_H, C_epsH) parity-blind",MIXED,MIXED,promotable,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,FAIL-with-refinement; HP^even cannot distinguish HP^1-twin pairs; namespaced LZ-S7-11 to disambiguate from S82-17/18/19 W2-7 rows
LZ-S7-12,lizzi-S-7-II.1,W0-6,van Hove S_max=74.6,MIXED,MIXED,RD-unpinned,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,Class (a)/(d); tau_argmax=0.221 vs canonical 0.190
LZ-S7-14,lizzi-S-7-II.1,W0-9,"d_spec three pathways (0.15, 9.32, 12)",MIXED,MIXED,promotable,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,"dim(SU3)+dim(M^4)=12 EXACT (route iii); routes i,ii finite-size at L=10"
LZ-S7-15,lizzi-S-7-II.1,W0-10,Spin8 triality V/S = 4.23 pct,MIXED,MIXED,RD-unpinned,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,Jensen-deformed SU(3) NOT Spin(8)-invariant; expected breaking
LZ-S7-18,lizzi-S-7-II.1,W3-11,multipole min L*=-1,MIXED,MIXED,RD-unpinned,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,"Lambda-convention ambiguity; Lambda_phys vs Lambda_Casimir, factor 63"
S82-04,S82-VII.K-DUAL.LAYER,W1-2 UNIFIED-AS-79-FULL-A,A_s = 3.30e-9,MIXED,MIXED,L3-OB,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-13,S82-VII.K-DUAL.LAYER,W2-2 UNIFIED-BACKREACT-79,r_max = 1.33e4,MIXED,MIXED,UNPINNED,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-17,S82-VII.K-DUAL.LAYER,W2-7 W3G-BETA-R1,w_0 = -0.9173,MIXED,MIXED,UNPINNED,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-18,S82-VII.K-DUAL.LAYER,W2-7 W3G-BETA-R2,Delta w_0 = 0.0383,MIXED,MIXED,UNPINNED,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-27,S82-VII.K-DUAL.LAYER,W2-14 FIRAS-CHLUBA-FULL,mu = 4.98e-10,MIXED,MIXED,L3-OB,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-33,S82-VII.K-DUAL.LAYER,W3-5 FAMP-SC-3PI,F_amp = 47.918,MIXED,MIXED,L3-OB,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-38,S82-VII.K-DUAL.LAYER,W3-8 MU-EFF-LK,8.58e-4,MIXED,MIXED,UNPINNED,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-42,S82-VII.K-DUAL.LAYER,W3-10 CUBIC-SIN2-W-EW,sin^2-theta_W = 0.23138,MIXED,MIXED,L3-OB,K-agnostic,MIXED,MIXED,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
LZ-S7-05,lizzi-S-7-II.1,W1c-3,alpha_s vocabulary 2193 sites,NOT-CLASSIFIABLE,NOT-CLASSIFIABLE,governance,K-agnostic,NOT-CLASSIFIABLE,NOT-CLASSIFIABLE,M_LIZZI-EXCLUSIVE,M_LIZZI-OWNS,Vocabulary discipline; not a regulator-classifiable observable; M_connes does not classify governance rows
LZ-S7-04,lizzi-S-7-II.1,W5-1,sign(eps_H at tau_fold),RD,RD,RD-unpinned,K-agnostic,RD,RD,DUAL-CITATION,N/A,"F_4 union {anomaly} -> -1, {cutoff_sqrt} -> +1; class-separating"
LZ-S7-09,lizzi-S-7-II.1,W5-5,layer-aware lattice non-functorial 8/40,RD,RD,RD-unpinned,K-agnostic,RD,RD,DUAL-CITATION,N/A,Categorical FAIL; localized at L1-AX/L2-SA -> L3-OB transitions
LZ-S7-13,lizzi-S-7-II.1,W0-7,Zubarev rho=-0.6349 (asymp -0.81),RD,RD,RD-unpinned,K-agnostic,RD,RD,DUAL-CITATION,N/A,Mellin-strip mismatch primary; rho->-1 falsified at direct-truncated
LZ-S7-16,lizzi-S-7-II.1,W0-11,CC-3 CM signed sum log10(|Lambda|/|a_0|)=-0.13,RD,RD,RD-unpinned,K-agnostic,RD,RD,DUAL-CITATION,N/A,PSO + MSM; direct sum cannot test residue identity
LZ-S7-17,lizzi-S-7-II.1,W0-20,Mellin-cone s=3 R_inf=1.81e6,RD,RD,RD-unpinned,K-agnostic,RD,RD,DUAL-CITATION,N/A,"MSM primary; s=3 in divergence cone (d_spec/2=4); Z(3,L)~L^4.24"
S82-02,S82-VII.K-DUAL.LAYER,W1-1 H-TILDE-EPOCH-TD,5.908e-3 M_Pl_red,RD,RD,L3-OB,K-agnostic,RD,RD,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-05,S82-VII.K-DUAL.LAYER,W1-2 UNIFIED-AS-79-FULL-B,A_s = 5.74e-14,RD,RD,L3-OB,K-agnostic,RD,RD,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-24,S82-VII.K-DUAL.LAYER,W2-8 A2-CLUSTER-TEST,var_a2 = 60.35 pct,RD,RD,UNPINNED,K-agnostic,RD,RD,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-30,S82-VII.K-DUAL.LAYER,W3-7 EJ-CONVENTION-AUDIT,9 conventions / 7 corrections,RD,RD,L3-OB,K-agnostic,RD,RD,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
S82-15,S82-VII.K-DUAL.LAYER,W2-4 PS-SUBSTRATE-MATCHED-IC,K = 2.035,FI,FI,L2-SA,K_crit_BdG=2.035,FI,FI,DUAL-CITATION,N/A,S82 §VII.K-DUAL.LAYER atlas; LAYER-of-pin in pin_tag column
