observable_name,K_pairing_value,mellin_weight_match,p_k_signature,span_value,classification,source,structural_reason_if_accident
atlas_row_20_R-protected row 20,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_21_R-protected row 21,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_22_R-protected row 22,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_23_R-protected row 23,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_25_R-protected row 25,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_26_R-protected row 26,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_27_MIXED-FI-via-pin row 27,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K-META pinned,
atlas_row_28_R-protected row 28,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_29_R-protected row 29,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_31_R-protected row 31,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_32_R-protected row 32,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_34_R-protected row 34,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_35_R-protected row 35,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_36_R-protected row 36,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_37_R-protected row 37,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_38_MIXED-FI-via-pin row 38,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K-META pinned,
atlas_row_39_R-protected row 39,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_40_R-protected row 40,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
atlas_row_41_R-protected row 41,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,atlas:synthesis §VII.K class 'span=1',
c_s_regulator_span_G14,0.0,EMPIRICAL,{},1.2268852867111195,BALANCED-BY-ACCIDENT,G14:cs_regulator_dependence,ratio of dispersion roots; numerator and denominator share first-moment Mellin weight; span -> 1.0 as L_max -> infinity (truncation residual at L_max=5 leaves 22.7% empirical span)
alpha_SDW_NLO_universality_G26,0.0,EMPIRICAL,{},1.0529012002327574,BALANCED-BY-ACCIDENT,G26:sdw_nlo_alpha_universality,"dimensionless log-log slope; rank-universal across SU(N) ladder; 5.3% empirical span is finite-L Casimir-shift residual, not slot dressing"
F_traj_3_2_rep_theoretic,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,VII.K registry: trajectory-3/2,
R_K_family_Koszul_ratio,1.0,EXACT,{},1.0,BALANCED-BY-K-PAIRING,VdD canonical R_K(fold)=-2.018 (S61 Koszul),
chi_2_scheme_universality_S78W3K,0.0,EMPIRICAL,{},1.036,BALANCED-BY-ACCIDENT,S78 W3-K rank-universality,projector trace pattern; rank-universal; <3.6% scheme dependence is finite-rank dressing
