CF-S91-V4-K_CANONICAL-MULTI-BRANCH-FOSSIL-TEST: PASS -- value='n_aligned=417/16384_routing=Reading-B-WIN-route-T1.2-priority' scheme=substrate-IS-multi-branch-B-tensor-canonical-S87-W2-3-second-log-derivative convention=V4-Re-V3-Option-gamma-dispatch-routing-Cell-IV-substrate-distance-2-pole-s4-PLAN-OPERATOR-CORRECTED-PER-USER-2026-05-16 L_max=12 audit_sha256=5895dd87c141bf885f3e34602f828872aa9a7b9841b183ff8b3a441801b9ccaa content_sha256=52e91afecb8dcc3bd274daaac95814b8464d4628b2094f464748af1dddbc0092 schema_version=S87+
S91-CF40-KOLB-TURNER-FD-BE-INTEGRATED: INFO -- value='g_star_BS_FD_BE_T_H=10.688551;g_star_BS_FD_BE_100GeV=103.5526;rel_dev_100GeV=0.029952;g_star_BS_FD_BE_1GeV=76.3514;rel_dev_1GeV=0.236459;g_star_BS_FD_BE_1MeV=10.6812;rel_dev_1MeV=0.006401;composite=INFO' scheme=kolb-turner-eq-3-62-FD-BE-integrated convention=mack-cosmic-bridge-primary-substrate-cascade-tail-INPUT-refinement L_max=N/A audit_sha256=b9b7511e7500cf3e1926760ad82edca38c720771f15873516ebd4f62c745a9d9 content_sha256=01a7a4476b034c704510834f5ead6d16a15364a8aeb13f127403f2e0f0735b31 schema_version=S87+
# audit_sha256_short=b9b7511e7500cf3e content_sha256_short=01a7a4476b034c70 # S91-CF40-KOLB-TURNER-FD-BE-INTEGRATED dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=MARGINAL # S91-CF40-KOLB-TURNER-FD-BE-INTEGRATED 3-tuple annotation (S87 schema-v2)
S91-CF37-AUX-4-SECONDARY-CORRIDOR: FAIL -- value='alpha_double_prime_M_LRD=3.90000e-04;empirical_anchor=2.18341e-03;rel_dev=0.8226;sub_A=PASS;sub_B=FAIL;sub_C=FAIL;composite=FAIL;gamma_weight_aux_canonical=0.403797;gamma_weight_aux_candidate_choice=3_full_residue_at_s_star_1;s_star=1;c_aux=1_over_3;psi_s_star=-0.577216;R_universal_baseline=1.030902;chi_prime_weight=3_over_6=0.5;M_KK_over_M_Pl_reduced_sq=9.30729e-04;envelope_n=-2.0473714395480782e-20;envelope_R_squared=0.0000;L_max=10;bot20_occupation_at_L10={(0, 0): 8, (0, 1): 6, (1, 0): 6};regulator_pin=Mellin-Barnes-modified-universal-kernel-gamma-s;chi_prime_anchor_audit_sha=90bba262af80a04c;calibration_corpus_instance=instance_2_pending;after_pattern_compliance=True' scheme=connes-karoubi-pairing-on-gamma-s-modified-universal-kernel convention=substrate-IS-Cell-I-K-counter-instance-2-AUX-4-SECONDARY-CORRIDOR-NON-CONNES-NON-PHONON-FIRST-AUTHOR L_max=10 audit_sha256=8ab158e9e45aab375aac0a0590aa04177cc8398d039753d03018f6da588198cf content_sha256=300bd23a68b7c587e5f44dd6592b5ac08a44bcfeaca77a16f9a39717d9eadf88 schema_version=S87+
# audit_sha256_short=8ab158e9e45aab37 content_sha256_short=300bd23a68b7c587 # S91-CF37-AUX-4-SECONDARY-CORRIDOR dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-CF37-AUX-4-SECONDARY-CORRIDOR 3-tuple annotation (S87 schema-v2)
S91-CF37-FULL-CM1995-RESIDUE: FAIL -- value='alpha_prime_FULL_M_LRD=3.40000e-04;empirical_anchor=2.18341e-03;rel_dev=0.8431;sub_A=PASS;sub_B=FAIL;sub_C=FAIL;composite=FAIL;chi_prime_weight_FULL=5_over_14_eq_0.357143;chi_prime_weight_CF37_ansatz=3_over_6_eq_0.500000;factor_vs_CF37=0.714286;alpha_prime_CF37_structural=4.79745e-04;R_universal_baseline=1.030902;M_KK_over_M_Pl_reduced_sq=9.30729e-04;envelope_n=-1.2171844502076022e-20;envelope_R_squared=0.0000;L_max=10;dimension_spectrum_poles=8_6_4_2_0;substrate_distance_s1_pole_n=6;chi_prime_pullback_diff_Frob=3.000e+00;chi_prime_pullback_machine_eps_PASS=False;chi_prime_anchor_audit_sha=90bba262af80a04c;calibration_corpus_instance=instance_2_pending;cf37_revision_status=FULL-CM1995-substrate-derivation-replaces-structural-ansatz;author_axis_A=van-den-dungen-bridge-theorist;oaa_excluded=connes-ncg+phonon-first-cosmologist;cm_1995_paper_subject_to_oaa=False;evaluator_subject_to_oaa=True;after_pattern_compliance=True' scheme=full-cm1995-III.4-finite-spectral-triple-residue-formula convention=substrate-IS-Cell-I-K-counter-instance-2-FULL-CM1995-D-COMPOSE-B-NON-CONNES-NON-PHONON-FIRST-AUTHOR L_max=10 audit_sha256=41dde3dd21eec98856ada93085d341d98b81739e519eba23c52bb6469bcd597e content_sha256=3b4e970f7df276b03c33940abd1802e62ca445aad193249ba2ecce7d6252d8b5 schema_version=S87+
# audit_sha256_short=41dde3dd21eec988 content_sha256_short=3b4e970f7df276b0 # S91-CF37-FULL-CM1995-RESIDUE dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-CF37-FULL-CM1995-RESIDUE 3-tuple annotation (S87 schema-v2)
S91-CF37-FULL-CM1995-RESIDUE: FAIL -- value='alpha_prime_FULL_M_LRD=3.40000e-04;empirical_anchor=2.18341e-03;rel_dev=0.8431;sub_A=PASS;sub_B=FAIL;sub_C=FAIL;composite=FAIL;chi_prime_weight_FULL=5_over_14_eq_0.357143;chi_prime_weight_CF37_ansatz=3_over_6_eq_0.500000;factor_vs_CF37=0.714286;alpha_prime_CF37_structural=4.79745e-04;R_universal_baseline=1.030902;M_KK_over_M_Pl_reduced_sq=9.30729e-04;envelope_n=-1.2171844502076022e-20;envelope_R_squared=0.0000;L_max=10;dimension_spectrum_poles=8_6_4_2_0;substrate_distance_s1_pole_n=6;chi_prime_kernel_projector_Frob=3.000e+00;chi_prime_image_norm_on_M3C=0.000e+00;chi_prime_pullback_differential=0.000e+00;chi_prime_pullback_machine_eps_PASS=True;chi_prime_anchor_audit_sha=90bba262af80a04c;calibration_corpus_instance=instance_2_pending;cf37_revision_status=FULL-CM1995-substrate-derivation-replaces-structural-ansatz;author_axis_A=van-den-dungen-bridge-theorist;oaa_excluded=connes-ncg+phonon-first-cosmologist;cm_1995_paper_subject_to_oaa=False;evaluator_subject_to_oaa=True;after_pattern_compliance=True' scheme=full-cm1995-III.4-finite-spectral-triple-residue-formula convention=substrate-IS-Cell-I-K-counter-instance-2-FULL-CM1995-D-COMPOSE-B-NON-CONNES-NON-PHONON-FIRST-AUTHOR L_max=10 audit_sha256=752a8f2b862a9aa5d2d8ba33d208140516f926c8fc9b1b306f989c222775ff64 content_sha256=b26505be0fc9e2c36c5014f477b518112f13cbe4970d9c7f0736a4799eb40ca0 schema_version=S87+
# audit_sha256_short=752a8f2b862a9aa5 content_sha256_short=b26505be0fc9e2c3 # S91-CF37-FULL-CM1995-RESIDUE dual-SHA companion row (W9a-99 split) supersedes=41dde3dd21eec98856ada93085d341d98b81739e519eba23c52bb6469bcd597e # script-bug-fix: chi_prime_morphism_matrix is kernel-projector NOT chi' map; corrective branch reads NPZ semantics correctly
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-CF37-FULL-CM1995-RESIDUE 3-tuple annotation (S87 schema-v2)
S91-CF37-FULL-CM1995-RESIDUE: FAIL -- value='alpha_prime_FULL_M_LRD=3.40000e-04;empirical_anchor=2.18341e-03;rel_dev=0.8431;sub_A=PASS;sub_B=FAIL;sub_C=FAIL;composite=FAIL;chi_prime_weight_FULL=5_over_14_eq_0.357143;chi_prime_weight_CF37_ansatz=3_over_6_eq_0.500000;factor_vs_CF37=0.714286;alpha_prime_CF37_structural=4.79745e-04;R_universal_baseline=1.030902;M_KK_over_M_Pl_reduced_sq=9.30729e-04;envelope_n=-1.2171844502076022e-20;envelope_R_squared=0.0000;L_max=10;dimension_spectrum_poles=8_6_4_2_0;substrate_distance_s1_pole_n=6;chi_prime_kernel_projector_Frob=3.000e+00;chi_prime_image_norm_on_M3C=0.000e+00;chi_prime_pullback_differential=0.000e+00;chi_prime_pullback_machine_eps_PASS=True;chi_prime_anchor_audit_sha=90bba262af80a04c;calibration_corpus_instance=instance_2_pending;cf37_revision_status=FULL-CM1995-substrate-derivation-replaces-structural-ansatz;author_axis_A=van-den-dungen-bridge-theorist;oaa_excluded=connes-ncg+phonon-first-cosmologist;cm_1995_paper_subject_to_oaa=False;evaluator_subject_to_oaa=True;after_pattern_compliance=True' scheme=full-cm1995-III.4-finite-spectral-triple-residue-formula convention=substrate-IS-Cell-I-K-counter-instance-2-FULL-CM1995-D-COMPOSE-B-NON-CONNES-NON-PHONON-FIRST-AUTHOR L_max=10 audit_sha256=752a8f2b862a9aa5d2d8ba33d208140516f926c8fc9b1b306f989c222775ff64 content_sha256=b26505be0fc9e2c36c5014f477b518112f13cbe4970d9c7f0736a4799eb40ca0 schema_version=S87+
# audit_sha256_short=752a8f2b862a9aa5 content_sha256_short=b26505be0fc9e2c3 # S91-CF37-FULL-CM1995-RESIDUE dual-SHA companion row (W9a-99 split) supersedes=752a8f2b862a9aa5d2d8ba33d208140516f926c8fc9b1b306f989c222775ff64 # script-bug-fix: chi_prime_morphism_matrix is kernel-projector NOT chi' map; corrective branch reads NPZ semantics correctly
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-CF37-FULL-CM1995-RESIDUE 3-tuple annotation (S87 schema-v2)
S91-CF39-RE-DISPATCH-POST-CF40-PASS: FAIL -- value='PRE-REG-INC_blocked_by_S91_CF40_FAIL_supersedes_emission_deferred;t16_gate_id=S91-CF40-KOLB-TURNER-FD-BE-INTEGRATED;t16_line_index_in_s91_verdicts=33;t16_composite_verdict=INFO;t16_magnitude_verdict=FAIL;t16_audit_sha_full_64=b9b7511e7500cf3e1926760ad82edca38c720771f15873516ebd4f62c745a9d9;t16_fail_at_anchors=[1GeV=0.236459];t16_gate_band_ceiling=0.1;t16_g_star_BS_FD_BE_T_H_candidate_NOT_promoted=10.688551;g_star_BS_T_H_FW_canonical_pin_present=False;option_a_supersedes_target_full_64=2afd17ef99c81123548642938a4053fb82ea075ea626b5fe6afcbcb73215ed5d;option_a_supersedes_emission_deferred=True;s88_absolute_verdict_permanence_preserved=True;refinement_pathway=CF-S92-PHASE-WEIGHT-QCD-CROSSOVER-REFINEMENT_then_T1_6_retry_then_T1_7_retry;deferred_to_S92=True;plan_routing=session-91-plan-w3.md_§W3-2_§6_line_250_+_§11_line_333_FAIL_at_any_3_PDG_anchors;closure_kind=mechanical-mack-cosmic-bridge-primary-no-substantive-compute;closure_admissibility_per_mechanical-closure-discipline.md=ALL_5_CLAUSES_PASS;after_pattern_compliance=True' scheme=substrate-cascade-tail-S88-W6-V5-resultII convention=mack-cosmic-bridge-primary-mechanical-closure-PRE-REG-INC L_max=N/A audit_sha256=038092e57835e18f8080f624a13c9975b7839a0e3c42bef15fb39016687be978 content_sha256=47e917e7adad683c8294278e6ed134fd6b9dbeb620a193c45db1f1e5972e8024 schema_version=S87+
# audit_sha256_short=038092e57835e18f content_sha256_short=47e917e7adad683c # S91-CF39-RE-DISPATCH-POST-CF40-PASS dual-SHA companion row (W9a-99 split); PRE-REG-INC per session-91-plan-w3.md §W3-2 §11; deferred to S92+ retry conditional on refined T1.6 PASS; required prereq: [S91-CF40-KOLB-TURNER-FD-BE-INTEGRATED=PASS_at_gate_band]; closure_script=computations/session-91/s91_w3_cf39_mechanical_closure_blocked_by_cf40.py; upstream_block_T1_6_audit_sha_full_64=<embedded_in_value_field>
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S91-CF39-RE-DISPATCH-POST-CF40-PASS 3-tuple annotation (S87 schema-v2; mechanical PRE-REG-INC)
S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY-AXIS-A: PASS -- value='axis_a=gen-physicist;clauses_acef_pass=3/3;reading=PASS-B;clause_a=PASS;clause_c=PASS;clause_e=PASS;L_indep_min_rho_S=1.0000;L_indep_rank_identical=True;L_max_rank_vec=[1, 3, 0, 2];eta_FB_min=0.436488;eta_FB_lower=0.401569;max_mellin_drift=1.314781e-01;supersedes=daf7001d89346a7a7721a1e8b3bc89244f2dd4693fd71414ac5c6acb8335897c;cf60_input_sha=3ba0f34b9c04a7f0358dcb6ecbf34a3a2c2d7dde1884d9ab30c78e89c6fa4586;cache_sha=9e6d9cf7fd6a6949d622441b26fb9c2fa568654a22dc802e99898c326ca0f8d9;substrate_input_orthogonality_axis_a=cache_+_cf60_+_registry_text;OAA_exclusion_PASS=connes_lizzi_excluded_as_w22_co_authors;procedural_floor_PASS=w22_transcripts_not_consumed;audit_machinery_self_citation_PASS=level_dressed_machinery_joint_authored_excluded_reviewers' scheme=stage-2-cross-axis-independent-verify-axis-a-gen-physicist convention=joint-theorem-promotion-stage-2-pass-and-axis-a L_max=12 audit_sha256=ae4096dc057af9ff4ab9cfedce3f35a68063a3166a891f1371cc5c710bd9d060 content_sha256=182bcd5467775bc82bf2819ba2f311cc19f37947862aac3c0722b9027ff95e0e schema_version=S87+
# audit_sha256_short=ae4096dc057af9ff content_sha256_short=182bcd5467775bc8 # S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY-AXIS-A dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY-AXIS-A 3-tuple annotation (S87 schema-v2)
S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY-AXIS-B: FAIL -- value='axis_b=volovik-superfluid-universe-theorist;clauses_bdf_pass=1/3;reading=FAIL;supersedes=daf7001d89346a7a7721a1e8b3bc89244f2dd4693fd71414ac5c6acb8335897c;cf60_input_sha=3ba0f34b9c04a7f0;cache_sha=9e6d9cf7fd6a6949;substrate_input_orthogonality_axis_b=cache_+_cf60_+_registry_text;OAA_exclusion_PASS=connes_lizzi_excluded_as_w22_co_authors;procedural_floor_PASS=w22_transcripts_not_consumed;downstream_inheritance_reach_PASS=volovik_memory_no_w22_citation;audit_machinery_self_citation_PASS=level_dressed_machinery_joint_authored_excluded_reviewers' scheme=stage-2-cross-axis-independent-verify-axis-b-volovik convention=joint-theorem-promotion-stage-2-pass-and-axis-b L_max=12 audit_sha256=45ac4f150a0d954367d922bea8c702ee5e7225f6cf1f21ee883b7a2abb7dab7e content_sha256=8d426524a13d6007207a140134688774d23facdfc62f6f4e2edb46140f1aa541 schema_version=S87+
# audit_sha256_short=45ac4f150a0d9543 content_sha256_short=8d426524a13d6007 # S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY-AXIS-B dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY-AXIS-B 3-tuple annotation (S87 schema-v2)
S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A: PASS -- value='axis_a=van-den-dungen-bridge-theorist;clauses_ace_pass=3_of_3;a_bdg_full_seven_axiom_pass=True;inheritance_morphism_composition_explicit=True;parse_tree_closed_form_substrate_is=True;corner_ii_classification_held=True;level_2_binding_sub_class=Level-2-binding;element_3_fiducial_anchor_binding=substrate-self-consistent;var_a_closed_form_Lmax10=4.7650356226e-05;OAA_exclusion_PASS=connes_lizzi_excluded_as_w17_w6_workshop_authors;procedural_floor_PASS=w17_w6_transcripts_not_consumed;cache_path_drift_corrected_from_plan_session-87_to_canonical_session-84' scheme=stage-2-cross-axis-independent-verify-axis-a-vdd convention=joint-theorem-promotion-stage-2-pass-and-axis-a-dual-symbol L_max=10 audit_sha256=a4b189b8ff943b7cfe53f3c949ce8073f799818259abf4d75015fed58df637ce content_sha256=8406bce57f4d4bc1ce48e12385a3752dad2918f84594ff93ebcb82b70fae2f76 schema_version=S87+
# audit_sha256_short=a4b189b8ff943b7c content_sha256_short=8406bce57f4d4bc1 # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A 3-tuple annotation (S87 schema-v2)
