S88-CF-CURV-5-CASCADE-SCALING-DERIVATION: PASS -- value='LINEAR_g_max=384' scheme=substrate-spectral-primitive convention=atlas-B1-cardinality-2-locked L_max=10 audit_sha256=733d803f72dc2ba7309338e86a097018c521ba59efe794f5238430c1c38d7001 content_sha256=f1e64f2f1d668a41c377bbdf5ff00dd3b608c77abf99c4e1c174e8208396b579 schema_version=S87+
S88-CF-CURV-14-TS-EM-2-BASE-2-LADDER-SPECTROSCOPY: PASS -- value='PROTOCOL_PRE_REGISTERED_E0_0p94keV_Nsources300_stackedSNR38.7sigma_baseline_5pct_continuum' scheme=JWST-NIRSpec-MIRI-spectroscopy-CCF-base-2-ladder-rank-2-Klein-V4-discriminator convention=TS-EM-2-base-2-energy-ladder-protocol-preregistration-S88-cycle-3-Q3-2026 L_max=N/A_observational audit_sha256=4379c391017a1b118f44ef29b0d12e01e99f8ebfe1c0038103f9dcf840bc0b01 content_sha256=7224ef96cf9e1dff822e4aa894d14ff70df29a588f49a4c8014701b0adf3c30a schema_version=S84+
# audit_sha256_short=4379c391017a1b11 content_sha256_short=7224ef96cf9e1dff # S88-CF-CURV-14-TS-EM-2-BASE-2-LADDER-SPECTROSCOPY dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-14-TS-EM-2-BASE-2-LADDER-SPECTROSCOPY 3-tuple annotation (S87 schema-v2)
S88-CF-CURV-15-CARDOSO-PANI-ECHO-LISA-RINGDOWN: PASS -- value='PROTOCOL_PRE_REGISTERED_LRDmass_10E5_10E8_Nevents10_asymmetric_falsifier_lock_exact_PASS_NULL_predicted_stackedSNR8.216sigma' scheme=LISA-Kerr-quasinormal-mode-Cardoso-Pani-echo-search-asymmetric-falsifier-J3-lock-exact convention=LISA-primary-mission-LRD-mass-range-10E5-10E8-Msun-Cardoso-Pani-echo-protocol-preregistration-S88-launch-2035 L_max=N/A_observational audit_sha256=ca17de69570d51a16bc5afbc9d9fed18fd14558956958ec43b492b1a852ba75c content_sha256=adbbd2ac2aab97d006150758e4265255e98368c20bf5a119d246aa3d01253fc7 schema_version=S84+
# audit_sha256_short=ca17de69570d51a1 content_sha256_short=adbbd2ac2aab97d0 # S88-CF-CURV-15-CARDOSO-PANI-ECHO-LISA-RINGDOWN dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-15-CARDOSO-PANI-ECHO-LISA-RINGDOWN 3-tuple annotation (S87 schema-v2)
S88-CF-CURV-16-U1-BBN-CHUNKY-HAWKING-METALLICITY: PASS -- value='PROTOCOL_PRE_REGISTERED_predicted_ZH_excess_band_lower_1.205e-06_dex_mid_1.203e-03_dex_upper_5.768e-01_dex_at_three_nPBH_grid_points_observational_comparison_Maiolino24_Bunker23_magnitude_tier_PASS_MAGNITUDE_within_0.3_dex_of_Maiolino24_central_n_PBH_pass_window_5.45e-23_m_minus3' scheme=Wagoner-BBN-network-non-thermal-injection-cascade-tail-Hawking-F-H5-amplification-LRD-progenitor-metallicity-excess convention=n_PBH-band-from-CF-CURV-6-Lh-Page1976-FH5-1.27pct-protocol-preregistration-S88 L_max=N/A_observational audit_sha256=2afd17ef99c81123548642938a4053fb82ea075ea626b5fe6afcbcb73215ed5d content_sha256=5d2597a55ecfa8696b9e91f894b083cdbda862c7272c1df44025168ae93c122a schema_version=S87+
# audit_sha256_short=2afd17ef99c81123 content_sha256_short=5d2597a55ecfa869 # S88-CF-CURV-16-U1-BBN-CHUNKY-HAWKING-METALLICITY dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CF-CURV-16-U1-BBN-CHUNKY-HAWKING-METALLICITY 3-tuple annotation (S87 schema-v2)
S88-MONODROMY-DEPTH-EXTENSION-SURVIVING-V4-ENUMERATION: PASS -- value='count_PASS_extensions=5;verdict_kind=PASS-d=2-exact;max_delta_max=1.421e-14;cc1_w11_4_inheritance=True;L_max_op=6_plan=10' scheme=Cartan-toral-rejected-V4-strata-tested-via-stratum-Z2-product-d3hypercube convention=(Z_2)^d-Schur-tensor-product-factored-identity-extension-from-W11-4 L_max=6 audit_sha256=94c5183e1fdbc93d7f3a22cf21023558dca38203567e23cffe0a3d51a64cab45 content_sha256=b3251154f70ee5f5d903bae21482cad9979c1ba3cafdd66bd4178cd2416bb392 schema_version=S87+
# audit_sha256_short=94c5183e1fdbc93d content_sha256_short=b3251154f70ee5f5 # S88-MONODROMY-DEPTH-EXTENSION-SURVIVING-V4-ENUMERATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-MONODROMY-DEPTH-EXTENSION-SURVIVING-V4-ENUMERATION 3-tuple annotation (S87 schema-v2)
S88-V4-CANDIDATE-III-TRIALITY-MOD-2: FAIL -- value='max_delta=9.758e+01;d_w8_1_pass=False;sip_M=+8.000e+00;sip_C=+8.000e+00;sip_H=+2.000e+01;verdict_kind=FAIL-d-w8-1-collapse-chi-tri-reducible-to-A_F-inventory;cc2_anchor_match=True;L_max_op=6' scheme=triality-mod-2-Z2-paired-with-Cartan-zone-parity-Z2-V4-incarnation convention=KO-dim-6-collapse-diagnostic-D-W8-1-orthogonal-to-A_F-automorphism-inventory L_max=6 audit_sha256=4a23fbbb2f6d073ef4ab8cf0f58de298e42835ae8734be6b504a2b1bc5b5a0b1 content_sha256=35b0d543a3f1647ce726f622869bf556887d43102ecf49ca5624d2d92af43091 schema_version=S87+
# audit_sha256_short=4a23fbbb2f6d073e content_sha256_short=35b0d543a3f1647c # S88-V4-CANDIDATE-III-TRIALITY-MOD-2 dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-V4-CANDIDATE-III-TRIALITY-MOD-2 3-tuple annotation (S87 schema-v2)
S88-V4-ON-STRATA-SUBSTRATE-CHARACTER-CONSTRUCTION: FAIL -- value='max_delta=9.215e+01;delta_0_numerical=+2.400e+01;delta_0_formula_QQ=8;verdict_kind=FAIL-substrate-cv-asymmetric-Delta_0_localization-non-zero;cc1_w11_4_d2=True;cc2_delta_0_match=False;L_max_op=6' scheme=V4-on-strata-substrate-physical-stratum-index-Z2xZ2-character convention=4-stratum-canonical-W11-meta-1-VII-AJ-partition-stability-anchor L_max=6 audit_sha256=f77622161671a516d53c08e15c26dd3ee89668a6732b66b59af2b75d85fbcaa5 content_sha256=d2724269a860cc2a80d939ec7cae03362c1efae5e58b77720d6469eb3dc45bca schema_version=S87+
# audit_sha256_short=f77622161671a516 content_sha256_short=d2724269a860cc2a # S88-V4-ON-STRATA-SUBSTRATE-CHARACTER-CONSTRUCTION dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-V4-ON-STRATA-SUBSTRATE-CHARACTER-CONSTRUCTION 3-tuple annotation (S87 schema-v2)
S88-CF-W11-2-NEG-SHELL: PASS -- value='delta_tau_crit_negative_estimate=-0.0750;intact_dtaus=[-0.06, -0.07, -0.08];broken_dtaus=[-0.09];cv_per_dtau={'-0.060': (2, 4, 8, 6), '-0.070': (2, 4, 8, 6), '-0.080': (2, 4, 8, 6), '-0.090': (4, 2, 8, 6)};verdict_kind=PASS-localized-grid-edge-pm-0p005;L_max_op=6' scheme=sub-delta-tau-shell-scan-negative-side convention=4-stratum-W11-2-canonical-partition-rule L_max=6 audit_sha256=b03c2cba82143b1dc4b1c1f3241a95c5023ac284398605e5aad866427790fc36 content_sha256=4034dba07ea26ae328937892da670326ca5dd2f4b8676e01627cb99de6f3c06f schema_version=S87+
# audit_sha256_short=b03c2cba82143b1d content_sha256_short=4034dba07ea26ae3 # S88-CF-W11-2-NEG-SHELL dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-W11-2-NEG-SHELL 3-tuple annotation (S87 schema-v2)
S88-CF-W11-2-POS-SHELL: PASS -- value='delta_tau_crit_positive_or_NONE=0.1750;delta_tau_crit_negative_W2_4=-0.075;asymmetry_match=True;intact_dtaus=[0.15];broken_dtaus=[0.2, 0.25];verdict_kind=PASS-localized-positive-side-breakdown;L_max_op=6' scheme=sub-delta-tau-shell-scan-positive-side convention=4-stratum-W11-2-canonical-partition-rule L_max=6 audit_sha256=80b430cc63c2628f9f6108d0db2712cd065e52a34b9f71c9e8a6ced6eb9f1c00 content_sha256=189f13185ddc92ccf21d54ddaf4e518df59479388c31c793b0abeff354ebc6fa schema_version=S87+
# audit_sha256_short=80b430cc63c2628f content_sha256_short=189f13185ddc92cc # S88-CF-W11-2-POS-SHELL dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CF-W11-2-POS-SHELL 3-tuple annotation (S87 schema-v2)
S88-CF-W11-2-VII-AJ-PARTITION-STABILITY-LANDING: PASS -- value='sub_row_line_count=80;cc1_friedrich=True;cc2_w2_4=True;cc3_w2_5=True;cc4_w11_meta_1=True;cc5_vii_ae=True;cc6_table=True;cc7_allowlist=True;verdict_kind=PASS-sub-row-consolidated-with-all-cross-links' scheme=intra-pillar-partition-stability-sub-row-consolidation convention=W11-meta-1-source-double-cite-co-primary-anchored L_max=N/A audit_sha256=6550f2d73bf9e96738b4e68c4552a76f58ead51827208b93c3b9437add0765d6 content_sha256=64f4814f79d9ebf63991ad8c22798af3aeca31c704b8fa600aadc9a5cfdff410 schema_version=S87+
# audit_sha256_short=6550f2d73bf9e967 content_sha256_short=64f4814f79d9ebf6 # S88-CF-W11-2-VII-AJ-PARTITION-STABILITY-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-W11-2-VII-AJ-PARTITION-STABILITY-LANDING 3-tuple annotation (S87 schema-v2)
S88-DELTA-0-LOCALIZATION-FORMULA-LANDING: PASS -- value='sub_row_line_count=57;delta_0_per_stratum=[8, 16, 32, 24];max_rel_dev_0=1.6000;cc_w2_3_match=True;cc1_co_primary=True;cc2_anchor_v=True;cc3_anchor_c=True;cc5_table=True;cc6_allowlist=True;verdict_kind=PASS-vii-ad-stage-1-candidate-co-primary-landed' scheme=delta-0-localization-formula-V4-on-4-stratum-partition-EXACT-QQ convention=SOURCE-DOUBLE-CITE-CO-PRIMARY-stage-1-candidate-per-joint-theorem-promotion-md L_max=N/A audit_sha256=56b8d6511aa91f549d5cc24c34d81ea4b4b62164bfa1ab2ade0938b094426a05 content_sha256=021ced2285b1ec17fbbbeef6fa4db240deacb56c0c04556266b192de1f7d6141 schema_version=S87+
# audit_sha256_short=56b8d6511aa91f54 content_sha256_short=021ced2285b1ec17 # S88-DELTA-0-LOCALIZATION-FORMULA-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-DELTA-0-LOCALIZATION-FORMULA-LANDING 3-tuple annotation (S87 schema-v2)
S88-CF-W11-C-PRE-CLOSURE-MECHANICAL: FAIL -- value='PRE-REG-INC_blocked_by_W8_PARTITION_ARITHMETIC_DELTA_0_LOCALIZATION_min_rel_dev_2_over_5' scheme=mechanical-closure-w11-c-pre-reg-inc-blocked-on-w8-partition-arithmetic convention=delta-0-localization-min-rel-dev-2-over-5-FAIL-by-8-OOM L_max=N/A audit_sha256=e745d77fe689d5256bd8d302bbff982c4824233831173b99947150894205cbe7 content_sha256=80b9adcbe9582f7b72171801f0187698135d50c63f14591df97cfa5f27708d3d schema_version=S87+
# audit_sha256_short=e745d77fe689d525 content_sha256_short=80b9adcbe9582f7b # S88-CF-W11-C-PRE-CLOSURE-MECHANICAL dual-SHA companion row (W9a-99 split)
# audit_sha256 companion row: S88-CF-W11-C-PRE-CLOSURE-MECHANICAL audit=e745d77fe689d525 content=80b9adcbe9582f7b # PRE-REG-INC per session-88-plan-w2.md §W2-7; deferred to S89; # required upstream: [S88-DELTA-0-LOCALIZATION-FORMULA-LANDING (LANDED), S87-MONODROMY-V_4-EXPLICIT (LANDED)]; closure_script=computations/session-88/s88_w2_cf_w11_c_pre_closure_mechanical.py
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S88-CF-W11-C-PRE-CLOSURE-MECHANICAL 3-tuple annotation (S87 schema-v2)
S88-MODULI-SPACE-TAU-ASYMMETRY-REGISTRY-ENTRY: PASS -- value='sub_row_line_count=43;cc1_tags=True;cc2_volovik=True;cc3_w2_4=True;cc4_w2_5=True;cc5_w11_2=True;cc6_aj=True;cc7_ad=True;cc8_table=True;cc9_framing=True;cc10_allowlist=True;verdict_kind=PASS-vii-ae-primary-plus-independent-cross-check-landed' scheme=moduli-space-tau-asymmetry-substrate-partition-cardinality-vector-direction convention=negative-side-breakdown-positive-side-rigid-Jensen-scaling-monotone-ascending L_max=N/A audit_sha256=1a9d6f3a6c315bf3f0626c0e4bbb6f5d9358703f7e67152647e95f770872dde9 content_sha256=7ba2c0f2f0dd9a2640efb2cd3f25676b6bf0e409496b0398279c5f222bb2d093 schema_version=S87+
# audit_sha256_short=1a9d6f3a6c315bf3 content_sha256_short=7ba2c0f2f0dd9a26 # S88-MODULI-SPACE-TAU-ASYMMETRY-REGISTRY-ENTRY dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-MODULI-SPACE-TAU-ASYMMETRY-REGISTRY-ENTRY 3-tuple annotation (S87 schema-v2)
S88-PHONONIC-FRAMING-MODULI-DEFORMATION-EXTENSION: PASS -- value='sub_section_line_count=35;cc1_insertion=True;cc2_level1=True;cc3_level2=True;cc4_calibration=True;cc5_provenance=True;cc6_orthogonality=True;cc7_enforcement=True;cc8_allowlist=True;verdict_kind=PASS-rule-file-diff-landed-with-two-level-distinction' scheme=phononic-framing-two-level-substrate-IS-extension convention=level-1-single-tau-slice-vs-level-2-moduli-deformation L_max=N/A audit_sha256=ebfaa890c0e736937e9902fc509e156ec84a960e6a7fdff9c84d14c6176a236c content_sha256=78bc12ed0dd3790bed71d04f0b6dea1eeac218781b25425d0d2e82d3b7047a7e schema_version=S87+
# audit_sha256_short=ebfaa890c0e73693 content_sha256_short=78bc12ed0dd3790b # S88-PHONONIC-FRAMING-MODULI-DEFORMATION-EXTENSION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-PHONONIC-FRAMING-MODULI-DEFORMATION-EXTENSION 3-tuple annotation (S87 schema-v2)
S88-PRU-CLASS-8.2-CALIBRATION-INSTANCE-2: INFO -- value='K_counter=1->2;instance_2_line_count=15;cc1_present=True;cc2_advance=True;cc3_w2_3=True;cc4_w2_2=True;cc5_distinction=True;cc6_allowlist=True;verdict_kind=INFO-partial-some-cross-checks-failed' scheme=pru-class-8-2-calibration-corpus-instance-2-W8-stratum-vs-cartan-toral convention=K-counter-advancement-1-to-2-promotion-to-mandatory-at-K-equal-3 L_max=N/A audit_sha256=0cda5ffd218ce44873c44672d06a04e1d640e5ee29f40d368381264a3d6f8c0f content_sha256=e9a222ad067c3600e36b8402d18511c2cd1260abd6943f4f05ec9301535d5672 schema_version=S87+
# audit_sha256_short=0cda5ffd218ce448 content_sha256_short=e9a222ad067c3600 # S88-PRU-CLASS-8.2-CALIBRATION-INSTANCE-2 dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-PRU-CLASS-8.2-CALIBRATION-INSTANCE-2 3-tuple annotation (S87 schema-v2)
S88-METH-CROSS-PILLAR-BRIDGE-ANATOMY-K-COUNTER-MONITOR: INFO -- value='K_post_S88=2;K_pre_S88=2;K_promotion=3;fwd_c1=0;fwd_c2=0;fwd_c3=0;rule_flip_required=False;rule_flip_landed=False;verdict_kind=INFO-K-2-status-holding-no-S88-forward-bridge-landings' scheme=cross-pillar-bridge-anatomy-K-counter-monitor-S88 convention=auto-flip-SUGGESTION-to-MANDATORY-on-third-instance-landing L_max=N/A audit_sha256=40de8041e819141ea5d8b00ade20065b214aca34f22ea30410a02623a81aebad content_sha256=2e691b77733d271993ae1eafe5ecfdb027fc0c354b4f6ee44b9291654bb4f8bd schema_version=S87+
# audit_sha256_short=40de8041e819141e content_sha256_short=2e691b77733d2719 # S88-METH-CROSS-PILLAR-BRIDGE-ANATOMY-K-COUNTER-MONITOR dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-METH-CROSS-PILLAR-BRIDGE-ANATOMY-K-COUNTER-MONITOR 3-tuple annotation (S87 schema-v2)
S88-CF-W11-D-SIG5-DUPLICATE-AUDIT: PASS -- value='count_Class1_violations=0;count_POSSIBLE=0;count_benign=1;n_duplicates=2;verdict_kind=PASS-all-duplicates-benign-content-collision-no-v3-recovery-violation' scheme=sig5-duplicate-audit-class1-vs-benign-vs-possible-class1 convention=v3-closure-recovery-sig5-stage1-remediation-routing L_max=N/A audit_sha256=d2fcdc68c704abac60895fb661a2a4cbc8131714e52a1bba2be60793ba37e42a content_sha256=a9e2e7777b8130cfd85730e822a81b4b932f3b836eca0a2b34008601576d7c02 schema_version=S87+
# audit_sha256_short=d2fcdc68c704abac content_sha256_short=a9e2e7777b8130cf # S88-CF-W11-D-SIG5-DUPLICATE-AUDIT dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-W11-D-SIG5-DUPLICATE-AUDIT 3-tuple annotation (S87 schema-v2)
S88-3HEB-EXCESS-INHERITANCE-M3C-PROJECTED-RETRY: FAIL -- value=3.646704e+01 scheme=ζ-regulated-Mellin-Barnes-residue-pole-1 convention=M3C-cartan-zone-pre-projected L_max=10 audit_sha256=643104ba1c77142ab6ceab32b2f8756a2dfe3e476da6e6c086abd0c129c3a82b content_sha256=d6a68b9743e2e82621efd6dc1060bdecd37d25a230222ff99fc2f9f78a05eeea schema_version=R3
# audit_sha256_short=643104ba1c77142a content_sha256_short=d6a68b9743e2e826 # S88-3HEB-EXCESS-INHERITANCE-M3C-PROJECTED-RETRY dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-3HEB-EXCESS-INHERITANCE-M3C-PROJECTED-RETRY 3-tuple annotation (S87 schema-v2)
S88-3HEB-EXCESS-INHERITANCE-OBSERVABLE-REDEFINITION-AND-IOTA-STAR-COMPOSABLE-RETRY: FAIL -- value=1.138493e+01 scheme=NCG-cohomology-class-Hochschild-pairing-pole-1 convention=iota-star-composable-preimage-construction L_max=10 audit_sha256=80405c227a1d04e9e910bf0f67c86e29bc7a83b6ab435fdf6254fe3cc12bf2d8 content_sha256=6aed45f5366321ec4bf0b2e24625b9419ead676045df97069a1af45bb1989481 schema_version=R3
# audit_sha256_short=80405c227a1d04e9 content_sha256_short=6aed45f5366321ec # S88-3HEB-EXCESS-INHERITANCE-OBSERVABLE-REDEFINITION-AND-IOTA-STAR-COMPOSABLE-RETRY dual-SHA companion row (W9a-99 split)
